policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,collision_metric_source,stuck_metric_source,route_metric_source,wall_collision_source,stuck_source,route_source,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps
candidate,map_b_split_lane,OP10,OP10,OP10,7010,3.0,2.0,1,0,0,1.0,13.0,11.0,7.0,7.0,45.0,62.0,109.0,1.0,216.0,205.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,120.37037037037037,50.925925925925924,64.81481481481481,0.9490740740740741,0.20833333333333334,0.28703703703703703,1.0,108
baseline,map_b_split_lane,OP10,OP10,OP10,7011,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,14.0,88.0,134.0,3.0,236.0,236.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.059322033898305086,0.3728813559322034,3.0,118
candidate,map_b_split_lane,OP10,OP10,OP10,7011,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,120.0,0.0,202.0,202.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.0,0.40594059405940597,0.0,101
baseline,map_b_split_lane,OP10,OP10,OP10,7012,3.0,2.0,1,0,0,1.0,5.0,3.0,1.0,1.0,40.0,75.0,133.0,4.0,248.0,245.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,40.32258064516129,12.096774193548388,8.064516129032258,0.9879032258064516,0.16129032258064516,0.3024193548387097,4.0,124
candidate,map_b_split_lane,OP10,OP10,OP10,7012,3.0,2.0,1,0,0,1.0,1.0,0.0,0.0,0.0,67.0,44.0,143.0,2.0,254.0,254.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,7.874015748031496,0.0,0.0,1.0,0.2637795275590551,0.1732283464566929,2.0,127
baseline,map_b_split_lane,OP10,OP10,OP10,7013,3.0,2.0,1,0,0,1.0,2.0,1.0,0.0,0.0,54.0,52.0,122.0,7.0,228.0,227.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,17.54385964912281,4.385964912280702,0.0,0.9956140350877193,0.23684210526315788,0.22807017543859648,7.0,114
candidate,map_b_split_lane,OP10,OP10,OP10,7013,3.0,1.0,1,0,0,2.0,6.0,3.0,1.0,1.0,0.0,83.0,107.0,0.0,190.0,187.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,63.1578947368421,15.789473684210526,10.526315789473685,0.9842105263157894,0.0,0.4368421052631579,0.0,95
baseline,map_b_split_lane,OP10,OP10,OP10,7014,3.0,2.0,1,0,0,1.0,1.0,0.0,0.0,0.0,18.0,84.0,134.0,2.0,236.0,236.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,8.474576271186441,0.0,0.0,1.0,0.07627118644067797,0.3559322033898305,2.0,118
candidate,map_b_split_lane,OP10,OP10,OP10,7014,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,29.0,62.0,139.0,3.0,230.0,230.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.12608695652173912,0.26956521739130435,3.0,115
baseline,map_b_split_lane,OP10,OP10,OP10,7015,2.0,3.0,0,1,0,-1.0,4.0,2.0,0.0,0.0,31.0,94.0,173.0,4.0,298.0,296.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,26.845637583892618,6.7114093959731544,0.0,0.9932885906040269,0.1040268456375839,0.31543624161073824,4.0,149
candidate,map_b_split_lane,OP10,OP10,OP10,7015,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,32.0,66.0,108.0,3.0,206.0,206.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.1553398058252427,0.32038834951456313,3.0,103
baseline,map_b_split_lane,OP10,OP10,OP10,7016,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,67.0,33.0,124.0,3.0,224.0,224.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.29910714285714285,0.14732142857142858,3.0,112
candidate,map_b_split_lane,OP10,OP10,OP10,7016,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,70.0,19.0,145.0,4.0,234.0,234.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.29914529914529914,0.0811965811965812,4.0,117
baseline,map_b_split_lane,OP10,OP10,OP10,7017,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,9.0,84.0,125.0,2.0,218.0,218.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.04128440366972477,0.3853211009174312,2.0,109
candidate,map_b_split_lane,OP10,OP10,OP10,7017,3.0,2.0,1,0,0,1.0,11.0,6.0,3.0,3.0,0.0,105.0,105.0,0.0,210.0,204.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,104.76190476190476,28.571428571428573,28.571428571428573,0.9714285714285714,0.0,0.5,0.0,105
baseline,map_b_split_lane,OP10,OP10,OP10,7018,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,0.0,99.0,149.0,0.0,248.0,248.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.0,0.39919354838709675,0.0,124
candidate,map_b_split_lane,OP10,OP10,OP10,7018,3.0,1.0,1,0,0,2.0,2.0,0.0,0.0,0.0,0.0,92.0,142.0,0.0,234.0,234.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,17.094017094017094,0.0,0.0,1.0,0.0,0.39316239316239315,0.0,117
baseline,map_b_split_lane,OP10,OP10,OP10,7019,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,11.0,66.0,147.0,2.0,224.0,224.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.049107142857142856,0.29464285714285715,2.0,112
candidate,map_b_split_lane,OP10,OP10,OP10,7019,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,9.0,97.0,112.0,1.0,218.0,218.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.04128440366972477,0.44495412844036697,1.0,109
