file,line,module,bound_name,confidence
rl/custom_ppo/latent/credit/arc_credit.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/arc_credit.py,5,typing.Any,Any,high
rl/custom_ppo/latent/credit/macro_credit.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/macro_credit.py,5,typing.Any,Any,high
rl/custom_ppo/latent/credit/refresh_credit.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/episode/advantages.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/episode/advantages.py,5,typing.Optional,Optional,high
rl/custom_ppo/latent/credit/episode/auxiliary_losses.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/episode/awrd_targets.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/episode/batch.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/episode/manager.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/episode/preference_targets.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/episode/refresh_targets.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/episode/telemetry.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/credit/episode/telemetry.py,5,dataclasses.field,field,high
rl/custom_ppo/latent/credit/episode/telemetry.py,98,rl.custom_ppo.latent.optimization.ppo_stats.EpisodeStatsAccumulator,EpisodeStatsAccumulator,high
rl/custom_ppo/latent/optimization/ppo_stats.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/optimization/router_ppo.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/optimization/router_registry.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/optimization/router_stepper.py,3,__future__.annotations,annotations,high
rl/custom_ppo/latent/optimization/specialist_router.py,3,__future__.annotations,annotations,high
rl/custom_ppo/rollout/action_selection.py,3,__future__.annotations,annotations,high
rl/custom_ppo/rollout/bootstrap.py,3,__future__.annotations,annotations,high
rl/custom_ppo/rollout/buffer_writer.py,35,__future__.annotations,annotations,high
rl/custom_ppo/rollout/collector.py,44,__future__.annotations,annotations,high
rl/custom_ppo/rollout/episode_tracker.py,3,__future__.annotations,annotations,high
rl/custom_ppo/rollout/latent_selection.py,3,__future__.annotations,annotations,high
rl/custom_ppo/rollout/models.py,3,__future__.annotations,annotations,high
rl/custom_ppo/rollout/reward_channels.py,3,__future__.annotations,annotations,high
rl/custom_ppo/rollout/transition_builder.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/aggregator.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/emitter.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/emitter.py,11,rl.custom_ppo.telemetry.events.TelemetryEvent,TelemetryEvent,high
rl/custom_ppo/telemetry/emitter.py,12,rl.custom_ppo.telemetry.errors.TelemetryValidationError,TelemetryValidationError,high
rl/custom_ppo/telemetry/errors.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/events.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/gpu_monitor.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/models.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/performance.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/performance.py,5,time,time,high
rl/custom_ppo/telemetry/schemas.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/timing.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/validation.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/writers/artifact_writer.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/writers/console.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/writers/csv_writer.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/writers/json_writer.py,3,__future__.annotations,annotations,high
rl/custom_ppo/telemetry/writers/json_writer.py,11,rl.custom_ppo.telemetry.errors.TelemetryWriterError,TelemetryWriterError,high
rl/custom_ppo/update/actor_intervention.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/actor_pathway_diagnostics.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/actor_pathway_diagnostics.py,5,typing.Any,Any,high
rl/custom_ppo/update/actor_z_pathway.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/entropy_objectives.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/helpers.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/loss_result.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/loss_result.py,6,typing.Any,Any,high
rl/custom_ppo/update/minibatch_updater.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/minibatch_updater.py,140,rl.custom_ppo.v6i1_phase_runtime.v6i1_macro_router_active,v6i1_macro_router_active,high
rl/custom_ppo/update/optimizer_stepper.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/pair_utils.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/param_registry.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/phase_policy.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/post_update.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/router_sequence_updater.py,13,__future__.annotations,annotations,high
rl/custom_ppo/update/separation_objectives.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/sequence_minibatch.py,26,__future__.annotations,annotations,high
rl/custom_ppo/update/strategy_objectives.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/telemetry.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/updater.py,3,__future__.annotations,annotations,high
rl/custom_ppo/update/update_context.py,3,__future__.annotations,annotations,high
