path,name,extension,size_bytes,size_mb,classification,reason
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_400000.zip,ckpt_v6i7-sparse-main_2v2_400000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 400000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_450000.zip,ckpt_v6i7-sparse-main_2v2_450000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 450000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_50000.zip,ckpt_v6i7-sparse-main_2v2_50000.zip,.zip,42432121,40.47,ARCHIVE,"early periodic checkpoint at step 50000 — non-final, low-step"
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_500000.zip,ckpt_v6i7-sparse-main_2v2_500000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 500000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_550000.zip,ckpt_v6i7-sparse-main_2v2_550000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 550000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_600000.zip,ckpt_v6i7-sparse-main_2v2_600000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 600000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_650000.zip,ckpt_v6i7-sparse-main_2v2_650000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 650000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_700000.zip,ckpt_v6i7-sparse-main_2v2_700000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 700000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_750000.zip,ckpt_v6i7-sparse-main_2v2_750000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 750000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_800000.zip,ckpt_v6i7-sparse-main_2v2_800000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 800000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_850000.zip,ckpt_v6i7-sparse-main_2v2_850000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 850000
checkpoints/2v2/ckpt_v6i7-sparse-main_2v2_900000.zip,ckpt_v6i7-sparse-main_2v2_900000.zip,.zip,42432254,40.47,KEEP,periodic checkpoint at step 900000
