episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
94,1,145.53,239.778,288,20,0,5.63652,2.86595,0.208333,OP1,scripted,OP1,3,0
95,1,173.943,296.604,378,31,0,4.84933,2.9295,0.158333,OP1,scripted,OP1,3,0
96,1,27.72,136.521,115,22,0,4.63722,2.60106,0.191667,OP1,scripted,OP1,3,0
97,1,236.313,300.069,397,23,0,4.7957,2.66875,0.183333,OP1,scripted,OP1,2,0
98,1,112.266,212.058,139,147,0,4.00545,2.48296,0.175,OP1,scripted,OP1,3,0
99,1,167.013,300.069,400,38,0,3.97522,2.389,0.208333,OP1,scripted,OP1,2,0
100,1,281.358,300.069,400,32,0,5.17683,2.75554,0.266667,OP1,scripted,OP1,1,0
101,1,43.659,182.952,196,20,0,4.05345,2.66989,0.191667,OP1,scripted,OP1,3,0
102,1,39.501,300.069,385,32,0,4.26758,2.50877,0.183333,OP1,scripted,OP1,2,0
103,1,81.081,300.069,432,22,0,5.49542,3.18562,0.216667,OP1,scripted,OP1,1,0
104,1,22.869,209.979,24,242,0,5.45272,2.7732,0.141667,OP1,scripted,OP1,3,0
105,1,72.072,300.069,409,44,0,5.28936,2.9408,0.266667,OP1,scripted,OP1,1,0
106,1,179.487,300.069,419,39,0,4.63255,2.90944,0.266667,OP1,scripted,OP1,1,0
107,1,27.027,300.069,433,45,0,5.37879,3.44652,0.175,OP1,scripted,OP1,1,0
108,1,32.571,261.261,32,325,0,4.00549,2.35064,0.175,OP1,scripted,OP1,3,0
109,1,220.374,300.069,43,402,0,4.84816,3.05315,0.216667,OP1,scripted,OP1,2,0
110,1,27.027,139.986,158,24,0,6.11708,3.68772,0.2,OP1,scripted,OP1,3,0
111,0,,300.069,426,8,0,5.831,2.60745,0.283333,OP1,scripted,OP1,0,0
112,1,53.361,116.424,104,25,0,4.1346,2.80629,0.125,OP1,scripted,OP1,3,0
113,1,209.286,300.069,432,33,0,4.49327,2.50389,0.183333,OP1,scripted,OP1,1,0
114,1,31.185,107.415,87,15,0,5.2079,3.10599,0.125,OP1,scripted,OP1,3,0
115,1,37.422,111.573,15,76,0,4.39724,2.52716,0.0916667,OP1,scripted,OP1,3,0
116,1,110.187,300.069,438,27,0,4.47585,2.69938,0.158333,OP1,scripted,OP1,1,0
117,1,156.618,227.304,214,76,0,5.46455,2.85593,0.191667,OP1,scripted,OP1,3,0
118,1,144.837,300.069,408,38,0,4.43674,2.94234,0.183333,OP1,scripted,OP1,2,0
119,1,83.16,194.733,106,148,0,4.62659,2.79983,0.175,OP1,scripted,OP1,3,0
120,1,164.241,300.069,401,22,0,5.13377,2.91256,0.283333,OP1,scripted,OP1,2,0
121,1,266.112,300.069,403,21,0,5.88457,2.78086,0.225,OP1,scripted,OP1,1,0
122,0,,300.069,431,33,0,5.50909,3.05192,0.183333,OP1,scripted,OP1,0,0
123,1,25.641,300.069,405,15,0,4.99344,2.76337,0.233333,OP1,scripted,OP1,2,0
124,1,103.95,282.051,369,35,0,4.13784,2.80732,0.208333,OP1,scripted,OP1,3,0
125,1,88.011,298.683,379,28,0,5.18075,3.02431,0.225,OP1,scripted,OP1,3,0
126,1,90.09,229.383,278,19,0,5.57206,2.87669,0.208333,OP1,scripted,OP1,3,0
127,1,22.176,102.564,102,12,0,5.38295,3.71954,0.183333,OP1,scripted,OP1,3,0
128,1,51.975,260.568,323,39,0,4.3775,2.67311,0.191667,OP1,scripted,OP1,3,0
129,1,36.036,146.916,126,40,0,3.13317,2.15955,0.116667,OP1,scripted,OP1,3,0
130,1,249.48,300.069,401,26,0,5.29482,3.10262,0.258333,OP1,scripted,OP1,2,0
131,1,49.203,148.302,33,146,0,5.64433,4.00901,0.175,OP1,scripted,OP1,3,0
132,1,35.343,124.047,117,19,0,5.15393,2.76033,0.166667,OP1,scripted,OP1,3,0
133,1,49.896,165.627,158,8,0,4.89489,2.42157,0.166667,OP1,scripted,OP1,3,0
134,1,49.203,200.97,234,24,0,6.21656,3.49794,0.283333,OP1,scripted,OP1,3,0
135,1,29.106,256.41,317,36,0,4.64677,2.7776,0.158333,OP1,scripted,OP1,3,0
136,1,27.72,192.654,231,29,0,4.2932,2.70536,0.191667,OP1,scripted,OP1,3,0
137,1,126.819,300.069,401,46,0,5.05706,3.02343,0.191667,OP1,scripted,OP1,2,0
138,0,,300.069,441,33,0,5.15162,2.90942,0.341667,OP1,scripted,OP1,0,0
139,1,196.119,300.069,390,26,0,5.01388,3.00822,0.258333,OP1,scripted,OP1,2,0
140,1,27.027,109.494,108,21,0,6.52002,3.52428,0.183333,OP1,scripted,OP1,3,0
141,1,28.413,79.002,71,6,0,4.26734,3.00173,0.141667,OP1,scripted,OP1,3,0
142,1,296.604,300.069,427,35,0,6.36035,3.17272,0.325,OP1,scripted,OP1,1,0
143,1,75.537,185.724,221,32,0,4.76279,3.42662,0.208333,OP1,scripted,OP1,3,0
144,1,27.027,259.875,318,23,0,5.26887,3.37765,0.266667,OP1,scripted,OP1,3,0
145,1,35.343,259.875,39,291,0,4.65812,2.96446,0.208333,OP1,scripted,OP1,3,0
146,1,22.176,141.372,165,20,0,5.1035,3.30205,0.125,OP1,scripted,OP1,3,0
147,1,189.189,300.069,399,27,0,6.27133,3.03762,0.4,OP1,scripted,OP1,2,0
148,1,24.948,144.837,139,18,0,5.23731,2.80314,0.233333,OP1,scripted,OP1,3,0
149,1,85.239,264.726,331,20,0,5.81252,3.16124,0.3,OP1,scripted,OP1,3,0
150,1,41.58,236.313,302,29,0,4.81121,3.00473,0.183333,OP1,scripted,OP1,3,0
151,1,15.939,117.81,126,16,0,5.54505,3.152,0.25,OP1,scripted,OP1,3,0
152,1,56.133,162.162,148,57,0,5.48797,3.36405,0.291667,OP1,scripted,OP1,3,0
153,1,48.51,300.069,398,32,0,5.00171,2.87911,0.216667,OP1,scripted,OP1,2,0
154,1,22.869,300.069,416,29,0,5.38095,3.25218,0.275,OP1,scripted,OP1,2,0
155,1,59.598,171.864,199,36,0,4.94875,3.3814,0.191667,OP1,scripted,OP1,3,0
156,1,32.571,178.794,177,34,0,6.2758,3.22597,0.216667,OP1,scripted,OP1,3,0
157,1,45.738,248.787,328,25,0,5.04032,2.98791,0.166667,OP1,scripted,OP1,3,0
158,1,79.002,289.674,52,334,0,5.45119,3.15552,0.166667,OP1,scripted,OP1,3,0
159,1,30.492,277.893,358,42,0,4.84373,3.23408,0.166667,OP1,scripted,OP1,3,0
160,1,22.176,273.735,366,49,0,4.57908,2.94788,0.216667,OP1,scripted,OP1,3,0
161,1,75.537,214.83,234,23,0,5.26256,3.285,0.166667,OP1,scripted,OP1,3,0
162,1,28.413,149.688,28,155,0,3.88062,2.83083,0.133333,OP1,scripted,OP1,3,0
163,1,36.036,238.392,269,23,0,6.25201,3.09641,0.208333,OP1,scripted,OP1,3,0
164,1,24.255,204.435,258,16,0,5.02134,3.0514,0.175,OP1,scripted,OP1,3,0
165,1,27.72,163.548,175,20,0,4.86288,3.04701,0.208333,OP1,scripted,OP1,3,0
166,1,143.451,218.988,240,21,0,5.49622,3.15198,0.191667,OP1,scripted,OP1,3,0
167,1,60.984,175.329,199,18,0,5.77572,3.26598,0.225,OP1,scripted,OP1,3,0
168,1,24.948,170.478,174,8,0,5.12824,2.90117,0.0916667,OP1,scripted,OP1,3,0
169,1,32.571,216.909,243,24,0,6.00319,3.5617,0.325,OP1,scripted,OP1,3,0
170,1,29.799,108.801,86,13,0,4.68234,2.79405,0.158333,OP1,scripted,OP1,3,0
171,1,73.458,196.812,245,31,0,3.43721,2.45291,0.133333,OP1,scripted,OP1,3,0
172,1,72.765,171.171,188,16,0,6.17699,2.78114,0.275,OP1,scripted,OP1,3,0
173,1,28.413,196.119,238,15,0,4.69404,2.68116,0.1,OP1,scripted,OP1,3,0
174,1,33.957,122.661,20,110,0,4.92873,2.69531,0.166667,OP1,scripted,OP1,3,0
175,1,54.747,234.927,267,29,0,5.21965,2.65543,0.183333,OP1,scripted,OP1,3,0
176,1,64.449,230.769,280,30,0,5.47537,3.08472,0.3,OP1,scripted,OP1,3,0
177,1,97.02,149.688,159,15,0,7.12441,3.74898,0.291667,OP1,scripted,OP1,3,0
178,1,22.869,234.234,323,18,0,4.14618,2.9794,0.208333,OP1,scripted,OP1,3,0
179,1,44.352,196.812,209,16,0,4.45553,2.54101,0.233333,OP1,scripted,OP1,3,0
180,1,32.571,133.749,133,19,0,4.25034,2.96988,0.116667,OP1,scripted,OP1,3,0
181,1,101.871,252.252,321,26,0,4.96959,3.14882,0.183333,OP1,scripted,OP1,3,0
182,1,24.948,295.911,410,36,0,4.60811,3.1043,0.25,OP1,scripted,OP1,3,0
183,1,24.948,118.503,122,19,0,5.61006,3.08789,0.225,OP1,scripted,OP1,3,0
184,1,167.706,300.069,407,21,0,5.30861,2.6511,0.233333,OP1,scripted,OP1,2,0
185,1,63.756,119.889,109,15,0,5.30967,3.12474,0.133333,OP1,scripted,OP1,3,0
186,1,49.203,274.428,334,27,0,5.98834,3.40778,0.341667,OP1,scripted,OP1,3,0
187,1,120.582,209.286,255,36,0,4.36039,2.5151,0.208333,OP1,scripted,OP1,3,0
188,1,58.212,164.934,118,97,0,5.73012,3.58455,0.191667,OP1,scripted,OP1,3,0
189,1,47.817,117.117,102,12,0,5.09925,3.17889,0.275,OP1,scripted,OP1,3,0
190,1,63.063,300.069,428,29,0,5.17825,2.74388,0.175,OP1,scripted,OP1,2,0
191,1,205.821,241.164,319,18,0,5.2246,3.06284,0.2,OP1,scripted,OP1,3,0
192,1,25.641,153.846,175,19,0,5.91351,2.9811,0.208333,OP1,scripted,OP1,3,0
193,1,42.966,246.708,292,24,0,5.87857,2.99313,0.266667,OP1,scripted,OP1,3,0
194,1,214.83,300.069,296,144,0,6.13876,3.61364,0.3,OP1,scripted,OP1,1,0
195,1,108.801,180.873,196,24,0,4.9132,3.21381,0.141667,OP1,scripted,OP1,3,0
196,1,32.571,207.207,231,20,0,5.89877,3.01935,0.233333,OP1,scripted,OP1,3,0
197,1,161.469,241.164,295,37,0,5.77331,3.19511,0.233333,OP1,scripted,OP1,3,0
198,1,36.036,168.399,191,23,0,5.32338,3.39455,0.125,OP1,scripted,OP1,3,0
199,1,38.808,117.117,113,16,0,3.98503,2.70071,0.208333,OP1,scripted,OP1,3,0
200,1,38.808,198.891,250,13,0,6.92557,3.4099,0.308333,OP1,scripted,OP1,3,0
201,1,24.948,100.485,83,26,0,5.10245,3.25421,0.158333,OP2,scripted,OP1,3,0
202,1,27.72,85.932,94,18,0,5.67844,3.78304,0.233333,OP2,scripted,OP1,3,0
203,1,25.641,170.478,218,20,0,5.18949,3.50819,0.358333,OP2,scripted,OP1,3,0
204,1,60.291,83.853,44,24,0,5.30485,3.3298,0.2,OP2,scripted,OP2,3,0
205,1,18.711,63.063,36,17,0,4.76616,3.61705,0.216667,OP2,scripted,OP2,3,0
206,1,48.51,112.266,67,27,0,4.69919,2.72458,0.2,OP2,scripted,OP2,3,0
207,1,18.018,75.537,54,20,0,6.36274,4.18067,0.2,OP2,scripted,OP2,3,0
208,1,15.246,76.23,44,19,0,5.75827,3.72829,0.183333,OP2,scripted,OP2,3,0
209,1,44.352,151.767,62,32,0,5.85138,3.43388,0.291667,OP2,scripted,OP2,3,0
210,1,115.038,255.024,81,330,0,5.69207,3.86985,0.291667,OP2,scripted,OP1,3,0
211,1,85.239,146.916,71,38,0,5.39902,3.41534,0.208333,OP2,scripted,OP2,3,0
212,1,13.167,50.589,26,14,0,5.87777,4.09272,0.15,OP2,scripted,OP2,3,0
213,1,19.404,63.063,36,15,0,5.91498,4.11476,0.15,OP2,scripted,OP2,3,0
214,1,33.957,72.765,31,23,0,5.78991,3.75453,0.216667,OP2,scripted,OP2,3,0
215,1,13.167,132.363,67,43,0,5.8711,3.63928,0.25,OP2,scripted,OP2,3,0
216,1,26.334,90.09,48,19,0,5.17027,2.77423,0.2,OP2,scripted,OP2,3,0
217,1,25.641,117.81,48,39,0,5.61388,3.48299,0.233333,OP2,scripted,OP2,3,0
218,1,30.492,86.625,46,20,0,6.54213,3.97393,0.208333,OP2,scripted,OP2,3,0
