episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
124,1,103.257,300.069,381,30,0,4.74225,3.09761,0.208333,OP1,scripted,OP1,2,0
125,1,88.704,300.069,72,375,0,4.69668,2.89177,0.258333,OP1,scripted,OP1,2,0
126,1,58.212,300.069,382,28,0,4.59042,2.59546,0.225,OP1,scripted,OP1,2,0
127,1,248.094,300.069,347,97,0,4.50563,2.53916,0.275,OP1,scripted,OP1,1,0
128,1,107.415,300.069,394,22,0,5.08677,2.57163,0.133333,OP1,scripted,OP1,2,0
129,1,79.695,300.069,408,41,0,4.69763,2.84678,0.208333,OP1,scripted,OP1,2,0
130,1,29.106,257.103,120,236,0,4.27525,3.1656,0.208333,OP1,scripted,OP1,3,0
131,0,,300.069,426,28,0,4.16575,2.60347,0.175,OP1,scripted,OP1,0,0
132,1,25.641,300.069,424,28,0,4.94904,2.94811,0.225,OP1,scripted,OP1,1,0
133,1,157.311,211.365,247,28,0,5.30747,2.75712,0.216667,OP1,scripted,OP1,3,0
134,1,148.995,300.069,413,38,0,4.18426,2.53632,0.241667,OP1,scripted,OP1,1,0
135,1,34.65,300.069,414,62,0,4.07409,2.98254,0.116667,OP1,scripted,OP1,2,0
136,1,52.668,300.069,417,29,0,4.86622,2.83739,0.25,OP1,scripted,OP1,1,0
137,1,109.494,174.636,201,13,0,4.43072,2.22978,0.108333,OP1,scripted,OP1,3,0
138,1,118.503,300.069,423,32,0,5.11566,2.96268,0.291667,OP1,scripted,OP1,1,0
139,0,,300.069,442,29,0,4.20874,2.93282,0.15,OP1,scripted,OP1,0,0
140,1,136.521,300.069,419,36,0,4.30027,2.84086,0.308333,OP1,scripted,OP1,1,0
141,1,21.483,227.304,296,20,0,4.55421,2.61419,0.166667,OP1,scripted,OP1,3,0
142,1,80.388,259.182,336,52,0,4.38242,3.09054,0.141667,OP1,scripted,OP1,3,0
143,1,24.948,85.239,69,12,0,4.85947,3.12098,0.166667,OP1,scripted,OP1,3,0
144,0,,300.069,435,22,0,5.29904,2.64564,0.208333,OP1,scripted,OP1,0,0
145,1,268.884,300.069,414,40,0,4.892,3.19995,0.225,OP1,scripted,OP1,1,0
146,1,29.799,300.069,397,46,0,4.36709,2.49563,0.15,OP1,scripted,OP1,2,0
147,1,28.413,121.968,110,17,0,5.43914,3.16447,0.225,OP1,scripted,OP1,3,0
148,1,28.413,204.435,234,18,0,4.98995,2.60302,0.191667,OP1,scripted,OP1,3,0
149,1,86.625,130.284,19,134,0,5.12193,3.28904,0.275,OP1,scripted,OP1,3,0
150,1,31.878,196.812,234,25,0,4.91854,3.22178,0.216667,OP1,scripted,OP1,3,0
151,1,25.641,282.051,374,11,0,5.35589,2.9298,0.241667,OP1,scripted,OP1,3,0
152,1,28.413,300.069,427,34,0,4.25311,2.51529,0.1,OP1,scripted,OP1,1,0
