blue_style,episode_index,episode_seed,map,normalized_map,steps,blue_score,red_score,win_margin,first_midfield_step,first_pickup_step,first_blue_score_step,first_red_score_step,first_latch_step,latch_fired,picked_up,blue_scored,mean_teammate_dist,mean_lateral_sep,max_teammate_dist,max_lateral_sep,frac_opposite_lanes,frac_both_offensive,frac_sep_ge_12,latch_steps,frac_latch_both_same_target,frac_latch_second_uncovered,frac_latch_target_churn,frac_latch_protector_chase,frac_latch_both_on_carrier,role_change_steps,post_pickup_steps,frac_post_support_near,isolated_return_attempts,isolated_return_success,supported_return_attempts,supported_return_success,protector_tagged_while_carry_steps,fail_A_both_on_one,fail_B_second_uncovered,fail_C_role_churn,fail_D_protector_pressure,fail_E_ignore_support
BLUE_RUSH,5,571006,map_a,map_a_open,92,0,0,0,8,15,30,-1,-1,0,1,0,2.046048984769394,0.7779246724170187,6.010150834126518,5.961460113525391,0.0,0.5978260869565217,0.0,0,0.0,0.0,0.0,0.0,0.0,11,46,1.0,0,0,1,1,0,0,0,0,0,0
BLUE_TURTLE,5,571006,map_a,map_a_open,138,0,0,0,23,28,65,75,-1,0,1,0,4.924705527760719,1.8753464878469273,17.285153743953693,9.077728271484375,0.0,0.3333333333333333,0.07246376811594203,0,0.0,0.0,0.0,0.0,0.0,18,85,0.788235294117647,1,1,0,0,0,0,0,0,0,0
BLUE_SPLIT,6,571007,map_a,map_a_open,90,0,0,0,8,19,39,86,12,1,1,0,10.873261908220577,5.809134679370456,18.052407165243356,13.574106216430664,0.14444444444444443,0.5666666666666667,0.3888888888888889,77,0.0,0.09090909090909091,0.025974025974025976,0.7662337662337663,0.0,4,59,0.1016949152542373,1,1,0,0,0,0,0,0,1,0
BLUE_ESCORT,6,571007,map_a,map_a_open,141,0,0,0,8,15,43,-1,-1,0,1,0,1.8696981179108534,0.8552116536079569,6.899604578957797,6.86850643157959,0.0,0.5319148936170213,0.0,0,0.0,0.0,0.0,0.0,0.0,20,73,1.0,0,0,2,1,0,0,0,0,0,0
BLUE_RUSH,6,571007,map_a,map_a_open,86,0,0,0,8,15,29,-1,-1,0,1,0,2.7524135390288715,1.118180696354356,7.21754566654616,7.198400497436523,0.0,0.6511627906976745,0.0,0,0.0,0.0,0.0,0.0,0.0,10,42,1.0,0,0,1,1,0,0,0,0,0,0
BLUE_TURTLE,6,571007,map_a,map_a_open,240,0,0,0,18,24,221,-1,-1,0,1,0,3.5784465124008067,1.1531108776728312,11.96044262958447,7.163369178771973,0.0,0.4041666666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,41,36,0.4722222222222222,2,0,1,1,0,0,0,0,0,0
BLUE_SPLIT,7,571008,map_a,map_a_open,91,0,0,0,8,20,41,87,15,1,1,0,10.43348323278863,5.882947785513742,17.874777427569644,13.368934392929077,0.12087912087912088,0.5934065934065934,0.34065934065934067,75,0.0,0.05333333333333334,0.02666666666666667,0.7733333333333333,0.0,4,58,0.06896551724137931,1,1,0,0,0,0,0,0,1,0
BLUE_ESCORT,7,571008,map_a,map_a_open,168,0,0,0,8,14,41,55,-1,0,1,0,1.9477718764508967,0.736395408709844,8.104055148932805,8.076706647872925,0.0,0.5357142857142857,0.0,0,0.0,0.0,0.0,0.0,0.0,27,80,1.0,0,0,3,1,0,0,0,0,0,0
BLUE_RUSH,7,571008,map_a,map_a_open,117,0,0,0,7,14,30,-1,-1,0,1,0,3.4059929556094524,1.2291355724008675,13.410943126866929,8.076706647872925,0.0,0.5726495726495726,0.042735042735042736,0,0.0,0.0,0.0,0.0,0.0,14,52,0.8653846153846154,0,0,2,1,4,0,0,0,1,0
BLUE_TURTLE,7,571008,map_a,map_a_open,181,0,0,0,8,35,55,160,-1,0,1,0,3.797869647649171,1.5131308373825325,10.702363160843513,8.076706647872925,0.0,0.47513812154696133,0.0,0,0.0,0.0,0.0,0.0,0.0,29,70,0.7428571428571429,1,0,1,1,0,0,0,0,0,0
