agent_id,blue_mine_kills,blue_score,episode_steps,flag_carries,macro_0,macro_2,macro_4,map_name,map_path,max_time,mine_attempts,mines_placed_enemy_half,mines_triggered_by_red,opponent_key,opponent_kind,phase_name,red_mine_kills,red_score,result,score_limit,side
1,0,0,42,0,25,9,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,56,0,31,14,11,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,56,0,35,11,10,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,39,0,25,7,7,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,39,0,24,7,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,41,0,26,9,6,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,41,0,18,10,13,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,50,0,22,15,13,empty_20x20,,200.0,0,0,0,RUSHER,SPECIES,OP1,0,3,LOSS,3,blue
1,0,0,50,0,26,12,12,empty_20x20,,200.0,0,0,0,RUSHER,SPECIES,OP1,0,3,LOSS,3,blue
0,0,0,46,0,27,11,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,46,0,28,10,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,48,0,30,12,6,empty_20x20,,200.0,0,0,0,BALANCED,SPECIES,OP1,0,3,LOSS,3,blue
1,0,0,48,0,26,13,9,empty_20x20,,200.0,0,0,0,BALANCED,SPECIES,OP1,0,3,LOSS,3,blue
0,0,0,48,0,26,10,12,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,48,0,30,10,8,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,54,0,33,12,9,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,54,0,30,10,14,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,49,0,33,7,9,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,49,0,27,13,9,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,44,0,23,15,6,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
1,0,0,44,0,26,7,11,empty_20x20,,200.0,0,0,0,OP3,SCRIPTED,OP1,0,3,LOSS,3,blue
0,0,0,201,0,124,39,38,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,DRAW,3,blue
1,0,0,201,0,119,46,36,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,DRAW,3,blue
0,0,1,201,0,124,39,38,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,36,127,38,36,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,1,201,0,124,39,38,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,36,127,38,36,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,1,201,0,124,39,38,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,36,127,38,36,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,1,201,0,124,39,38,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,36,127,38,36,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,1,201,0,124,39,38,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,36,127,38,36,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,0,41,0,29,8,4,empty_20x20,,200.0,0,0,0,RUSHER,SPECIES,OP1,0,3,LOSS,3,blue
1,0,0,41,20,26,7,8,empty_20x20,,200.0,0,0,0,RUSHER,SPECIES,OP1,0,3,LOSS,3,blue
0,0,1,201,0,124,39,38,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,105,142,23,36,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
0,0,1,201,0,124,39,38,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
1,0,1,201,36,127,38,36,empty_20x20,,200.0,0,0,0,checkpoints_sb3\self_play_pool\sp_snapshot_ep000050.zip,SNAPSHOT,OP1,0,0,WIN,3,blue
