policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,wall_collision_source,stuck_steps,stuck_source,repeated_blocked_movement,upper_lane_use,lower_lane_use,route_switches,route_source,episode_steps
candidate,map_a_open,OP8,OP8,OP8,7037,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,83
baseline,map_a_open,OP8,OP8,OP8,7038,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,86
candidate,map_a_open,OP8,OP8,OP8,7038,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,92
baseline,map_a_open,OP8,OP8,OP8,7039,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,78
candidate,map_a_open,OP8,OP8,OP8,7039,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,76
baseline,map_a_open,OP8,OP8,OP8,7040,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,104
candidate,map_a_open,OP8,OP8,OP8,7040,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,82
baseline,map_a_open,OP8,OP8,OP8,7041,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,80
candidate,map_a_open,OP8,OP8,OP8,7041,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,80
baseline,map_a_open,OP8,OP8,OP8,7042,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,84
candidate,map_a_open,OP8,OP8,OP8,7042,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,9.0,episode_info,84
baseline,map_a_open,OP8,OP8,OP8,7043,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,76
candidate,map_a_open,OP8,OP8,OP8,7043,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,80
baseline,map_a_open,OP8,OP8,OP8,7044,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,81
candidate,map_a_open,OP8,OP8,OP8,7044,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,2.0,episode_info,80
baseline,map_a_open,OP8,OP8,OP8,7045,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,72
candidate,map_a_open,OP8,OP8,OP8,7045,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,87
baseline,map_a_open,OP8,OP8,OP8,7046,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,9.0,episode_info,96
candidate,map_a_open,OP8,OP8,OP8,7046,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,9.0,episode_info,102
baseline,map_a_open,OP8,OP8,OP8,7047,2.0,3.0,0,1,0,-1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,9.0,episode_info,110
candidate,map_a_open,OP8,OP8,OP8,7047,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,3.0,episode_info,73
baseline,map_a_open,OP8,OP8,OP8,7048,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,89
candidate,map_a_open,OP8,OP8,OP8,7048,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,87
baseline,map_a_open,OP8,OP8,OP8,7049,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,88
candidate,map_a_open,OP8,OP8,OP8,7049,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,91
baseline,map_a_open,OP8,OP8,OP8,7050,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,92
candidate,map_a_open,OP8,OP8,OP8,7050,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,83
baseline,map_a_open,OP8,OP8,OP8,7051,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,79
