team_size,model,episode,blue_score,red_score,success,decision_steps,return
4v4,Ours,13,3,0,1,131,-3.9354
4v4,Ours,14,3,0,1,142,-6.7002
4v4,Ours,15,3,0,1,136,-8.5504
4v4,Ours,16,3,0,1,127,-6.3176
4v4,Ours,17,3,0,1,88,-1.4377
4v4,Ours,18,3,1,1,161,-8.1005
4v4,Ours,19,3,0,1,180,-10.9366
4v4,Ours,20,3,0,1,151,-10.2911
4v4,Ours,21,3,0,1,100,-6.5081
4v4,Ours,22,3,1,1,135,-5.9618
4v4,Ours,23,3,1,1,195,-11.7629
4v4,Ours,24,3,1,1,96,-3.3830
4v4,Ours,25,3,1,1,159,-12.0502
4v4,Ours,26,3,1,1,185,-7.8288
4v4,Ours,27,3,0,1,116,-4.4774
4v4,Ours,28,3,0,1,146,-8.8189
4v4,Ours,29,3,0,1,113,-3.8727
4v4,Ours,30,3,1,1,186,-10.7269
4v4,Ours,31,3,1,1,128,-7.9306
4v4,Ours,32,3,0,1,169,-7.3854
4v4,Ours,33,3,0,1,137,-5.8108
4v4,Ours,34,3,0,1,177,-13.7474
4v4,Ours,35,1,0,1,400,-17.1558
4v4,Ours,36,3,0,1,182,-7.9965
4v4,Ours,37,3,0,1,130,-7.6306
4v4,Ours,38,3,2,1,187,-13.5872
4v4,Ours,39,3,1,1,148,-8.8758
4v4,Ours,40,3,2,1,132,-9.6466
4v4,Ours,41,3,0,1,98,-2.3593
4v4,Ours,42,3,1,1,157,-10.1563
4v4,Ours,43,3,2,1,230,-14.6982
4v4,Ours,44,3,0,1,201,-13.7950
4v4,Ours,45,3,1,1,177,-12.7289
4v4,Ours,46,3,0,1,88,-1.3969
4v4,Ours,47,3,0,1,116,-3.7118
4v4,Ours,48,3,2,1,138,-7.7515
4v4,Ours,49,3,1,1,234,-17.3666
4v4,Ours,50,3,0,1,167,-10.6440
4v4,Ours,51,3,2,1,174,-9.8413
4v4,Ours,52,1,0,1,400,-18.1775
4v4,Ours,53,3,1,1,154,-8.0909
4v4,Ours,54,3,1,1,234,-17.8485
4v4,Ours,55,3,0,1,361,-15.6918
4v4,Ours,56,3,0,1,115,-5.4384
4v4,Ours,57,3,0,1,111,-2.7648
4v4,Ours,58,3,1,1,212,-11.6784
4v4,Ours,59,3,0,1,214,-12.6681
4v4,Ours,60,3,0,1,154,-10.0796
4v4,Ours,61,3,0,1,219,-11.9437
4v4,Ours,62,3,0,1,188,-10.7136
4v4,Ours,63,3,1,1,143,-6.4445
4v4,Ours,64,3,0,1,182,-14.1680
4v4,Ours,65,3,1,1,113,-4.9840
4v4,Ours,66,3,1,1,174,-14.2446
4v4,Ours,67,3,0,1,101,-4.7394
4v4,Ours,68,3,1,1,140,-12.1752
4v4,Ours,69,2,0,1,400,-15.9212
4v4,Ours,70,3,2,1,245,-7.8287
4v4,Ours,71,3,0,1,110,-3.7741
4v4,Ours,72,3,1,1,167,-10.0843
4v4,Ours,73,3,1,1,191,-13.7834
4v4,Ours,74,3,0,1,140,-5.3899
4v4,Ours,75,3,0,1,89,-2.6486
4v4,Ours,76,3,1,1,165,-11.0939
4v4,Ours,77,3,0,1,116,-4.3486
4v4,Ours,78,2,0,1,400,-13.8351
4v4,Ours,79,3,0,1,194,-13.5159
4v4,Ours,80,3,1,1,217,-13.5780
4v4,Ours,81,3,0,1,91,-2.2316
4v4,Ours,82,3,0,1,89,-5.2027
4v4,Ours,83,0,0,0,400,-16.1551
4v4,Ours,84,3,1,1,129,-8.4465
4v4,Ours,85,3,0,1,121,-3.5878
4v4,Ours,86,3,1,1,180,-9.4902
4v4,Ours,87,3,0,1,117,-2.5792
4v4,Ours,88,3,0,1,161,-10.5261
4v4,Ours,89,3,1,1,161,-8.2577
4v4,Ours,90,3,0,1,88,-0.7277
4v4,Ours,91,3,0,1,121,-3.8469
4v4,Ours,92,3,0,1,115,-4.6613
4v4,Ours,93,3,0,1,333,-9.8539
4v4,Ours,94,3,0,1,106,-5.4576
4v4,Ours,95,3,1,1,164,-10.3112
4v4,Ours,96,3,0,1,159,-8.0596
4v4,Ours,97,3,0,1,185,-11.2260
4v4,Ours,98,3,0,1,387,-19.0958
4v4,Ours,99,3,0,1,122,-5.2600
4v4,Jacob et al.,0,3,0,1,155,-5.0223
