condition,condition_display,opponent,map,episode_seed,cell_seed,episode_index,initial_z,z_sequence,z_sequence_len,z_switches_at_opportunities,logged_switches,router_entropy_mean,return,score_margin,episode_length,strategy_switches,strategy_resamples,strategy_unique_count
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,3918272334,12100,8,2,2,1,0,0,nan,-4.514038291556062,3,142,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,689111831,12100,9,2,2,1,0,0,nan,-9.709990437957458,3,241,0,0,1
fixed_z2,fixed_z2,OP10,map_b,284427023,13000,0,2,2,1,0,0,nan,-2.4231218062050175,1,107,0,0,1
fixed_z2,fixed_z2,OP10,map_b,2715975335,13000,1,2,2,1,0,0,nan,-8.415452034590999,2,196,0,0,1
fixed_z2,fixed_z2,OP10,map_b,1039790048,13000,2,2,2,1,0,0,nan,-0.5315465112798847,3,79,0,0,1
fixed_z2,fixed_z2,OP10,map_b,1121016425,13000,3,2,2,1,0,0,nan,-8.517953980597667,1,194,0,0,1
fixed_z2,fixed_z2,OP10,map_b,3746914714,13000,4,2,2,1,0,0,nan,-4.89703674451448,3,152,0,0,1
fixed_z2,fixed_z2,OP10,map_b,603743737,13000,5,2,2,1,0,0,nan,-0.36873530849698,3,94,0,0,1
fixed_z2,fixed_z2,OP10,map_b,3842096435,13000,6,2,2,1,0,0,nan,-7.48553628573427,1,176,0,0,1
fixed_z2,fixed_z2,OP10,map_b,1635050873,13000,7,2,2,1,0,0,nan,-2.0205818971735425,1,131,0,0,1
fixed_z2,fixed_z2,OP10,map_b,2038744223,13000,8,2,2,1,0,0,nan,-3.0804837198229507,3,141,0,0,1
fixed_z2,fixed_z2,OP10,map_b,3951542792,13000,9,2,2,1,0,0,nan,-13.016849514649948,2,285,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,2777372960,13100,0,2,2,1,0,0,nan,-1.148802546755178,2,92,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,3407611472,13100,1,2,2,1,0,0,nan,-1.9146414002170786,1,99,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,15168419,13100,2,2,2,1,0,0,nan,-7.260734103649156,3,215,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,926867686,13100,3,2,2,1,0,0,nan,-2.803572589356918,3,135,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,2767448926,13100,4,2,2,1,0,0,nan,-12.268782307364745,3,267,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,4145272665,13100,5,2,2,1,0,0,nan,-1.699165072030155,2,115,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,767378748,13100,6,2,2,1,0,0,nan,-5.19606941199163,3,175,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,3685093027,13100,7,2,2,1,0,0,nan,0.016898339352337644,3,70,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,726531779,13100,8,2,2,1,0,0,nan,-4.434429582150187,2,146,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,2562741175,13100,9,2,2,1,0,0,nan,-3.781826461519813,2,123,0,0,1
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,1567454902,12000,0,0,0 2 0,3,2,2,1.3752518684938233,-0.1295236645382829,3,88,2,3,2
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,828165341,12000,1,,,0,0,0,nan,-9.517784722876968,3,226,5,8,4
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,2288446678,12000,2,,,0,0,0,nan,-1.5822292980446946,2,115,2,4,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,1246762053,12000,3,,,0,0,0,nan,-1.6867219684354495,3,104,1,4,2
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,4204714612,12000,4,,,0,0,0,nan,-0.8077707448974252,2,91,2,3,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,3390190298,12000,5,,,0,0,0,nan,-10.28973904682789,3,239,5,8,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,3786980591,12000,6,,,0,0,0,nan,-4.683143948001089,3,166,3,6,4
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,206865822,12000,7,,,0,0,0,nan,-0.5195738823676948,3,87,0,3,1
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,3902646178,12000,8,,,0,0,0,nan,-2.3893280715856235,2,120,2,4,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,2768330915,12000,9,,,0,0,0,nan,-1.026732410711702,2,91,1,3,2
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,812546814,12100,0,3,3 2 0 0 0 0,6,2,2,1.3764054999866737,-6.2794807895843405,3,177,2,6,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,1217414495,12100,1,,,0,0,0,nan,-0.19695322916959412,3,77,2,3,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,2711509458,12100,2,,,0,0,0,nan,-3.4899096840817947,2,115,1,4,2
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,932595850,12100,3,,,0,0,0,nan,-1.5405612216272857,2,96,2,3,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,3185858285,12100,4,,,0,0,0,nan,-7.9127289616153575,3,214,5,7,4
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,3646931710,12100,5,,,0,0,0,nan,-1.0055742277763784,3,100,3,4,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,3540334443,12100,6,,,0,0,0,nan,-0.5530607474502176,2,75,1,3,2
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,4255550319,12100,7,,,0,0,0,nan,-12.505037378432462,2,285,8,9,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,3918272334,12100,8,,,0,0,0,nan,-4.495781281526433,-1,143,2,5,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b_split_lane_v2,689111831,12100,9,,,0,0,0,nan,-7.652043377893278,3,198,5,7,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,284427023,13000,0,1,1 2 3 2 3,5,4,4,1.3771511519563906,-4.771673336013919,3,157,4,5,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,2715975335,13000,1,,,0,0,0,nan,-3.2128461948304903,2,118,2,4,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,1039790048,13000,2,,,0,0,0,nan,-13.883487331680954,3,292,8,10,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,1121016425,13000,3,,,0,0,0,nan,-4.847606313298456,-1,136,3,5,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,3746914714,13000,4,,,0,0,0,nan,-13.141762167273555,3,300,6,10,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,603743737,13000,5,,,0,0,0,nan,-0.36121068079955876,3,94,1,3,2
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,3842096435,13000,6,,,0,0,0,nan,-3.9904652978875674,3,146,1,5,2
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,1635050873,13000,7,,,0,0,0,nan,-12.858522843162064,3,257,5,9,4
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,2038744223,13000,8,,,0,0,0,nan,-0.704136551474221,3,95,1,3,2
uniform_random_at_router_opportunities,uniform_z,OP10,map_b,3951542792,13000,9,,,0,0,0,nan,-5.2685631368658505,3,156,3,5,4
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,2777372960,13100,0,0,0 3 1 2 3 0 3 0 3,9,8,8,1.3757255556208208,-10.01077587751206,2,258,8,9,4
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,3407611472,13100,1,,,0,0,0,nan,-1.1999652854574379,1,87,2,3,2
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,15168419,13100,2,,,0,0,0,nan,-1.0390079798235092,1,81,2,3,2
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,926867686,13100,3,,,0,0,0,nan,-6.991989597183419,3,197,5,7,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,2767448926,13100,4,,,0,0,0,nan,-4.759955789690139,2,141,3,5,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,4145272665,13100,5,,,0,0,0,nan,-0.33828031524899416,2,82,2,3,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,767378748,13100,6,,,0,0,0,nan,-2.336432424810482,1,103,3,4,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,3685093027,13100,7,,,0,0,0,nan,0.016895347012905404,3,70,1,3,2
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,726531779,13100,8,,,0,0,0,nan,-6.306876399728935,2,157,4,5,3
uniform_random_at_router_opportunities,uniform_z,OP10,map_b_split_lane_v2,2562741175,13100,9,,,0,0,0,nan,-6.532065062288893,2,171,4,6,3
shuffled_qphi_outputs,shuffled_router,OP8,map_b,1567454902,12000,0,3,3 3 3,3,0,0,1.3767176237367993,-1.0224197009811178,3,77,0,3,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b,828165341,12000,1,,,0,0,0,nan,-0.8263547296519391,3,96,0,3,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b,2288446678,12000,2,,,0,0,0,nan,-1.4030796508595813,1,95,0,3,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b,1246762053,12000,3,,,0,0,0,nan,-1.239762066543335,2,104,0,4,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b,4204714612,12000,4,,,0,0,0,nan,-1.7028108690283261,1,103,0,4,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b,3390190298,12000,5,,,0,0,0,nan,-0.41779061386478133,2,81,0,3,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b,3786980591,12000,6,,,0,0,0,nan,-1.4147737123712432,2,112,0,4,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b,206865822,12000,7,,,0,0,0,nan,-0.5195738823676948,3,87,0,3,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b,3902646178,12000,8,,,0,0,0,nan,-2.3334580285591073,2,110,0,4,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b,2768330915,12000,9,,,0,0,0,nan,-1.6344755867030472,2,109,0,4,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b_split_lane_v2,812546814,12100,0,3,3 3 3 3 3,5,0,0,1.3758560057294127,-3.119251960917609,2,141,0,5,1
shuffled_qphi_outputs,shuffled_router,OP8,map_b_split_lane_v2,1217414495,12100,1,,,0,0,0,nan,-5.237404120154679,3,141,0,5,1
