tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
28,18.999780654907227,10.55564022064209,11.95911693572998,9.206598281860352,13.701501846313477,8.811676979064941,13.725646018981934,9.796191215515137,0,45,0,45,0,0
29,18.999910354614258,10.55558967590332,10.873556137084961,9.29308032989502,12.78502082824707,8.516775131225586,12.821152687072754,9.990067481994629,0,45,0,45,0,0
30,18.999980926513672,10.555562973022461,9.787995338439941,9.379562377929688,11.809382438659668,8.407520294189453,11.857937812805176,10.140152931213379,0,45,0,45,0,0
31,19.0,10.5555419921875,8.702434539794922,9.466044425964355,12.005498886108398,9.924897193908691,12.02890682220459,8.615045547485352,0,45,0,45,0,0
32,19.0,10.555561065673828,7.616873741149902,9.552526473999023,13.03921890258789,10.01810073852539,13.0663480758667,8.583751678466797,0,45,0,45,0,0
33,19.0,10.555541038513184,6.531312942504883,9.639008522033691,14.072938919067383,10.111307144165039,14.051301002502441,8.91106128692627,0,45,0,45,0,0
34,19.0,10.555560111999512,5.445752143859863,9.72549057006836,15.106658935546875,10.204509735107422,15.0362548828125,9.238367080688477,0,45,0,45,0,0
35,19.0,10.555540084838867,4.360191345214844,9.811972618103027,16.220718383789062,10.791220664978027,15.940868377685547,9.072173118591309,0,45,0,45,0,0
36,19.0,10.555559158325195,3.274630546569824,9.898454666137695,17.254919052124023,10.703520774841309,16.874778747558594,9.5250244140625,0,45,0,45,0,0
37,19.0,10.933116912841797,3.2318458557128906,10.986614227294922,17.90252685546875,11.126490592956543,17.570337295532227,9.538348197937012,0,45,0,45,0,0
38,18.732711791992188,11.876123428344727,4.307265281677246,11.158062934875488,18.47206687927246,11.026137351989746,18.31226921081543,10.26217269897461,0,45,0,45,0,0
39,17.6437931060791,11.862756729125977,5.395350933074951,11.113443374633789,19.0,11.534382820129395,18.09687042236328,10.850744247436523,0,45,0,45,0,0
40,16.56243133544922,11.73399543762207,6.483436584472656,11.06882381439209,19.0,12.239194869995117,17.86174201965332,11.375934600830078,0,45,0,45,0,0
41,15.481070518493652,11.605234146118164,7.571522235870361,11.02420425415039,18.304826736450195,13.009906768798828,17.21289825439453,11.637069702148438,0,45,0,45,0,0
42,14.399709701538086,11.476472854614258,8.659607887268066,10.979584693908691,17.37554168701172,12.547636032104492,16.31415557861328,11.620548248291016,0,45,0,45,0,0
43,13.31834888458252,11.347711563110352,9.74769401550293,10.934965133666992,16.398967742919922,12.196113586425781,15.32064151763916,11.545778274536133,0,45,0,45,0,0
44,12.236988067626953,11.218950271606445,10.835779190063477,10.890345573425293,15.398308753967285,11.9205322265625,14.287769317626953,11.44360637664795,0,45,0,45,0,0
