condition,condition_display,opponent,map,cell_seed,episode_index,episode_seed,return,success,steps,blue_score,red_score,score_margin,strategy_switches,strategy_resamples,strategy_unique_count,strategy_entropy_mean,strategy_dominant,checkpoint
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,22,759229268,-1.3185047882143408,1,88,3,0,3,1,3,2,1.3857878284020857,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,23,787145470,-0.301822673965944,1,94,3,0,3,0,3,1,1.3856640863925853,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,24,1534052061,-1.1221826442633756,1,92,3,0,3,1,3,2,1.385612198840017,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,0,1571581885,-1.6946705025620759,1,96,3,0,3,0,3,1,1.38570790241162,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,1,1410574743,-7.087008946400601,1,173,3,0,3,1,6,2,1.3855596332880802,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,2,256972946,-2.302092158875894,1,97,3,0,3,0,4,1,1.3856462522880317,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,3,2462631693,-4.115497804188635,1,132,3,1,2,2,5,2,1.3855665262901422,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,4,4106232906,-16.050294202956138,1,320,3,0,3,5,10,2,1.385323702543974,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,5,2858806481,-7.714651641435921,1,203,3,0,3,6,7,2,1.3855141501121333,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,6,869411656,-7.291685749805765,1,205,3,0,3,3,7,2,1.3854113003102744,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,7,3850081587,-10.187874730676413,1,229,3,0,3,2,8,2,1.38538872831253,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,8,3983444188,-0.8203823355433997,1,89,3,1,2,1,3,2,1.3856912717390597,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,9,1945422716,-1.8288475221488625,1,114,3,0,3,1,4,2,1.3856605709644787,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,10,2618297035,-4.84452418339788,1,168,3,0,3,2,6,2,1.3854250077690398,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,11,168181656,-3.526829052483663,1,129,3,0,3,0,5,1,1.3856266228727592,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,12,2751692655,-0.16865094311651774,1,87,3,0,3,1,3,2,1.3857233510620293,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,13,3533364987,-1.0111653416242916,1,89,3,0,3,0,3,1,1.3857745173272122,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,14,3696954700,-3.5068367634667084,1,143,3,0,3,0,5,1,1.3856293321489455,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,10000,15,97240852,-5.907517818035558,1,181,3,0,3,0,6,1,1.385456610779736,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
