policy_id,diversity_condition,opponent,eval_seed,win,loss,draw,score_margin,blue_score,red_score,seen_in_training,arm,train_seed
vgc_d1_seed3600001,D1,OP8,9200010,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200011,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200012,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200013,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200014,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200015,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200016,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200017,1,0,0,3.0,3.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200018,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200019,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200020,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200021,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200022,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200023,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200024,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200025,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200026,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200027,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
