pole,genome_id,episode_seed,blue_style,blue_score,red_score,win,draw,steps,t_intent,t_commit,zero_zero,total_score
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000074,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,7,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000075,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,130,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000075,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,82,82,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000076,BLUE_ONE_DEFENDER_V2,3,1,1,0,154,44,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000076,BLUE_BOTH_ATTACK_V2,1,0,1,0,240,,30,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000077,BLUE_ONE_DEFENDER_V2,0,0,0,1,240,,,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000077,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,56,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000078,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,220,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000078,BLUE_BOTH_ATTACK_V2,1,1,0,1,240,42,25,0,2
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000079,BLUE_ONE_DEFENDER_V2,2,1,1,0,240,146,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000079,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,10,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000080,BLUE_ONE_DEFENDER_V2,3,0,1,0,202,,,0,3
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000080,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,111,6,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000081,BLUE_ONE_DEFENDER_V2,1,0,1,0,240,,,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000081,BLUE_BOTH_ATTACK_V2,0,0,0,1,240,,24,1,0
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000082,BLUE_ONE_DEFENDER_V2,3,1,1,0,199,,,0,4
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000082,BLUE_BOTH_ATTACK_V2,0,1,0,0,240,56,25,0,1
A_SDS2_INIT_3,SDS2_A_payoff_INIT_3,6000083,BLUE_ONE_DEFENDER_V2,2,0,1,0,240,,,0,2
