policy_seed,opponent,eval_seed,episode_key,kind,failure_label,outcome_step,band,band_start_off,band_end_off,window_start,window_end,window_len,opp_has_carrier,score_stratum,none_forward_frac,mate_can_intervene,intervention_margin,carrier_pressure
3200001,OP6,9800014,OP6:9800014,failure,tagged_while_carrying,57,middle,-20,-10,37,47,10,True,tied,1.0,0.0,nan,0.5660555362701416
3200001,OP6,9800014,OP6:9800014,failure,tagged_while_carrying,57,latest,-10,0,47,57,10,True,tied,0.0,0.0,nan,0.39667431712150575
3200001,OP6,9800014,OP6:9800014,failure,tagged_while_carrying,91,earliest,-30,-20,61,71,10,True,trailing,0.2,0.0,nan,0.2659399112065633
3200001,OP6,9800014,OP6:9800014,failure,tagged_while_carrying,91,middle,-20,-10,71,81,10,True,tied,1.0,0.0,nan,0.39893646240234376
3200001,OP6,9800014,OP6:9800014,failure,tagged_while_carrying,91,latest,-10,0,81,91,10,True,tied,0.1,0.0,nan,0.14920944720506668
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,30,earliest,-30,-20,0,10,10,False,tied,0.8,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,30,middle,-20,-10,10,20,10,False,tied,0.8,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,30,latest,-10,0,20,30,10,True,tied,0.0,0.0,nan,0.10925333201885223
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,78,earliest,-30,-20,48,58,10,False,leading,0.1,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,78,middle,-20,-10,58,68,10,False,leading,0.8,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,78,latest,-10,0,68,78,10,True,leading,0.0,0.0,nan,0.2027885839343071
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,145,earliest,-30,-20,115,125,10,False,trailing,0.0,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,145,middle,-20,-10,125,135,10,False,trailing,0.4,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,145,latest,-10,0,135,145,10,False,trailing,0.5,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,198,earliest,-30,-20,168,178,10,False,tied,0.4,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,198,middle,-20,-10,178,188,10,False,tied,0.4,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,198,latest,-10,0,188,198,10,True,tied,0.4,0.0,nan,0.10299108177423477
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,225,earliest,-30,-20,195,205,10,True,tied,0.0,0.0,nan,0.08654280379414558
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,225,middle,-20,-10,205,215,10,False,tied,0.5,nan,nan,nan
3200001,OP6,9800017,OP6:9800017,failure,tagged_while_carrying,225,latest,-10,0,215,225,10,True,tied,0.1,0.0,nan,0.09958858291308086
3200001,OP6,9800019,OP6:9800019,failure,tagged_while_carrying,30,earliest,-30,-20,0,10,10,False,tied,0.8,nan,nan,nan
3200001,OP6,9800019,OP6:9800019,failure,tagged_while_carrying,30,middle,-20,-10,10,20,10,False,tied,0.0,nan,nan,nan
