episode_seed,blue_style,map,resolved_map,opponent,blue_first_capture_step,red_first_capture_step,blue_captured,red_captured,blue_score,red_score,capture_count,win_margin,blue_captures_by_60,red_captures_by_60,blue_home_defense_fraction,blue_forward_commitment_fraction,mean_num_attackers,mean_num_defenders,blue_tag_successes,red_tag_successes,cooldown_denials,first_flag_contact_step,first_pickup_step,first_flag_drop_step,carrier_return_steps,episode_steps,ruleset_id,taggers_required,tag_min_interval_seconds,tag_nearest_only,tag_channel_seconds,suppression_attackers_required
2000009,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,28,91,1,1,3,1,4,2,1,0,0.7565217391304347,0.40869565217391307,0.8173913043478261,1.1652173913043478,6,4,5,12,12,28,50,115,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000009,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,28,45,1,1,3,1,4,2,1,1,0.9914529914529915,0.24358974358974358,0.48717948717948717,1.4957264957264957,3,1,18,12,12,28,49,117,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000010,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,31,1,1,3,2,5,1,1,1,0.7575757575757576,0.41414141414141414,0.8282828282828283,1.1515151515151516,4,3,18,15,16,32,58,99,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000010,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,68,96,1,1,3,1,4,2,0,0,0.9950248756218906,0.23383084577114427,0.46766169154228854,1.5223880597014925,7,5,16,29,29,31,50,201,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000011,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,34,1,1,3,2,5,1,1,1,0.7282608695652174,0.41304347826086957,0.8260869565217391,1.1521739130434783,4,1,5,15,16,32,50,92,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000011,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,72,98,1,1,3,1,4,2,0,0,0.9936708860759493,0.22784810126582278,0.45569620253164556,1.5316455696202531,5,2,21,28,29,30,51,158,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000012,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,35,1,1,3,1,4,2,1,1,0.8061224489795918,0.3979591836734694,0.7959183673469388,1.183673469387755,4,3,3,16,16,32,54,98,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000012,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,33,37,1,1,3,1,4,2,2,1,0.989010989010989,0.23626373626373626,0.4725274725274725,1.5054945054945055,2,0,14,16,16,33,48,91,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000013,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,47,36,1,1,2,3,5,-1,1,1,0.7288135593220338,0.4632768361581921,0.9265536723163842,1.0621468926553672,8,11,18,25,25,27,55,177,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000013,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,66,150,1,1,3,1,4,2,0,0,0.9943181818181818,0.23295454545454544,0.4659090909090909,1.5227272727272727,5,4,10,51,51,66,49,176,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000014,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,37,1,1,3,1,4,2,1,1,0.9139784946236559,0.3387096774193548,0.6774193548387096,1.3010752688172043,3,3,4,15,15,32,50,93,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000014,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,69,97,1,1,3,1,4,2,0,0,0.9921259842519685,0.20866141732283464,0.41732283464566927,1.5669291338582678,4,2,13,28,28,30,47,127,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000015,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,50,1,1,3,2,5,1,1,1,0.6173913043478261,0.4826086956521739,0.9652173913043478,1.017391304347826,3,2,7,12,13,32,54,115,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000015,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,31,39,1,1,3,1,4,2,2,1,0.9891304347826086,0.23369565217391305,0.4673913043478261,1.5108695652173914,4,0,11,14,14,31,49,92,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000016,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,33,1,1,3,2,5,1,1,1,0.7578947368421053,0.3894736842105263,0.7789473684210526,1.2,4,2,3,16,16,32,50,95,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000016,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,36,39,1,1,3,1,4,2,1,1,0.9939759036144579,0.24096385542168675,0.4819277108433735,1.5060240963855422,5,2,19,16,17,36,52,166,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000017,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,30,33,1,1,3,1,4,2,1,1,0.9120879120879121,0.3516483516483517,0.7032967032967034,1.2747252747252746,2,3,1,15,15,30,47,91,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000017,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,70,95,1,1,3,1,4,2,0,0,0.9936305732484076,0.22929936305732485,0.4585987261146497,1.5286624203821657,6,3,22,28,28,30,57,157,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000018,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,30,36,1,1,2,3,5,-1,1,1,0.6729559748427673,0.449685534591195,0.89937106918239,1.0880503144654088,7,8,7,13,13,30,52,159,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000018,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,31,41,1,1,3,1,4,2,1,1,0.9896907216494846,0.22164948453608246,0.44329896907216493,1.5360824742268042,4,0,15,15,15,31,53,97,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000019,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,34,34,1,1,3,2,5,1,1,1,0.7087378640776699,0.4320388349514563,0.8640776699029126,1.116504854368932,4,3,9,15,15,34,59,103,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000019,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,33,34,1,1,3,1,4,2,1,1,0.9928571428571429,0.25,0.5,1.4857142857142858,4,2,14,15,16,33,48,140,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000020,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,34,1,1,3,2,5,1,1,1,0.8043478260869565,0.4166666666666667,0.8333333333333334,1.1521739130434783,4,4,10,15,16,32,65,138,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000020,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,58,34,1,1,3,1,4,2,1,1,0.9917355371900827,0.2396694214876033,0.4793388429752066,1.5041322314049588,4,1,13,15,16,21,56,121,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000021,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,33,35,1,1,3,2,5,1,1,1,0.8247422680412371,0.4020618556701031,0.8041237113402062,1.175257731958763,3,3,6,16,17,33,54,97,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000021,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,70,100,1,1,3,1,4,2,0,0,0.9935483870967742,0.22580645161290322,0.45161290322580644,1.5354838709677419,5,3,18,29,29,32,53,155,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000022,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,41,35,1,1,2,3,5,-1,1,1,0.72,0.425,0.85,1.13,4,4,4,15,25,41,38,100,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000022,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,58,85,1,1,3,2,5,1,1,0,0.9947368421052631,0.24210526315789474,0.4842105263157895,1.5052631578947369,6,4,19,15,41,58,51,190,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000023,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,35,64,1,1,3,1,4,2,1,0,0.7448979591836735,0.42346938775510207,0.8469387755102041,1.1326530612244898,5,3,23,13,13,35,57,98,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000023,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,154,184,1,1,2,1,3,1,0,0,0.9958333333333333,0.25,0.5,1.4916666666666667,12,7,27,16,16,19,39,240,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000024,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,33,33,1,1,3,2,5,1,1,1,0.6344086021505376,0.46236559139784944,0.9247311827956989,1.053763440860215,3,1,8,14,15,33,52,93,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000024,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,58,136,1,1,3,1,4,2,1,0,0.9938271604938271,0.23765432098765432,0.47530864197530864,1.5123456790123457,6,3,10,15,39,58,49,162,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000025,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,33,38,1,1,3,2,5,1,1,1,0.7319587628865979,0.4020618556701031,0.8041237113402062,1.175257731958763,5,3,10,14,14,33,54,97,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000025,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,31,39,1,1,3,1,4,2,1,1,0.9927007299270073,0.23722627737226276,0.4744525547445255,1.510948905109489,4,2,11,14,14,31,49,137,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000026,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,97,92,1,1,3,2,5,1,0,0,0.6956521739130435,0.43167701863354035,0.8633540372670807,1.124223602484472,9,9,14,28,29,35,62,161,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000026,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,68,96,1,1,3,1,4,2,0,0,0.9936305732484076,0.2356687898089172,0.4713375796178344,1.515923566878981,4,3,14,27,27,28,53,157,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000027,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,35,34,1,1,3,2,5,1,1,1,0.6,0.46842105263157896,0.9368421052631579,1.0421052631578946,3,1,0,14,15,17,54,95,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000027,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,31,34,1,1,3,1,4,2,2,1,0.9891304347826086,0.2554347826086957,0.5108695652173914,1.4673913043478262,4,0,16,14,15,31,49,92,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000028,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,31,38,1,1,1,2,3,-1,1,1,0.775,0.45208333333333334,0.9041666666666667,1.0875,15,16,21,15,15,31,35,240,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000028,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,73,97,1,1,3,1,4,2,0,0,0.9925925925925926,0.22592592592592592,0.45185185185185184,1.5333333333333334,4,2,10,31,31,32,50,135,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000029,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,30,35,1,1,3,2,5,1,1,1,0.9456521739130435,0.32065217391304346,0.6413043478260869,1.3369565217391304,3,3,0,15,15,30,49,92,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000029,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,72,97,1,1,3,1,4,2,0,0,0.9923076923076923,0.2230769230769231,0.4461538461538462,1.5384615384615385,4,2,12,29,29,30,47,130,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000030,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,29,36,1,1,3,1,4,2,1,1,0.7758620689655172,0.4051724137931034,0.8103448275862069,1.1724137931034482,6,3,2,12,12,29,51,116,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000030,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,30,39,1,1,3,2,5,1,1,1,0.9930555555555556,0.2569444444444444,0.5138888888888888,1.4722222222222223,3,2,13,12,12,30,55,144,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000031,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,36,1,1,3,2,5,1,1,1,0.9175257731958762,0.3402061855670103,0.6804123711340206,1.2989690721649485,4,4,4,15,16,32,51,97,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000031,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,49,241,1,0,3,0,3,3,1,0,0.9925925925925926,0.2222222222222222,0.4444444444444444,1.5407407407407407,5,2,13,30,31,49,52,135,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000032,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,31,55,1,1,3,1,4,2,2,1,0.7362637362637363,0.4010989010989011,0.8021978021978022,1.1758241758241759,6,2,7,13,13,31,53,91,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2000032,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,61,63,1,1,3,1,4,2,0,0,0.9941520467836257,0.24853801169590642,0.49707602339181284,1.4912280701754386,6,4,20,17,17,20,52,171,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
