episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
102,1,196.812,300.069,22,423,0,4.63362,2.78495,0.1,OP1,scripted,OP1,1,0
103,1,146.916,300.069,401,48,0,4.73296,3.15948,0.266667,OP1,scripted,OP1,2,0
104,1,136.521,300.069,412,48,0,4.99586,2.91989,0.208333,OP1,scripted,OP1,2,0
105,1,69.993,282.744,334,35,0,6.04843,3.44618,0.241667,OP1,scripted,OP1,3,0
106,1,29.799,115.731,112,4,0,4.93997,2.70143,0.166667,OP1,scripted,OP1,3,0
107,1,92.862,250.173,294,28,0,5.68779,3.2481,0.341667,OP1,scripted,OP1,3,0
108,1,29.799,81.774,56,10,0,4.92293,2.72568,0.116667,OP1,scripted,OP1,3,0
109,1,60.984,300.069,354,23,0,4.7275,2.73191,0.108333,OP1,scripted,OP1,2,0
110,1,29.799,300.069,422,24,0,4.35871,2.74031,0.266667,OP1,scripted,OP1,2,0
111,1,69.3,300.069,402,31,0,5.88969,3.17936,0.258333,OP1,scripted,OP1,2,0
112,1,92.862,198.891,115,142,0,5.39458,3.23541,0.1,OP1,scripted,OP1,3,0
113,1,153.153,287.595,337,39,0,5.41841,3.65789,0.175,OP1,scripted,OP1,3,0
114,1,23.562,273.735,23,347,0,5.53895,3.41264,0.141667,OP1,scripted,OP1,3,0
115,1,96.327,160.083,105,74,0,5.21337,2.54801,0.175,OP1,scripted,OP1,3,0
116,1,90.783,268.191,366,30,0,4.61856,2.75684,0.225,OP1,scripted,OP1,3,0
117,1,237.006,300.069,428,32,0,4.81396,2.67807,0.2,OP1,scripted,OP1,1,0
118,1,50.589,300.069,412,25,0,5.58206,3.25424,0.2,OP1,scripted,OP1,2,0
119,1,208.593,300.069,392,45,0,5.03902,2.98975,0.141667,OP1,scripted,OP1,1,0
120,1,83.16,150.381,24,148,0,4.91795,2.92302,0.158333,OP1,scripted,OP1,3,0
121,1,45.738,246.015,67,224,0,4.75791,2.6433,0.266667,OP1,scripted,OP1,3,0
122,1,35.343,84.546,60,15,0,4.14703,3.04732,0.116667,OP1,scripted,OP1,3,0
123,1,203.742,300.069,28,404,0,4.76733,3.11032,0.25,OP1,scripted,OP1,1,0
124,1,299.376,300.069,427,15,0,5.37754,2.9547,0.191667,OP1,scripted,OP1,1,0
125,1,126.126,300.069,417,27,0,5.11422,2.70949,0.25,OP1,scripted,OP1,2,0
126,1,47.817,300.069,434,40,0,4.81881,2.92554,0.225,OP1,scripted,OP1,1,0
127,1,199.584,291.753,53,360,0,4.90249,3.16845,0.275,OP1,scripted,OP1,3,0
128,1,74.151,300.069,434,39,0,4.27523,2.35317,0.116667,OP1,scripted,OP1,1,0
129,1,48.51,185.031,225,19,0,4.77063,2.52303,0.15,OP1,scripted,OP1,3,0
130,1,147.609,300.069,403,31,0,4.93374,3.00757,0.366667,OP1,scripted,OP1,2,0
131,1,127.512,300.069,415,22,0,4.72242,2.89911,0.175,OP1,scripted,OP1,2,0
132,1,31.185,297.297,387,17,0,5.44712,2.9262,0.341667,OP1,scripted,OP1,3,0
133,1,22.176,155.925,159,26,0,4.5912,2.76146,0.166667,OP1,scripted,OP1,3,0
