episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count
97,1,30.492,300.069,413,13,0,5.53922,2.8548,0.266667,OP1,scripted,OP1,1,0,0
98,1,115.038,300.069,418,29,0,4.34842,2.54181,0.158333,OP1,scripted,OP1,1,0,0
99,1,27.72,300.069,420,25,0,5.04376,2.92363,0.208333,OP1,scripted,OP1,1,0,0
100,1,76.23,300.069,408,46,0,3.99519,2.40582,0.141667,OP1,scripted,OP1,1,0,0
101,0,,300.069,431,30,0,5.18834,3.73516,0.35,OP1,scripted,OP1,0,0,0
102,1,27.72,300.069,435,26,0,4.7982,2.88512,0.175,OP1,scripted,OP1,1,0,0
103,1,30.492,212.751,257,22,0,4.80819,2.77164,0.191667,OP1,scripted,OP1,3,0,0
104,1,33.957,122.661,115,14,0,4.64151,2.49228,0.258333,OP1,scripted,OP1,3,0,0
105,1,29.799,300.069,396,44,0,4.18474,2.59691,0.183333,OP1,scripted,OP1,2,0,0
106,1,144.144,300.069,63,390,0,5.20348,3.23317,0.216667,OP1,scripted,OP1,2,0,0
107,1,29.106,300.069,395,23,0,4.64032,2.74298,0.275,OP1,scripted,OP1,2,0,0
108,1,31.878,300.069,413,34,0,3.66583,2.38821,0.133333,OP1,scripted,OP1,2,0,0
109,0,,300.069,437,46,0,4.21328,2.94397,0.158333,OP1,scripted,OP1,0,0,0
110,1,29.106,286.902,364,38,0,4.37577,2.78617,0.2,OP1,scripted,OP1,3,0,0
111,0,,300.069,432,25,0,5.40984,3.02064,0.183333,OP1,scripted,OP1,0,0,0
112,1,40.194,300.069,392,20,0,4.4925,2.80803,0.208333,OP1,scripted,OP1,2,0,0
113,1,58.905,300.069,404,45,0,4.55632,2.98667,0.15,OP1,scripted,OP1,2,0,0
114,1,27.027,250.866,300,28,0,5.9447,3.46563,0.25,OP1,scripted,OP1,3,0,0
115,1,104.643,228.69,279,21,0,5.94523,3.08043,0.233333,OP1,scripted,OP1,3,0,0
116,0,,300.069,422,28,0,4.88915,2.89105,0.158333,OP1,scripted,OP1,0,0,0
117,1,89.397,300.069,410,35,0,4.63492,2.94837,0.3,OP1,scripted,OP1,2,0,0
118,0,,300.069,429,35,0,4.2296,2.43341,0.116667,OP1,scripted,OP1,0,0,0
119,1,39.501,100.485,15,65,0,4.14955,2.22029,0.116667,OP1,scripted,OP1,3,0,0
120,1,88.704,300.069,406,26,0,4.27067,2.37834,0.233333,OP1,scripted,OP1,1,0,0
121,1,24.948,107.415,81,21,0,4.25397,2.41345,0.158333,OP1,scripted,OP1,3,0,0
122,1,171.171,300.069,413,32,0,4.89516,2.96445,0.125,OP1,scripted,OP1,2,0,0
123,1,24.948,300.069,404,29,0,4.56843,2.61649,0.2,OP1,scripted,OP1,2,0,0
124,1,40.887,300.069,366,17,0,5.29876,2.64781,0.233333,OP1,scripted,OP1,2,0,0
125,1,48.51,108.108,21,100,0,3.67568,2.34133,0.15,OP1,scripted,OP1,3,0,0
126,1,32.571,103.257,92,14,0,5.78969,3.47554,0.141667,OP1,scripted,OP1,3,0,0
127,1,67.221,265.419,83,266,0,5.61134,3.02722,0.3,OP1,scripted,OP1,3,0,0
128,1,63.756,162.855,15,175,0,5.71916,2.89783,0.233333,OP1,scripted,OP1,3,0,0
129,1,55.44,300.069,401,24,0,4.63672,2.65836,0.158333,OP1,scripted,OP1,2,0,0
130,1,22.176,65.835,20,23,0,4.35718,2.08262,0.125,OP1,scripted,OP1,3,0,0
131,1,22.869,158.004,187,16,0,5.09543,2.99454,0.2,OP1,scripted,OP1,3,0,0
132,1,42.273,106.722,43,60,0,4.61384,2.73789,0.116667,OP1,scripted,OP1,3,0,0
133,1,36.036,300.069,413,25,0,5.33724,3.06903,0.15,OP1,scripted,OP1,1,0,0
134,1,30.492,167.706,164,26,0,4.82208,2.83758,0.208333,OP1,scripted,OP1,3,0,0
135,1,22.869,150.381,177,22,0,4.43518,3.17446,0.283333,OP1,scripted,OP1,3,0,0
136,1,29.106,104.643,96,19,0,6.11957,3.66283,0.183333,OP1,scripted,OP1,3,0,0
137,1,45.738,182.259,56,178,0,5.68098,3.52348,0.25,OP1,scripted,OP1,3,0,0
138,1,30.492,300.069,410,20,0,5.32994,2.78793,0.283333,OP1,scripted,OP1,1,0,0
