episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count,vec_schema_version
114,1,15.246,54.747,10,3,0,6.07664,3.03022,0.15,OP3,snapshot,,3,0,7,1
115,1,22.869,57.519,9,8,0,5.37392,3.22837,0.166667,OP3,snapshot,,3,0,7,1
116,1,36.729,131.67,24,7,0,5.27306,3.09982,0.225,OP3,snapshot,,3,0,7,1
117,1,49.896,99.792,18,7,0,4.20069,2.56802,0.308333,OP3,snapshot,,3,0,7,1
118,1,25.641,67.221,14,4,0,4.61252,3.15498,0.183333,OP3,snapshot,,3,0,7,1
119,1,40.194,72.765,12,8,0,4.01993,2.6238,0.25,OP3,snapshot,,3,0,7,1
120,1,25.641,84.546,12,6,0,5.18479,2.96091,0.166667,OP3,snapshot,,3,0,7,1
121,1,60.291,88.704,12,3,0,5.26231,3.23058,0.183333,OP3,snapshot,,3,0,7,1
122,1,22.176,56.826,16,5,0,4.95327,2.74609,0.183333,OP3,snapshot,,3,0,7,1
123,1,20.097,53.361,7,4,0,6.47572,3.52751,0.175,OP3,snapshot,,3,0,7,1
124,1,13.86,44.352,11,5,0,5.52562,3.63232,0.158333,OP3,snapshot,,3,0,7,1
125,1,30.492,63.756,23,4,0,4.65843,2.89791,0.191667,OP3,snapshot,,3,0,7,1
126,1,36.036,78.309,11,10,0,5.61716,3.52361,0.216667,OP3,snapshot,,3,0,7,1
127,1,18.018,67.914,13,3,0,6.13508,3.87106,0.175,OP3,snapshot,,3,0,7,1
128,1,38.115,86.625,19,7,0,5.09407,3.19039,0.15,OP3,snapshot,,3,0,7,1
129,1,30.492,86.625,15,5,0,5.01412,3.10119,0.216667,OP3,snapshot,,3,0,7,1
130,1,22.869,70.686,24,7,0,4.46041,2.42787,0.158333,OP3,snapshot,,3,0,8,1
131,1,13.86,79.695,15,1,0,4.37021,2.61112,0.175,OP3,snapshot,,3,0,8,1
132,1,32.571,91.476,17,4,0,5.6447,3.63453,0.175,OP3,snapshot,,3,0,8,1
133,1,14.553,55.44,12,0,0,5.51063,3.39606,0.158333,OP3,snapshot,,3,0,8,1
134,1,11.781,58.905,13,8,0,4.58158,3.15299,0.15,OP3,snapshot,,3,0,8,1
135,1,13.86,73.458,13,5,0,5.17466,2.80086,0.191667,OP3,snapshot,,3,0,8,1
136,1,41.58,74.151,25,11,0,4.79391,3.26751,0.183333,OP3,snapshot,,3,0,8,1
137,1,13.167,85.932,20,2,0,4.68461,3.13665,0.225,OP3,snapshot,,3,0,8,1
138,1,24.948,64.449,9,2,0,5.68326,3.35454,0.166667,OP3,snapshot,,3,0,8,1
139,1,22.869,82.467,19,7,0,4.96533,3.15459,0.175,OP3,snapshot,,3,0,8,1
140,1,38.808,106.029,8,4,0,5.82867,3.4191,0.225,OP3,snapshot,,3,0,8,1
141,1,23.562,87.318,15,5,0,5.04537,2.77141,0.166667,OP3,snapshot,,3,0,8,1
142,1,18.018,81.081,19,2,0,5.60594,3.23996,0.166667,OP3,snapshot,,3,0,8,1
143,1,12.474,51.975,17,8,0,5.11396,3.58794,0.166667,OP3,snapshot,,3,1,8,1
144,1,34.65,65.142,15,3,0,5.56346,3.49799,0.216667,OP3,snapshot,,3,0,8,1
145,1,24.948,80.388,15,11,0,4.42123,2.52364,0.175,OP3,snapshot,,3,0,8,1
