condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
shuffled_qphi_outputs,OP5,2000,0,2,64,1,3,1,-0.07131032645702362,0.07948054373264313,-0.03914257511496544,0.0610087551176548,0.23057855665683746,0.26810601353645325,0.23811635375022888,0.2631990611553192
shuffled_qphi_outputs,OP5,2001,0,0,0,1,1,0,-0.07131032645702362,0.07948054373264313,-0.03914257511496544,0.0610087551176548,0.23057855665683746,0.26810601353645325,0.23811635375022888,0.2631990611553192
shuffled_qphi_outputs,OP5,2001,0,1,32,1,1,0,-0.07131032645702362,0.07948054373264313,-0.03914257511496544,0.0610087551176548,0.23057855665683746,0.26810601353645325,0.23811635375022888,0.2631990611553192
shuffled_qphi_outputs,OP5,2001,0,2,64,3,1,1,-0.13292157649993896,0.04654022306203842,-0.003062032163143158,0.1283332258462906,0.21580559015274048,0.2582271695137024,0.24573104083538055,0.2802361845970154
shuffled_qphi_outputs,OP5,2001,0,3,96,1,3,1,-0.08112987875938416,0.023728463798761368,-0.03228861093521118,0.0049156807363033295,0.2352684885263443,0.2612781822681427,0.24704454839229584,0.25640878081321716
shuffled_qphi_outputs,OP5,2001,0,4,128,3,1,1,-0.13292157649993896,0.04654022306203842,-0.003062032163143158,0.1283332258462906,0.21580559015274048,0.2582271695137024,0.24573104083538055,0.2802361845970154
uniform_episode_fixed,OP5,2000,0,0,0,0,-1,0,-0.12682069838047028,0.04126089811325073,0.007975231856107712,0.1314428299665451,0.2163558006286621,0.25595608353614807,0.24757663905620575,0.28011152148246765
uniform_episode_fixed,OP5,2001,0,0,0,3,0,1,-0.13292157649993896,0.04654022306203842,-0.003062032163143158,0.1283332258462906,0.21580559015274048,0.2582271695137024,0.24573104083538055,0.2802361845970154
uniform_random_at_router_opportunities,OP5,2000,0,0,0,3,-1,0,-0.12682069838047028,0.04126089811325073,0.007975231856107712,0.1314428299665451,0.2163558006286621,0.25595608353614807,0.24757663905620575,0.28011152148246765
uniform_random_at_router_opportunities,OP5,2000,0,1,32,0,3,1,-0.08112987875938416,0.023728463798761368,-0.03228861093521118,0.0049156807363033295,0.2352684885263443,0.2612781822681427,0.24704454839229584,0.25640878081321716
uniform_random_at_router_opportunities,OP5,2000,0,2,64,0,0,0,-0.04594764858484268,0.06055165082216263,-0.05780980736017227,0.009690329432487488,0.24051181972026825,0.2675398290157318,0.23767566680908203,0.2542726695537567
uniform_random_at_router_opportunities,OP5,2000,0,3,96,0,0,0,-0.05789298564195633,0.022704198956489563,-0.08790566027164459,0.05820972099900246,0.23937883973121643,0.2594709098339081,0.23230119049549103,0.26884907484054565
uniform_random_at_router_opportunities,OP5,2001,0,0,0,3,0,1,-0.13292157649993896,0.04654022306203842,-0.003062032163143158,0.1283332258462906,0.21580559015274048,0.2582271695137024,0.24573104083538055,0.2802361845970154
uniform_random_at_router_opportunities,OP5,2001,0,1,32,3,3,0,-0.08885321021080017,0.1041351854801178,-0.02600272372364998,0.02672896906733513,0.22725914418697357,0.2756355106830597,0.24200089275836945,0.2551044523715973
uniform_random_at_router_opportunities,OP5,2001,0,2,64,3,3,0,-0.06612444669008255,0.07859808206558228,-0.043137140572071075,0.05061280354857445,0.23240698873996735,0.26859715580940247,0.23781126737594604,0.26118457317352295
uniform_random_at_router_opportunities,OP5,2001,0,3,96,3,3,0,-0.04893746227025986,0.08453205227851868,-0.05478670448064804,0.04634345695376396,0.23602040112018585,0.2697209119796753,0.23464389145374298,0.25961485505104065
