pole,opponent,episode_seed,blue_score,red_score,win,draw,steps,zero_zero,total_score,policy
B,OP7,7500013,1,0,1,0,240,0,1,pi_A
B,OP7,7500014,1,0,1,0,240,0,1,pi_A
B,OP7,7500015,2,0,1,0,240,0,2,pi_A
B,OP7,7500016,0,0,0,1,240,1,0,pi_A
B,OP7,7500017,1,0,1,0,240,0,1,pi_A
B,OP7,7500018,2,0,1,0,240,0,2,pi_A
B,OP7,7500019,0,0,0,1,240,1,0,pi_A
B,OP7,7500020,0,0,0,1,240,1,0,pi_A
B,OP7,7500021,1,0,1,0,240,0,1,pi_A
B,OP7,7500022,0,1,0,0,240,0,1,pi_A
B,OP7,7500023,0,0,0,1,240,1,0,pi_A
B,OP7,7500024,0,0,0,1,240,1,0,pi_A
B,OP7,7500025,0,0,0,1,240,1,0,pi_A
B,OP7,7500026,2,0,1,0,240,0,2,pi_A
B,OP7,7500027,1,0,1,0,240,0,1,pi_A
B,OP7,7500028,0,0,0,1,240,1,0,pi_A
B,OP7,7500029,1,0,1,0,240,0,1,pi_A
B,OP7,7500030,1,0,1,0,240,0,1,pi_A
B,OP7,7500031,0,0,0,1,240,1,0,pi_A
B,OP7,7500032,0,0,0,1,240,1,0,pi_A
B,OP7,7500033,1,1,0,1,240,0,2,pi_A
B,OP7,7500034,1,0,1,0,240,0,1,pi_A
B,OP7,7500035,0,0,0,1,240,1,0,pi_A
B,OP7,7500036,1,0,1,0,240,0,1,pi_A
B,OP7,7500037,0,0,0,1,240,1,0,pi_A
B,OP7,7500038,2,0,1,0,240,0,2,pi_A
B,OP7,7500039,3,0,1,0,207,0,3,pi_A
B,OP7,7500040,0,0,0,1,240,1,0,pi_A
B,OP7,7500041,1,0,1,0,240,0,1,pi_A
B,OP7,7500042,1,0,1,0,240,0,1,pi_A
B,OP7,7500043,1,0,1,0,240,0,1,pi_A
B,OP7,7500044,1,0,1,0,240,0,1,pi_A
B,OP7,7500045,2,0,1,0,240,0,2,pi_A
B,OP7,7500046,0,0,0,1,240,1,0,pi_A
B,OP7,7500047,0,0,0,1,240,1,0,pi_A
B,OP7,7500048,1,0,1,0,240,0,1,pi_A
B,OP7,7500049,0,0,0,1,240,1,0,pi_A
B,OP7,7500050,2,0,1,0,240,0,2,pi_A
B,OP7,7500051,0,0,0,1,240,1,0,pi_A
B,OP7,7500052,0,0,0,1,240,1,0,pi_A
B,OP7,7500053,1,0,1,0,240,0,1,pi_A
B,OP7,7500054,1,0,1,0,240,0,1,pi_A
B,OP7,7500055,1,1,0,1,240,0,2,pi_A
B,OP7,7500056,0,0,0,1,240,1,0,pi_A
B,OP7,7500057,3,0,1,0,210,0,3,pi_A
B,OP7,7500058,0,0,0,1,240,1,0,pi_A
B,OP7,7500059,0,0,0,1,240,1,0,pi_A
B,OP7,7500060,1,0,1,0,240,0,1,pi_A
B,OP7,7500061,0,0,0,1,240,1,0,pi_A
B,OP7,7500062,1,0,1,0,240,0,1,pi_A
B,OP7,7500063,1,0,1,0,240,0,1,pi_A
B,OP7,7500064,1,0,1,0,240,0,1,pi_A
B,OP7,7500065,1,0,1,0,240,0,1,pi_A
B,OP7,7500066,0,1,0,0,240,0,1,pi_A
B,OP7,7500067,1,1,0,1,240,0,2,pi_A
B,OP7,7500068,0,1,0,0,240,0,1,pi_A
B,OP7,7500069,2,1,1,0,240,0,3,pi_A
B,OP7,7500070,0,0,0,1,240,1,0,pi_A
B,OP7,7500071,0,1,0,0,240,0,1,pi_A
B,OP7,7500072,2,0,1,0,240,0,2,pi_A
B,OP7,7500073,0,0,0,1,240,1,0,pi_A
B,OP7,7500074,3,0,1,0,89,0,3,pi_A
B,OP7,7500075,0,0,0,1,240,1,0,pi_A
B,OP7,7500076,0,0,0,1,240,1,0,pi_A
B,OP7,7500077,0,1,0,0,240,0,1,pi_A
B,OP7,7500078,1,0,1,0,240,0,1,pi_A
B,OP7,7500079,2,0,1,0,240,0,2,pi_A
B,OP7,7500080,2,0,1,0,240,0,2,pi_A
B,OP7,7500081,0,1,0,0,240,0,1,pi_A
B,OP7,7500082,0,0,0,1,240,1,0,pi_A
B,OP7,7500083,2,0,1,0,240,0,2,pi_A
B,OP7,7500084,1,0,1,0,240,0,1,pi_A
B,OP7,7500085,2,0,1,0,240,0,2,pi_A
B,OP7,7500086,0,0,0,1,240,1,0,pi_A
B,OP7,7500087,1,1,0,1,240,0,2,pi_A
B,OP7,7500088,0,0,0,1,240,1,0,pi_A
B,OP7,7500089,1,0,1,0,240,0,1,pi_A
B,OP7,7500090,0,0,0,1,240,1,0,pi_A
B,OP7,7500091,0,0,0,1,240,1,0,pi_A
B,OP7,7500092,3,0,1,0,193,0,3,pi_A
B,OP7,7500093,2,0,1,0,240,0,2,pi_A
B,OP7,7500094,1,0,1,0,240,0,1,pi_A
B,OP7,7500095,0,0,0,1,240,1,0,pi_A
B,OP7,7500096,2,0,1,0,240,0,2,pi_A
B,OP7,7500097,0,0,0,1,240,1,0,pi_A
B,OP7,7500098,0,0,0,1,240,1,0,pi_A
B,OP7,7500099,1,1,0,1,240,0,2,pi_A
B,OP7,7500100,1,0,1,0,240,0,1,pi_A
B,OP7,7500101,1,0,1,0,240,0,1,pi_A
B,OP7,7500102,0,0,0,1,240,1,0,pi_A
B,OP7,7500103,0,0,0,1,240,1,0,pi_A
B,OP7,7500104,1,1,0,1,240,0,2,pi_A
B,OP7,7500105,1,0,1,0,240,0,1,pi_A
B,OP7,7500106,1,0,1,0,240,0,1,pi_A
B,OP7,7500107,1,0,1,0,240,0,1,pi_A
B,OP7,7500108,1,1,0,1,240,0,2,pi_A
B,OP7,7500109,1,0,1,0,240,0,1,pi_A
B,OP7,7500110,3,0,1,0,117,0,3,pi_A
B,OP7,7500111,1,0,1,0,240,0,1,pi_A
B,OP7,7500112,0,0,0,1,240,1,0,pi_A
B,OP7,7500113,0,0,0,1,240,1,0,pi_A
B,OP7,7500114,0,0,0,1,240,1,0,pi_A
B,OP7,7500115,0,0,0,1,240,1,0,pi_A
B,OP7,7500116,2,0,1,0,240,0,2,pi_A
B,OP7,7500117,0,0,0,1,240,1,0,pi_A
B,OP7,7500118,1,1,0,1,240,0,2,pi_A
B,OP7,7500119,0,0,0,1,240,1,0,pi_A
B,OP7,7500120,1,0,1,0,240,0,1,pi_A
B,OP7,7500121,0,0,0,1,240,1,0,pi_A
B,OP7,7500122,0,1,0,0,240,0,1,pi_A
B,OP7,7500123,2,0,1,0,240,0,2,pi_A
B,OP7,7500124,0,0,0,1,240,1,0,pi_A
B,OP7,7500125,0,0,0,1,240,1,0,pi_A
B,OP7,7500126,3,1,1,0,222,0,4,pi_A
B,OP7,7500127,0,0,0,1,240,1,0,pi_A
B,OP7,7500128,2,0,1,0,240,0,2,pi_A
B,OP7,7500129,1,0,1,0,240,0,1,pi_A
B,OP7,7500130,1,0,1,0,240,0,1,pi_A
B,OP7,7500131,1,1,0,1,240,0,2,pi_A
B,OP7,7500132,0,0,0,1,240,1,0,pi_A
B,OP7,7500133,1,0,1,0,240,0,1,pi_A
B,OP7,7500134,1,0,1,0,240,0,1,pi_A
B,OP7,7500135,1,0,1,0,240,0,1,pi_A
B,OP7,7500136,3,0,1,0,195,0,3,pi_A
B,OP7,7500137,1,0,1,0,240,0,1,pi_A
B,OP7,7500138,0,1,0,0,240,0,1,pi_A
B,OP7,7500139,1,0,1,0,240,0,1,pi_A
B,OP7,7500140,2,0,1,0,240,0,2,pi_A
B,OP7,7500141,1,0,1,0,240,0,1,pi_A
B,OP7,7500142,0,0,0,1,240,1,0,pi_A
B,OP7,7500143,1,0,1,0,240,0,1,pi_A
B,OP7,7500144,1,0,1,0,240,0,1,pi_A
B,OP7,7500145,1,0,1,0,240,0,1,pi_A
B,OP7,7500146,3,0,1,0,207,0,3,pi_A
B,OP7,7500147,1,0,1,0,240,0,1,pi_A
B,OP7,7500148,0,0,0,1,240,1,0,pi_A
B,OP7,7500149,0,0,0,1,240,1,0,pi_A
B,OP7,7500150,2,0,1,0,240,0,2,pi_A
B,OP7,7500151,1,0,1,0,240,0,1,pi_A
B,OP7,7500152,1,0,1,0,240,0,1,pi_A
B,OP7,7500153,1,0,1,0,240,0,1,pi_A
B,OP7,7500154,0,0,0,1,240,1,0,pi_A
B,OP7,7500155,2,0,1,0,240,0,2,pi_A
B,OP7,7500156,2,0,1,0,240,0,2,pi_A
B,OP7,7500157,0,0,0,1,240,1,0,pi_A
B,OP7,7500158,0,0,0,1,240,1,0,pi_A
B,OP7,7500159,0,0,0,1,240,1,0,pi_A
B,OP7,7500160,1,0,1,0,240,0,1,pi_A
B,OP7,7500161,1,0,1,0,240,0,1,pi_A
B,OP7,7500162,1,0,1,0,240,0,1,pi_A
B,OP7,7500163,1,0,1,0,240,0,1,pi_A
B,OP7,7500164,1,0,1,0,240,0,1,pi_A
B,OP7,7500165,0,1,0,0,240,0,1,pi_A
B,OP7,7500166,1,0,1,0,240,0,1,pi_A
B,OP7,7500167,2,0,1,0,240,0,2,pi_A
B,OP7,7500168,0,0,0,1,240,1,0,pi_A
B,OP7,7500169,1,0,1,0,240,0,1,pi_A
B,OP7,7500170,1,0,1,0,240,0,1,pi_A
B,OP7,7500171,1,0,1,0,240,0,1,pi_A
B,OP7,7500172,1,1,0,1,240,0,2,pi_A
B,OP7,7500173,2,0,1,0,240,0,2,pi_A
B,OP7,7500174,2,0,1,0,240,0,2,pi_A
B,OP7,7500175,1,0,1,0,240,0,1,pi_A
B,OP7,7500176,1,0,1,0,240,0,1,pi_A
B,OP7,7500177,2,0,1,0,240,0,2,pi_A
B,OP7,7500178,0,0,0,1,240,1,0,pi_A
B,OP7,7500179,2,0,1,0,240,0,2,pi_A
B,OP7,7500180,2,0,1,0,240,0,2,pi_A
B,OP7,7500181,0,1,0,0,240,0,1,pi_A
B,OP7,7500182,0,0,0,1,240,1,0,pi_A
B,OP7,7500183,0,0,0,1,240,1,0,pi_A
B,OP7,7500184,2,0,1,0,240,0,2,pi_A
B,OP7,7500185,0,0,0,1,240,1,0,pi_A
B,OP7,7500186,1,0,1,0,240,0,1,pi_A
B,OP7,7500187,2,0,1,0,240,0,2,pi_A
B,OP7,7500188,0,0,0,1,240,1,0,pi_A
B,OP7,7500189,0,2,0,0,240,0,2,pi_A
B,OP7,7500190,1,0,1,0,240,0,1,pi_A
B,OP7,7500191,0,0,0,1,240,1,0,pi_A
B,OP7,7500192,1,0,1,0,240,0,1,pi_A
A,OP6,7500001,0,0,0,1,240,1,0,pi_B
A,OP6,7500002,1,0,1,0,240,0,1,pi_B
A,OP6,7500003,1,1,0,1,240,0,2,pi_B
A,OP6,7500004,1,0,1,0,240,0,1,pi_B
A,OP6,7500005,0,0,0,1,240,1,0,pi_B
A,OP6,7500006,0,0,0,1,240,1,0,pi_B
A,OP6,7500007,0,0,0,1,240,1,0,pi_B
A,OP6,7500008,0,0,0,1,240,1,0,pi_B
A,OP6,7500009,0,0,0,1,240,1,0,pi_B
A,OP6,7500010,0,0,0,1,240,1,0,pi_B
A,OP6,7500011,0,0,0,1,240,1,0,pi_B
A,OP6,7500012,0,0,0,1,240,1,0,pi_B
A,OP6,7500013,1,1,0,1,240,0,2,pi_B
A,OP6,7500014,0,0,0,1,240,1,0,pi_B
A,OP6,7500015,2,1,1,0,240,0,3,pi_B
A,OP6,7500016,1,0,1,0,240,0,1,pi_B
A,OP6,7500017,1,0,1,0,240,0,1,pi_B
A,OP6,7500018,0,0,0,1,240,1,0,pi_B
A,OP6,7500019,0,0,0,1,240,1,0,pi_B
A,OP6,7500020,1,0,1,0,240,0,1,pi_B
A,OP6,7500021,1,0,1,0,240,0,1,pi_B
A,OP6,7500022,0,0,0,1,240,1,0,pi_B
A,OP6,7500023,1,1,0,1,240,0,2,pi_B
A,OP6,7500024,1,0,1,0,240,0,1,pi_B
A,OP6,7500025,0,0,0,1,240,1,0,pi_B
A,OP6,7500026,0,0,0,1,240,1,0,pi_B
A,OP6,7500027,0,0,0,1,240,1,0,pi_B
A,OP6,7500028,0,0,0,1,240,1,0,pi_B
A,OP6,7500029,1,1,0,1,240,0,2,pi_B
A,OP6,7500030,0,0,0,1,240,1,0,pi_B
A,OP6,7500031,0,0,0,1,240,1,0,pi_B
A,OP6,7500032,1,0,1,0,240,0,1,pi_B
A,OP6,7500033,1,0,1,0,240,0,1,pi_B
A,OP6,7500034,0,0,0,1,240,1,0,pi_B
A,OP6,7500035,1,0,1,0,240,0,1,pi_B
A,OP6,7500036,0,1,0,0,240,0,1,pi_B
A,OP6,7500037,2,0,1,0,240,0,2,pi_B
A,OP6,7500038,0,0,0,1,240,1,0,pi_B
A,OP6,7500039,0,0,0,1,240,1,0,pi_B
A,OP6,7500040,3,1,1,0,198,0,4,pi_B
A,OP6,7500041,0,0,0,1,240,1,0,pi_B
A,OP6,7500042,1,0,1,0,240,0,1,pi_B
A,OP6,7500043,0,0,0,1,240,1,0,pi_B
A,OP6,7500044,0,0,0,1,240,1,0,pi_B
A,OP6,7500045,2,2,0,1,240,0,4,pi_B
A,OP6,7500046,3,0,1,0,131,0,3,pi_B
A,OP6,7500047,0,0,0,1,240,1,0,pi_B
A,OP6,7500048,0,1,0,0,240,0,1,pi_B
A,OP6,7500049,1,0,1,0,240,0,1,pi_B
A,OP6,7500050,1,0,1,0,240,0,1,pi_B
A,OP6,7500051,0,1,0,0,240,0,1,pi_B
A,OP6,7500052,1,0,1,0,240,0,1,pi_B
A,OP6,7500053,0,0,0,1,240,1,0,pi_B
A,OP6,7500054,0,0,0,1,240,1,0,pi_B
A,OP6,7500055,2,0,1,0,240,0,2,pi_B
A,OP6,7500056,1,0,1,0,240,0,1,pi_B
A,OP6,7500057,0,0,0,1,240,1,0,pi_B
A,OP6,7500058,1,0,1,0,240,0,1,pi_B
A,OP6,7500059,2,0,1,0,240,0,2,pi_B
A,OP6,7500060,0,0,0,1,240,1,0,pi_B
A,OP6,7500061,0,0,0,1,240,1,0,pi_B
A,OP6,7500062,1,0,1,0,240,0,1,pi_B
A,OP6,7500063,3,1,1,0,197,0,4,pi_B
A,OP6,7500064,2,1,1,0,240,0,3,pi_B
A,OP6,7500065,0,0,0,1,240,1,0,pi_B
A,OP6,7500066,0,0,0,1,240,1,0,pi_B
A,OP6,7500067,0,0,0,1,240,1,0,pi_B
A,OP6,7500068,0,0,0,1,240,1,0,pi_B
A,OP6,7500069,0,0,0,1,240,1,0,pi_B
A,OP6,7500070,1,0,1,0,240,0,1,pi_B
A,OP6,7500071,1,0,1,0,240,0,1,pi_B
A,OP6,7500072,1,0,1,0,240,0,1,pi_B
A,OP6,7500073,1,0,1,0,240,0,1,pi_B
A,OP6,7500074,0,0,0,1,240,1,0,pi_B
A,OP6,7500075,1,0,1,0,240,0,1,pi_B
A,OP6,7500076,0,1,0,0,240,0,1,pi_B
A,OP6,7500077,3,0,1,0,196,0,3,pi_B
A,OP6,7500078,1,0,1,0,240,0,1,pi_B
A,OP6,7500079,0,0,0,1,240,1,0,pi_B
A,OP6,7500080,2,0,1,0,240,0,2,pi_B
A,OP6,7500081,0,0,0,1,240,1,0,pi_B
A,OP6,7500082,0,0,0,1,240,1,0,pi_B
A,OP6,7500083,0,0,0,1,240,1,0,pi_B
A,OP6,7500084,0,0,0,1,240,1,0,pi_B
A,OP6,7500085,1,0,1,0,240,0,1,pi_B
A,OP6,7500086,0,0,0,1,240,1,0,pi_B
A,OP6,7500087,0,0,0,1,240,1,0,pi_B
A,OP6,7500088,0,0,0,1,240,1,0,pi_B
A,OP6,7500089,2,0,1,0,240,0,2,pi_B
A,OP6,7500090,2,0,1,0,240,0,2,pi_B
A,OP6,7500091,2,1,1,0,240,0,3,pi_B
A,OP6,7500092,1,0,1,0,240,0,1,pi_B
A,OP6,7500093,1,0,1,0,240,0,1,pi_B
A,OP6,7500094,0,0,0,1,240,1,0,pi_B
