first_capture_step,capture_latency,lost_after_leading,capture_conceded,opponent,eval_seed,blue_score,red_score,score_margin,win,loss,draw,terminated,episode_steps,tags_against,tags_for,cooldown_denials,captures_blue,captures_red,drops,pickups,tagged_while_carrying,ever_carried,carried_without_scoring,carry_steps,carry_frac,carrier_unescorted_frac,carrier_pressure_frac,mean_carrier_pressure,max_agents_forward,both_forward_frac,none_forward_frac,mean_team_separation,mean_formation_spread,blue_tagged_frac,cooldown_active_frac,trailing_frac,leading_frac,conceded_first,train_seed
28,28,0,1,OP12,9400005,3.0,1.0,2.0,1,0,0,True,106,5,3,22,3,1,1,4,2,1,0,46,0.4339622641509434,0.5217391304347826,0.4782608695652174,0.19992950647745444,2,0.1509433962264151,0.41509433962264153,0.2510509239685423,0.06553435769099039,0.44339622641509435,0.44339622641509435,0.0,0.7264150943396226,0,3200002
34,34,0,1,OP12,9400006,3.0,1.0,2.0,1,0,0,True,110,4,3,10,3,1,1,4,1,1,0,46,0.41818181818181815,0.41304347826086957,0.45652173913043476,0.30115502125219157,2,0.22727272727272727,0.36363636363636365,0.22527525726367126,0.07396060922394761,0.3,0.4,0.0,0.6909090909090909,0,3200002
33,33,0,1,OP12,9400007,3.0,2.0,1.0,1,0,0,True,141,6,4,16,3,2,3,6,3,1,0,55,0.3900709219858156,0.4727272727272727,0.3090909090909091,0.24754020910371433,2,0.18439716312056736,0.3617021276595745,0.2562843226160563,0.07258408864405244,0.36879432624113473,0.5106382978723404,0.0,0.5390070921985816,0,3200002
37,37,0,1,OP12,9400008,3.0,1.0,2.0,1,0,0,True,122,5,3,23,3,1,1,4,1,1,0,44,0.36065573770491804,0.4090909090909091,0.5454545454545454,0.2250481273301623,2,0.1885245901639344,0.28688524590163933,0.2486717268580296,0.07002310470637835,0.3770491803278688,0.36885245901639346,0.0,0.4016393442622951,0,3200002
27,27,0,0,OP12,9400009,3.0,0.0,3.0,1,0,0,True,107,5,4,21,3,0,0,3,0,1,0,43,0.40186915887850466,0.3023255813953488,0.6046511627906976,0.22689156147629716,2,0.14953271028037382,0.4953271028037383,0.1929936161282185,0.05032766192942919,0.37383177570093457,0.48598130841121495,0.0,0.7476635514018691,0,3200002
26,26,0,0,OP12,9400010,3.0,0.0,3.0,1,0,0,True,89,2,4,4,3,0,0,3,0,1,0,42,0.47191011235955055,0.3333333333333333,0.38095238095238093,0.2692550831430015,2,0.20224719101123595,0.48314606741573035,0.19553525187075138,0.0633403664184054,0.2247191011235955,0.5617977528089888,0.0,0.7078651685393258,0,3200002
27,27,0,0,OP12,9400011,3.0,0.0,3.0,1,0,0,True,117,4,6,14,3,0,2,5,1,1,0,51,0.4358974358974359,0.6274509803921569,0.45098039215686275,0.21246393397450447,2,0.05982905982905983,0.4017094017094017,0.2720609874679492,0.050204868570196994,0.39316239316239315,0.7008547008547008,0.0,0.7692307692307693,0,3200002
49,49,0,0,OP12,9400012,3.0,0.0,3.0,1,0,0,True,121,5,5,17,3,0,1,4,2,1,0,46,0.38016528925619836,0.5,0.5217391304347826,0.19490183776487474,2,0.05785123966942149,0.4214876033057851,0.2821900654922832,0.0826851351125058,0.4380165289256198,0.5867768595041323,0.0,0.5950413223140496,0,3200002
30,30,0,1,OP12,9400013,3.0,2.0,1.0,1,0,0,True,142,5,4,16,3,2,1,4,1,1,0,46,0.323943661971831,0.21739130434782608,0.2391304347826087,0.3897161493482797,2,0.24647887323943662,0.38028169014084506,0.20133381733067438,0.04972614653074038,0.30985915492957744,0.3028169014084507,0.0,0.2676056338028169,0,3200002
26,26,0,1,OP12,9400014,3.0,1.0,2.0,1,0,0,True,123,5,3,10,3,1,2,5,3,1,0,49,0.3983739837398374,0.22448979591836735,0.22448979591836735,0.3470763162690766,2,0.2926829268292683,0.3821138211382114,0.16671772034672216,0.033335923936906105,0.2926829268292683,0.22764227642276422,0.0,0.5853658536585366,0,3200002
