blue_style,red_style,map,episode_index,episode_seed,step,red_index,defender0_left_radius,defender1_left_radius,red_left_blue_side,defender_left_blue_side,target_switched,defender_became_tagged,red_target_became_tagged,carrier_turn_or_lane_change,other,relative_speed_def0,relative_speed_def1,red_x,red_y,red_carrying,def0_target,def1_target
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,7,761008,65,1,1,1,1,0,0,0,1,0,0,0.7675225306641594,0.4865400912457869,2.2539095878601074,10.654474258422852,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,7,761008,74,0,1,0,0,1,1,0,0,0,0,1.4043717457631597,1.1871831371408936,9.108389854431152,13.735092163085938,0,0,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,7,761008,79,0,1,1,1,0,0,0,0,0,0,1.6947562720532752,1.6633620374429519,10.375988960266113,15.314327239990234,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,7,761008,105,0,1,1,1,0,0,0,1,0,0,1.4342855928577425,0.5556068877189878,4.865381717681885,11.032304763793945,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,7,761008,227,0,1,1,1,0,1,0,1,0,0,1.0771620139428926,0.5013196113286306,5.800278186798096,15.06317138671875,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,7,761008,228,1,1,1,1,0,0,0,1,0,0,2.050744676578053,1.1381985008278153,6.437876224517822,14.558450698852539,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,8,761009,49,0,1,0,0,0,0,0,0,0,0,1.4344975493180443,0.6983454474753202,4.330087184906006,10.46655559539795,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,8,761009,54,0,1,1,1,0,0,0,1,0,0,0.41384566866439426,0.37446635300093545,0.8717612624168396,13.315218925476074,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,8,761009,196,0,1,0,0,0,0,0,0,0,0,0.6162588618792786,1.5573383379909986,7.426608085632324,10.644222259521484,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,8,761009,199,0,1,0,0,0,1,0,0,0,0,0.8686787599545595,0.30389345764382586,8.353473663330078,9.250273704528809,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,8,761009,199,1,1,1,1,0,0,0,1,0,0,0.913275236263909,0.7689000735427639,7.677669525146484,12.984928131103516,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,8,761009,205,0,1,1,1,0,0,0,1,0,0,0.8650006287358522,0.1852957990903135,4.974589824676514,8.785679817199707,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,9,761010,8,1,1,0,0,0,0,0,0,0,0,1.2206967173661503,1.1865024317956994,7.578860282897949,17.839582443237305,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,9,761010,11,1,1,1,1,0,0,0,1,0,0,0.7100609951676918,0.35491102625934823,5.603574275970459,18.825483322143555,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,9,761010,16,0,1,1,1,0,0,0,1,0,0,0.622238118675159,1.2051463747309883,8.089797973632812,16.736682891845703,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,9,761010,103,0,1,1,1,0,0,0,1,0,0,1.610314529640285,0.7016499904372402,4.263253211975098,15.162912368774414,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,9,761010,104,1,1,1,1,0,1,0,1,0,0,0.5403444399907649,1.8516352062387098,4.034373760223389,13.886245727539062,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,9,761010,180,0,0,1,0,0,0,0,0,0,0,1.2200882294049347,1.8761529052201298,3.984050989151001,9.372045516967773,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,11,761012,138,1,1,0,0,0,1,0,0,0,0,1.2853231003732644,3.2960884412844837,6.858898639678955,12.86112117767334,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,11,761012,140,0,1,1,1,0,0,0,1,0,0,0.7572559133018801,0.8637504400723639,5.348283767700195,14.1781005859375,0,0,0
