blue_style,red_style,map,episode_index,episode_seed,blue_score,red_score,win_margin,steps,time_first_red_midfield_cross,time_both_red_enter_blue_territory,time_first_red_flag_touch,time_first_red_capture,time_blue_counterattack_start,time_first_blue_flag_touch,time_first_blue_capture,red_death_count,blue_death_count,red_carrier_death_count,blue_carrier_death_count,red_tag_count,blue_tag_count,red_carrier_tag_count,blue_carrier_tag_count,post_tag_carrier_event_count,post_tag_counterattack_launch_count,post_tag_blue_flag_touch_count,post_tag_blue_capture_before_red_reentry_count,post_tag_mean_steps_to_blue_flag_touch,post_tag_mean_steps_to_red_reentry,op6_regroup_active_steps,op6_regroup_blue_flag_touch_count,op6_regroup_blue_capture_count,op7_mean_red_lateral_separation,op7_blue_opposite_lane_penetration_steps,op7_min_blue0_to_red_flag,op7_min_blue1_to_red_flag,op7_red0_target_switches,op7_red1_target_switches,op7_both_red_target_same_blue_steps,op7_uncovered_lane_steps,op7_max_consecutive_uncovered_lane_steps,op7_mean_uncovered_blue_progress,op7_flag_touch_during_uncovered_lane,split_flag_touch_count,split_pickup_count,split_touches_per_pickup,split_capture_count,split_capture_given_pickup,split_mean_carrier_lifetime,split_mean_max_return_progress,split_mean_teammate_dist_at_pickup,split_mean_sep_before_pickup,split_mean_sep_after_pickup,split_converged_after_pickup_count,split_noncarrier_flag_pressure_steps,split_noncarrier_support_steps,split_mean_red_retarget_latency_after_pickup,split_carrier_loss_tag_count,split_carrier_loss_capture_count,split_carrier_loss_other_count,pre_touch_min_red0_to_blue,pre_touch_min_red1_to_blue,pre_touch_min_any_red_to_blue,pre_touch_steps_red0_one_defender_in_tag_range,pre_touch_steps_red1_one_defender_in_tag_range,pre_touch_steps_red0_two_defenders_in_tag_range,pre_touch_steps_red1_two_defenders_in_tag_range,pre_touch_steps_any_red_two_defenders_in_tag_range,pre_touch_max_consecutive_red0_two_defenders,pre_touch_max_consecutive_red1_two_defenders,pre_touch_max_consecutive_any_red_two_defenders,pre_touch_max_red0_tag_accumulator,pre_touch_max_red1_tag_accumulator,tag_threshold_seconds,tag_required_consecutive_steps,pre_touch_red0_accumulator_reset_count,pre_touch_red1_accumulator_reset_count,pre_touch_reset_defender0_left_radius,pre_touch_reset_defender1_left_radius,pre_touch_reset_red_left_blue_side,pre_touch_reset_defender_left_blue_side,pre_touch_reset_target_switched,pre_touch_reset_defender_became_tagged,pre_touch_reset_red_target_became_tagged,pre_touch_reset_carrier_turn_or_lane_change,pre_touch_reset_other,pre_touch_mean_reset_relative_speed,pre_touch_path_cross_count,turtle_def0_target_red0_steps,turtle_def0_target_red1_steps,turtle_def0_target_blue_flag_steps,turtle_def0_target_red_flag_steps,turtle_def1_target_red0_steps,turtle_def1_target_red1_steps,turtle_def1_target_blue_flag_steps,turtle_def1_target_red_flag_steps,min_turtle_defender_dist_to_blue_flag,mean_turtle_defender_dist_to_blue_flag,final_both_red_forward,final_blue_had_counterattack
BLUE_RUSH,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,0,0,0,240,7,,,,8,15,,0,0,0,0,0,13,0,5,0,0,0,0,,,0,0,0,2.0831366002559664,13,0.0,2.302113081773835,17,14,65,10,2,2.9840633392333986,8,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,0,0,0,240,7,29,,,8,193,,0,0,0,0,5,11,0,1,0,0,0,0,,,0,0,0,2.713772673284014,11,5.817016496339504,0.0,36,33,22,5,4,0.8975124359130859,0,0,0,,0,,,,,,,0,0,0,,0,0,0,0.38693130016326904,0.46451666951179504,0.38693130016326904,15,14,6,10,74,2,5,5,0.9900000095367432,0.9900000095367432,1.0,3,3,3,5,6,5,1,2,0,4,0,0,1.1340308598335016,3,106,119,12,3,87,96,0,57,0.9837656021118164,8.285421519478161,1,1
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,3,0,3,208,7,43,,,8,19,46,0,0,0,0,2,6,0,3,0,0,0,0,,,0,0,0,4.11802895882955,29,0.0,0.0,12,16,43,29,7,5.754658929232893,12,7,6,1.1666666666666667,2,0.3333333333333333,14.666666666666666,9.283276995023092,11.875179847081503,9.464233830571175,10.898316586559469,2,0,4,0.0,3,2,1,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_ESCORT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,0,0,0,240,7,,,,8,15,,0,0,0,0,1,8,0,6,0,0,0,0,,,0,0,0,3.0292705555756885,25,0.0,0.7452965728389951,30,30,92,5,2,1.9824911117553712,4,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,1
BLUE_RUSH,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,0,0,0,240,,,,,7,15,,0,0,0,0,0,12,0,5,0,0,0,0,,,0,0,0,1.6579502781232198,10,0.0,2.278664416422086,14,18,53,4,2,6.439950704574585,3,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,0,0,0,240,33,76,,,7,102,,0,0,0,0,2,12,0,1,0,0,0,0,,,0,0,0,2.6047512978315353,13,3.009639869217097,0.0,36,24,30,0,0,,0,0,0,,0,,,,,,,0,0,0,,0,0,0,0.3537535071372986,0.19502684473991394,0.19502684473991394,16,6,2,2,50,2,2,2,0.9900000095367432,0.9900000095367432,1.0,3,1,1,2,2,2,0,0,0,2,0,0,0.8532841618244593,0,136,88,14,2,114,102,0,24,0.7363407015800476,7.588878122592965,1,1
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,2,1,1,240,24,30,38,66,8,19,38,0,0,0,0,0,9,0,5,0,0,0,0,,,0,0,0,2.517972598473231,45,0.0,0.0,14,18,40,38,12,4.604567014254057,17,9,6,1.5,2,0.3333333333333333,13.833333333333334,7.763469894727071,12.052964687347412,10.431121509075165,10.80429185628891,1,4,3,0.16666666666666666,4,2,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_ESCORT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,0,0,0,240,10,48,,,9,15,,0,0,0,0,0,10,0,6,0,0,0,0,,,0,0,0,2.2473273038864137,21,0.0,0.8039709717175891,33,34,89,2,1,2.89970064163208,1,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_RUSH,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,7,761008,0,0,0,240,8,,,,7,14,,0,0,0,0,0,11,0,5,0,0,0,0,,,0,0,0,2.2442514916261036,24,0.0,2.542456367361145,17,21,51,9,3,2.579596837361654,7,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,7,761008,0,0,0,240,9,51,,,6,119,,0,0,0,0,4,12,0,1,0,0,0,0,,,0,0,0,2.061710810661316,12,1.0603839482493467,0.0,28,36,38,2,1,2.001678466796875,2,0,0,,0,,,,,,,0,0,0,,0,0,0,0.3854359984397888,0.3392534852027893,0.3392534852027893,15,13,7,7,83,2,3,3,0.9900000095367432,0.9900000095367432,1.0,3,4,3,7,5,5,1,2,0,4,0,0,1.1769114440615849,2,118,110,11,1,101,89,0,50,1.0524624586105347,7.825892127305269,1,1
