tick,blue_score,red_score,n_near_home,n_attack_like,blue_x0,blue_x1,blue_x2,blue_x3,blue_y0,blue_y1,blue_y2,blue_y3,forced0,forced1,forced2,forced3,near_home0,near_home1,near_home2,near_home3
41,0,0,2,2,16.540424346923828,0.9266830086708069,2.1703500747680664,14.37558364868164,9.611491203308105,10.065505027770996,9.037632942199707,11.415526390075684,0,1,1,0,0,1,1,0
42,0,0,2,2,15.452866554260254,1.7286720275878906,2.676603078842163,15.212176322937012,9.555461883544922,10.802209854125977,10.001805305480957,10.718364715576172,0,1,1,0,0,1,1,0
43,0,0,2,2,14.364460945129395,2.5975182056427,3.331214427947998,15.832843780517578,9.59142780303955,11.458736419677734,10.872095108032227,9.983769416809082,0,1,1,0,0,1,1,0
44,0,0,2,2,13.276055335998535,3.099947452545166,4.508257865905762,15.326702117919922,9.62739372253418,12.33540153503418,11.362189292907715,9.329007148742676,0,1,1,0,0,1,1,0
45,0,0,2,1,12.187649726867676,4.094797134399414,5.262557029724121,14.454143524169922,9.663359642028809,12.778341293334961,12.147653579711914,9.497466087341309,0,1,1,0,0,1,1,0
46,0,0,1,2,11.099244117736816,5.096585750579834,6.10436487197876,13.366028785705566,9.699325561523438,13.205354690551758,12.838508605957031,9.541372299194336,0,1,1,0,0,1,0,0
47,0,0,0,3,10.010838508605957,6.106197357177734,7.010742664337158,12.277914047241211,9.735291481018066,13.613527297973633,13.442164421081543,9.585278511047363,0,1,1,0,0,0,0,0
48,0,0,0,3,8.922432899475098,7.537657737731934,6.106721878051758,11.189799308776855,9.771256446838379,13.713314056396484,14.69693374633789,9.62918472290039,0,1,1,0,0,0,0,0
49,0,0,0,3,7.83402681350708,8.526390075683594,7.013099670410156,10.1016845703125,9.807222366333008,14.169744491577148,15.300589561462402,9.673090934753418,0,1,1,0,0,0,0,0
50,0,0,0,3,6.7456207275390625,9.556591033935547,8.102046966552734,9.013569831848145,9.84318733215332,14.52274227142334,15.311285018920898,9.716997146606445,0,1,1,0,0,0,0,0
51,0,0,0,3,5.657214641571045,9.554516792297363,8.964691162109375,7.925455093383789,9.87915325164795,16.033355712890625,14.871533393859863,9.760903358459473,0,1,1,0,0,0,0,0
52,0,0,0,3,4.568808555603027,10.584717750549316,10.050507545471191,6.837340354919434,9.915118217468262,16.386354446411133,14.954739570617676,9.8048095703125,0,1,1,0,0,0,0,0
53,0,0,0,3,3.4804024696350098,11.607345581054688,11.139130592346191,5.749225616455078,9.951083183288574,16.011981964111328,14.926080703735352,9.848715782165527,0,1,1,0,0,0,0,0
54,0,0,0,3,2.674323320388794,12.610685348510742,12.217768669128418,4.661110877990723,9.9777193069458,15.588626861572266,14.776211738586426,9.892621994018555,0,1,1,0,0,0,0,0
55,0,0,1,3,2.3071541786193848,13.819133758544922,13.040770530700684,3.5729963779449463,9.989850997924805,15.54958724975586,14.062970161437988,9.936528205871582,0,1,1,0,0,0,0,1
56,0,0,1,3,1.6403099298477173,14.684247016906738,14.094884872436523,3.3833439350128174,10.015402793884277,14.88814926147461,13.789541244506836,9.945537567138672,0,1,1,0,0,0,0,1
57,0,0,1,2,1.4915800094604492,15.498703002929688,15.091086387634277,2.4342620372772217,9.887701988220215,14.165250778198242,13.349652290344238,9.9835786819458,0,1,1,0,0,0,0,1
58,0,0,1,2,1.0488038063049316,16.22975730895996,14.772364616394043,2.330138921737671,9.318822860717773,13.358107566833496,12.308337211608887,10.218744277954102,0,1,1,0,0,0,0,1
59,0,0,1,2,1.4208461046218872,16.816408157348633,13.700725555419922,1.6324517726898193,8.801715850830078,12.440631866455078,12.11466121673584,9.728736877441406,0,1,1,0,0,0,0,1
60,0,0,1,2,2.142064332962036,17.796945571899414,12.6290864944458,1.5172325372695923,8.730997085571289,12.914411544799805,11.920985221862793,9.223974227905273,0,1,1,0,0,0,0,1
61,0,0,1,2,2.5912044048309326,18.137779235839844,11.55744743347168,1.7318394184112549,9.261750221252441,13.948699951171875,11.727309226989746,8.847481727600098,0,1,1,0,0,0,0,1
62,0,0,1,2,2.476433277130127,17.151174545288086,10.485808372497559,2.2265007495880127,9.763785362243652,14.409712791442871,11.5336332321167,8.688910484313965,0,1,1,0,0,0,0,1
63,0,0,1,2,2.238036870956421,16.576480865478516,9.414169311523438,3.143143653869629,9.928125381469727,13.484699249267578,11.339957237243652,9.111839294433594,0,1,1,0,0,0,0,1
64,0,0,1,2,2.1084258556365967,17.036500930786133,8.342530250549316,3.9560937881469727,9.96726131439209,12.497632026672363,11.146281242370605,9.836431503295898,0,1,1,0,0,0,0,1
65,0,0,1,2,2.0493879318237305,18.07113265991211,7.270891189575195,4.769043922424316,9.985087394714355,12.83742618560791,10.952604293823242,10.561023712158203,0,1,1,0,0,0,0,1
66,0,0,1,1,2.022496223449707,18.531152725219727,6.199252128601074,5.58199405670166,9.993206977844238,11.850358963012695,10.758928298950195,11.285615921020508,0,1,1,0,0,0,0,1
67,0,0,0,2,2.010246992111206,17.272029876708984,5.127613067626953,6.394944190979004,9.996906280517578,10.904095649719238,10.565251350402832,12.010208129882812,0,1,1,0,0,0,0,0
68,0,0,0,2,2.004667282104492,16.184932708740234,4.055974006652832,7.207894325256348,9.998590469360352,10.839739799499512,10.371574401855469,12.7347993850708,0,1,1,0,0,0,0,0
69,0,0,1,2,2.0021255016326904,15.097835540771484,2.984334945678711,8.020844459533691,9.999358177185059,10.775383949279785,10.177898406982422,13.459390640258789,0,1,1,0,0,0,1,0
70,0,0,1,2,2.000967025756836,14.010738372802734,3.0496387481689453,8.826244354248047,9.99970817565918,10.711028099060059,9.090858459472656,14.177252769470215,0,1,1,0,0,0,1,0
71,0,0,1,2,2.0004379749298096,12.923641204833984,4.1367573738098145,8.215208053588867,9.99986743927002,10.646672248840332,9.02686882019043,15.0786714553833,0,1,1,0,0,0,1,0
72,0,0,1,2,2.0001938343048096,11.836544036865234,5.22110652923584,7.2477240562438965,9.999940872192383,10.582316398620605,9.127409934997559,14.578775405883789,0,1,1,0,0,0,1,0
73,0,0,1,2,2.0000760555267334,10.749446868896484,6.299979209899902,6.427180767059326,9.999977111816406,10.517961502075195,9.275582313537598,13.862793922424316,0,1,1,0,0,0,1,0
74,0,0,0,3,2.000009536743164,9.662349700927734,7.385040283203125,5.606624603271484,9.99999713897705,10.453605651855469,9.368122100830078,13.14682674407959,0,1,1,0,0,0,0,0
75,0,0,1,2,1.9999570846557617,8.575252532958984,8.47397518157959,4.786059379577637,10.000012397766113,10.389250755310059,9.380003929138184,12.430870056152344,0,1,1,0,0,0,0,1
76,0,0,1,2,1.9999265670776367,7.488155841827393,9.562948226928711,3.965485095977783,10.0000638961792,10.324894905090332,9.387744903564453,11.714923858642578,0,1,1,0,0,0,0,1
77,0,0,1,2,1.9999420642852783,6.401059150695801,10.651944160461426,3.144895315170288,10.000138282775879,10.260540008544922,9.384621620178223,10.998995780944824,0,1,1,0,0,0,0,1
