tick,blue_score,red_score,n_near_home,n_attack_like,blue_x0,blue_x1,blue_x2,blue_x3,blue_y0,blue_y1,blue_y2,blue_y3,forced0,forced1,forced2,forced3,near_home0,near_home1,near_home2,near_home3
79,0,0,0,4,11.27845287322998,8.232081413269043,13.893423080444336,2.000452995300293,12.10605525970459,10.104522705078125,10.504022598266602,10.000035285949707,0,0,0,0,0,0,0,0
80,0,0,0,3,10.193446159362793,7.1432342529296875,13.608658790588379,2.0002005100250244,12.199226379394531,10.086265563964844,9.452913284301758,10.000015258789062,0,0,0,0,0,0,0,0
81,0,0,1,2,9.108439445495605,6.054387092590332,12.520866394042969,2.0000786781311035,12.292398452758789,10.068004608154297,9.504178047180176,10.000005722045898,0,0,0,0,0,1,0,0
82,0,0,1,2,8.023432731628418,4.965539932250977,11.433073997497559,2.000009536743164,12.38556957244873,10.049742698669434,9.555442810058594,10.000000953674316,0,0,0,0,0,1,0,0
83,0,0,1,2,6.986659049987793,4.4804182052612305,10.345281600952148,1.9999550580978394,12.718768119812012,11.024718284606934,9.606707572937012,9.999995231628418,0,0,0,0,0,1,0,0
84,0,0,1,2,5.949885368347168,3.9952969551086426,9.257489204406738,1.9999072551727295,13.051966667175293,11.99969482421875,9.65797233581543,10.000031471252441,0,0,0,0,0,1,0,0
85,0,0,2,1,4.913111209869385,3.5101754665374756,8.169696807861328,1.9998931884765625,13.385164260864258,12.97467041015625,9.709237098693848,10.000106811523438,0,0,0,0,1,1,0,0
86,0,0,1,2,4.3568196296691895,2.7519023418426514,7.08190393447876,1.9999452829360962,13.856697082519531,13.394627571105957,9.760501861572266,10.000190734863281,0,0,0,0,0,1,0,0
87,0,0,1,2,3.7889389991760254,3.145440101623535,5.994111061096191,2.0000617504119873,12.927486419677734,14.410033226013184,9.811766624450684,10.000223159790039,0,0,0,0,1,0,0,0
88,0,0,1,2,3.221081256866455,3.7256298065185547,4.906318187713623,2.0001840591430664,11.998261451721191,14.26130199432373,9.863031387329102,10.000161170959473,0,0,0,0,1,0,0,0
89,0,0,3,1,2.653277635574341,4.267913341522217,3.8185253143310547,2.000234365463257,11.06900405883789,13.316924095153809,9.914297103881836,10.00002670288086,0,0,0,0,1,1,1,0
90,0,0,3,1,2.5583393573760986,3.6533005237579346,3.604606866836548,1.7395381927490234,10.913637161254883,12.417940139770508,10.98207950592041,9.573205947875977,0,0,0,0,1,1,1,0
91,0,0,3,1,2.943024158477783,2.7744996547698975,3.661628007888794,1.834693431854248,9.894844055175781,11.094149589538574,12.47008991241455,9.318130493164062,0,0,0,0,1,1,1,0
92,0,0,3,1,4.000228404998779,2.265155792236328,3.3013715744018555,2.1750869750976562,10.156073570251465,10.131606101989746,13.303126335144043,9.144691467285156,0,0,0,0,1,1,1,0
93,0,0,3,1,4.3118510246276855,3.6157493591308594,3.9205832481384277,2.177877426147461,11.199535369873047,9.71863842010498,13.902164459228516,9.065201759338379,0,0,0,0,1,1,1,0
94,0,0,3,1,4.5504231452941895,4.337332248687744,4.673075199127197,2.4517982006073,11.998388290405273,10.534260749816895,13.601701736450195,9.5050048828125,0,0,0,0,1,1,1,0
95,0,0,2,2,4.611245155334473,4.544239044189453,4.777284622192383,2.3845067024230957,11.864561080932617,11.603424072265625,13.591679573059082,9.863659858703613,0,0,0,0,1,1,0,0
96,0,0,3,1,3.761355400085449,4.980142593383789,4.090579509735107,2.2067084312438965,12.475667953491211,11.809040069580078,13.227543830871582,9.996822357177734,0,0,0,0,1,1,1,0
97,0,0,3,1,2.673281192779541,4.358575820922852,3.5420196056365967,2.094155788421631,12.430774688720703,12.703229904174805,12.286797523498535,9.998552322387695,0,0,0,0,1,1,1,0
98,0,0,3,1,1.9210560321807861,3.618831157684326,3.4597175121307373,2.0428879261016846,11.37589168548584,13.409320831298828,11.362042427062988,9.999341011047363,0,0,0,0,1,1,1,0
99,0,0,3,1,1.6264519691467285,3.2335739135742188,3.1882333755493164,2.0451467037200928,10.972367286682129,13.77705192565918,10.615550994873047,9.50035572052002,0,0,0,0,1,1,1,0
100,0,0,3,1,2.5927722454071045,3.1063928604125977,2.3287622928619385,1.8467456102371216,10.47022533416748,13.898447036743164,11.284303665161133,9.688121795654297,0,0,0,0,1,1,1,0
101,0,0,3,1,3.205900192260742,2.4406535625457764,2.5900659561157227,1.8334300518035889,11.370223045349121,13.911515235900879,12.341489791870117,9.87686538696289,0,0,0,0,1,1,1,0
102,0,0,3,1,3.120896339416504,1.7369376420974731,2.813275098800659,1.9036529064178467,12.455900192260742,13.080428123474121,13.244548797607422,9.965126991271973,0,0,0,0,1,1,1,0
103,0,0,3,1,3.2256405353546143,1.7951321601867676,2.748324394226074,1.9561139345169067,12.82665729522705,11.9929838180542,14.141879081726074,9.984115600585938,0,0,0,0,1,1,1,0
104,0,0,3,1,3.1027791500091553,1.8821208477020264,2.879392385482788,1.980009913444519,13.465542793273926,10.907464027404785,14.228876113891602,9.992764472961426,0,0,0,0,1,1,1,0
105,0,0,3,1,2.154149055480957,2.960020065307617,3.5188419818878174,1.9908946752548218,14.00035285949707,10.75236988067627,14.127965927124023,9.9967041015625,0,0,0,0,1,1,1,0
106,0,0,3,1,1.5106792449951172,4.037919521331787,4.0890960693359375,1.9958528280258179,13.121792793273926,10.597275733947754,13.200209617614746,9.998498916625977,0,0,0,0,1,1,1,0
107,0,0,3,1,1.6778401136398315,5.115818977355957,3.493177890777588,1.9981114864349365,12.045699119567871,10.442181587219238,12.288725852966309,9.999316215515137,0,0,0,0,1,1,1,0
108,0,0,3,1,1.8462262153625488,6.193717956542969,2.8977415561676025,1.9991410970687866,10.969796180725098,10.287087440490723,11.376927375793457,9.999689102172852,0,0,0,0,1,1,1,0
109,0,0,2,2,2.9345030784606934,6.475468635559082,3.732544422149658,1.9996116161346436,11.009482383728027,11.339008331298828,10.677623748779297,9.999859809875488,0,0,0,0,1,0,1,0
110,0,0,3,1,3.024076461791992,5.610807418823242,4.525857448577881,1.9998291730880737,12.094792366027832,12.001036643981934,11.423664093017578,9.999938011169434,0,0,0,0,1,1,1,0
111,0,0,3,1,3.0109660625457764,4.832157135009766,4.561891078948975,1.9999353885650635,13.13217830657959,13.155610084533691,11.607933044433594,9.99997615814209,0,0,0,0,1,1,1,0
112,0,0,3,1,3.004049062728882,3.8431386947631836,4.664316177368164,1.9999973773956299,13.679553031921387,13.611420631408691,12.18441390991211,9.999999046325684,0,0,0,0,1,1,1,0
113,0,0,2,2,3.2321135997772217,4.642208099365234,4.052720069885254,2.0000486373901367,14.26567268371582,14.834558486938477,13.069161415100098,10.000018119812012,0,0,0,0,1,0,1,0
114,0,0,2,2,4.164834976196289,5.710723876953125,3.080878257751465,2.000105381011963,13.703577041625977,14.6243314743042,12.577791213989258,9.999994277954102,0,0,0,0,1,0,1,0
