update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_persist_loss,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean
17,278528,15036,7645,5198,2193,0.5084463953179037,0.36,0.51,-0.009737873449921608,0.23129811882972717,-0.054207026958465576,0.5025573372840881,885,472,281,132,0.5333333333333333,0.2655367231638418,2.664406779661017,2.398870056497175,0.07574701309204102,0.00762939453125,0.012121581472456455,0.001146417111158371,0.026523221284151077,0.01409912109375,1.409912109375,-0.07940673828125,-0.009737873449921608,-0.01001290335658599,0.23283211819150232,2.5954788381403144,0.01375625774380751,0.10981889204545454,0.4294681183316491,0.000360736,1.3862829533490268,0.0,0.053888494318181816,4.0,2.0,0.0,0.0,0.053955078125,,,,,0.0,0.22186279296875,0.25762939453125,0.27203369140625,0.24847412109375,197,0.5279187817258884,2.6294416243654823,2.4111675126903553,0.2182741116751269,229,0.5109170305676856,2.6593886462882095,2.432314410480349,0.22707423580786026,240,0.5291666666666667,2.6416666666666666,2.4,0.24166666666666667,219,0.5662100456621004,2.7260273972602738,2.3515981735159817,0.3744292237442922
18,294912,15923,8102,5494,2327,0.5088237141242228,0.74,0.57,-0.008736074902117252,0.2313900887966156,-0.049019843339920044,0.5081241130828857,887,457,296,134,0.5152198421645998,0.21195039458850057,2.6448703494926717,2.4329199549041713,0.06651592254638672,0.0057373046875,0.014190673828125,0.0012751618633046746,0.026697997003793716,0.0174560546875,1.74560546875,-0.07952880859375,-0.008736074902117252,-0.01482485501597134,0.23971212769930178,2.55233424443465,0.015582066340497337,0.12353515625,0.4584741351696161,0.000352544,1.3862827970431402,0.0,0.054124098557692304,4.0,3.0,0.0,0.0,0.05419921875,,,,,0.0,0.2646484375,0.2130126953125,0.2496337890625,0.272705078125,235,0.5148936170212766,2.6340425531914895,2.4382978723404256,0.19574468085106383,189,0.5079365079365079,2.64021164021164,2.455026455026455,0.18518518518518517,220,0.4863636363636364,2.6045454545454545,2.477272727272727,0.12727272727272726,243,0.5473251028806584,2.6954732510288064,2.3703703703703702,0.32510288065843623
19,311296,16805,8539,5805,2461,0.5081225825647129,0.42,0.47,-0.010537834838032722,0.2334241420030594,-0.055757787078619,0.502720832824707,882,437,311,134,0.4954648526077097,0.19387755102040816,2.629251700680272,2.435374149659864,0.06819182634353638,0.00360107421875,0.01282348670065403,0.001044300850480795,0.02686966210603714,0.0142822265625,1.42822265625,-0.080322265625,-0.010537834838032722,-0.008607157823545012,0.23410156030546536,2.5132134502584282,0.012983783759409562,0.10125177556818182,0.4653059948574413,0.00034435199999999997,1.386283126744357,0.0,0.054243607954545456,4.0,3.0,0.0,0.0,0.0538330078125,,,,,0.0,0.25323486328125,0.228515625,0.2510986328125,0.26715087890625,224,0.53125,2.65625,2.392857142857143,0.26339285714285715,201,0.4577114427860697,2.616915422885572,2.4776119402985075,0.13930348258706468,222,0.5135135135135135,2.630630630630631,2.4324324324324325,0.1981981981981982,235,0.4765957446808511,2.6127659574468085,2.442553191489362,0.1702127659574468
20,327680,17694,9008,6103,2583,0.5090991296484684,0.54,0.53,-0.008589581586420536,0.23382195830345154,-0.030602138489484787,0.5020819902420044,889,469,298,122,0.5275590551181102,0.24184476940382452,2.6490438695163103,2.4071991001124857,0.06626462936401367,0.0067138671875,0.01405639573931694,0.0010412100236862898,0.02663501724600792,0.0181884765625,1.81884765625,-0.08023682236671448,-0.008589581586420536,-0.012960640383729091,0.23412654797236124,2.458180179198583,0.013969793316694753,0.10274251302083333,0.45397185782591504,0.00033616,1.3862833728392918,0.0,0.054606119791666664,4.0,1.0,0.0,0.0,0.05413818359375,,,,,0.0,0.25738525390625,0.25927734375,0.24688720703125,0.2364501953125,227,0.5330396475770925,2.682819383259912,2.4140969162995596,0.2687224669603524,230,0.508695652173913,2.639130434782609,2.4217391304347826,0.21739130434782608,221,0.5113122171945701,2.6153846153846154,2.434389140271493,0.18099547511312217,211,0.5592417061611374,2.6587677725118484,2.3554502369668247,0.3033175355450237
21,344064,18580,9479,6385,2716,0.5101722282023682,0.6,0.56,-0.007936201058328152,0.23048889636993408,-0.010417928919196129,0.4995233118534088,886,471,282,133,0.5316027088036117,0.26072234762979685,2.6681715575620766,2.4074492099322797,0.05425983667373657,0.007476806640625,0.01493530347943306,0.0009792950004339218,0.026882831007242203,0.0196533203125,1.96533203125,-0.08010254055261612,-0.007936201058328152,-0.015547353434018217,0.23398694969140565,2.454540179325984,0.014622006142207492,0.11576021634615384,0.46403962717606473,0.00032796800000000004,1.3862834710341234,0.0,0.055100661057692304,4.0,2.0,0.0,0.0,0.05419921875,,,,,0.0,0.25421142578125,0.240966796875,0.260498046875,0.24432373046875,225,0.5688888888888889,2.7022222222222223,2.3733333333333335,0.3288888888888889,213,0.5258215962441315,2.6666666666666665,2.39906103286385,0.2676056338028169,232,0.5086206896551724,2.668103448275862,2.4310344827586206,0.23706896551724138,216,0.5231481481481481,2.634259259259259,2.425925925925926,0.20833333333333334
22,360448,19465,9948,6673,2844,0.5110711533521706,0.5,0.55,-0.00893319770693779,0.2314535528421402,-0.004608446266502142,0.4953172206878662,885,469,288,128,0.5299435028248588,0.25084745762711863,2.6610169491525424,2.4101694915254237,0.05849015712738037,0.00714111328125,0.01428833045065403,0.00112437573261559,0.02708330750465393,0.01666259765625,1.666259765625,-0.07963867485523224,-0.00893319770693779,-0.021437679164056832,0.22839060995508642,2.435096698648789,0.016230956863557154,0.12652228860294118,0.472163686857504,0.000319776,1.3862833661191605,0.0,0.05362477022058824,4.0,2.0,0.0,0.0,0.053955078125,,,,,0.0,0.23516845703125,0.24371337890625,0.2701416015625,0.2509765625,209,0.5598086124401914,2.6411483253588517,2.4066985645933014,0.23444976076555024,214,0.5327102803738317,2.6682242990654204,2.4065420560747666,0.2616822429906542,240,0.5416666666666666,2.7,2.3916666666666666,0.30833333333333335,222,0.4864864864864865,2.630630630630631,2.436936936936937,0.19369369369369369
23,376832,20346,10407,6957,2982,0.5115010321439104,0.52,0.55,-0.007125949487090111,0.23005861043930054,-0.019794883206486702,0.48847275972366333,881,459,284,138,0.5209988649262202,0.2304199772985244,2.66061293984109,2.430192962542565,0.04193168878555298,0.0064697265625,0.01665649563074112,0.0010727453045547009,0.0272030308842659,0.02215576171875,2.215576171875,-0.07987061142921448,-0.007125949487090111,-0.01986040498013608,0.22497828770428896,2.3939941376447678,0.015790215080414782,0.1170654296875,0.46924005169421434,0.000311584,1.3862835839390755,0.0,0.0538330078125,4.0,0.0,0.0,0.0,0.0538330078125,,,,,0.0,0.26123046875,0.251953125,0.23822021484375,0.24859619140625,230,0.5391304347826087,2.6869565217391305,2.4260869565217393,0.2608695652173913,223,0.47533632286995514,2.6053811659192827,2.4887892376681613,0.11659192825112108,208,0.4855769230769231,2.6298076923076925,2.451923076923077,0.1778846153846154,220,0.5818181818181818,2.7181818181818183,2.3545454545454545,0.36363636363636365
24,393216,21236,10857,7274,3105,0.5112544735355058,0.52,0.51,-0.011205608025193214,0.23473642766475677,-0.056361664086580276,0.516440212726593,890,450,317,123,0.5056179775280899,0.17640449438202246,2.6101123595505618,2.4337078651685395,0.06025230884552002,0.004364013671875,0.01140747033059597,0.0012508376967161894,0.02723846212029457,0.01190185546875,1.190185546875,-0.07991943508386612,-0.011205608025193214,-0.01849326229033371,0.2481658125917117,2.378505063056946,0.015820015551677596,0.11962890625,0.48512639800707497,0.000303392,1.3862835764884949,0.0,0.05472005208333333,4.0,3.0,0.0,0.0,0.05419921875,,,,,0.0,0.2532958984375,0.23883056640625,0.243408203125,0.26446533203125,226,0.5530973451327433,2.601769911504425,2.3849557522123894,0.2168141592920354,212,0.5283018867924528,2.6132075471698113,2.4056603773584904,0.20754716981132076,217,0.45622119815668205,2.6267281105990783,2.5023041474654377,0.12442396313364056,235,0.4851063829787234,2.6,2.442553191489362,0.1574468085106383
25,409600,22124,11339,7549,3236,0.5125203399023684,0.56,0.525,-0.008550167083740234,0.23262585699558258,-0.024885322898626328,0.5075978636741638,888,482,275,131,0.5427927927927928,0.29504504504504503,2.6734234234234235,2.3783783783783785,0.06912720203399658,0.008636474609375,0.01465454138815403,0.0010481018107384443,0.026506569236516953,0.01751708984375,1.751708984375,-0.08115234971046448,-0.008550167083740234,-0.011427448781129593,0.23882382176816463,2.2889091273148856,0.012386437327222666,0.09859212239583333,0.5143605271975199,0.0002952,1.3862838745117188,0.0,0.054484049479166664,4.0,2.0,0.0,0.0,0.0543212890625,,,,,0.0,0.227783203125,0.25,0.268798828125,0.25341796875,203,0.5221674876847291,2.6699507389162562,2.413793103448276,0.2561576354679803,222,0.5135135135135135,2.635135135135135,2.4144144144144146,0.22072072072072071,238,0.542016806722689,2.672268907563025,2.3739495798319328,0.29831932773109243,225,0.5911111111111111,2.7155555555555555,2.3155555555555556,0.4
26,425984,23014,11849,7801,3364,0.5148605196836709,0.56,0.55,-0.0058118319138884544,0.23300662636756897,0.02284262701869011,0.49346959590911865,890,510,252,128,0.5730337078651685,0.36179775280898874,2.698876404494382,2.337078651685393,0.0652388334274292,0.0118408203125,0.01722412183880806,0.0010542982490733266,0.026317885145545006,0.023681640625,2.3681640625,-0.08123779296875,-0.0058118319138884544,-0.0204848760428528,0.22584167167995917,2.262540138129032,0.015421049445373656,0.11310369318181818,0.48629894401087903,0.00028700800000000005,1.386283860062108,0.0,0.05448035037878788,4.0,3.0,0.0,0.0,0.05426025390625,,,,,0.0,0.25634765625,0.22625732421875,0.248779296875,0.26861572265625,228,0.5833333333333334,2.710526315789474,2.324561403508772,0.38596491228070173,200,0.58,2.71,2.33,0.38,222,0.5495495495495496,2.675675675675676,2.3468468468468466,0.32882882882882886,240,0.5791666666666667,2.7,2.345833333333333,0.3541666666666667
27,442368,23897,12352,8070,3475,0.516884964639913,0.52,0.555,-0.007170923985540867,0.23105905950069427,0.011791303753852844,0.5060724020004272,883,503,269,111,0.5696489241223103,0.318233295583239,2.6772366930917326,2.3590033975084936,0.05645376443862915,0.010894775390625,0.0155029296875,0.0010230832267552614,0.026513151824474335,0.020751953125,2.0751953125,-0.08154296875,-0.007170923985540867,-0.017111997296712523,0.23943861907926098,2.2648708491489806,0.014805428308418727,0.11196794181034483,0.49868341458254845,0.00027881600000000004,1.3862839156183704,0.0,0.053811961206896554,4.0,3.0,0.0,0.0,0.053955078125,,,,,0.0,0.2379150390625,0.24359130859375,0.2445068359375,0.27398681640625,210,0.6142857142857143,2.7,2.3333333333333335,0.36666666666666664,214,0.5467289719626168,2.6261682242990654,2.378504672897196,0.24766355140186916,218,0.5229357798165137,2.6422018348623855,2.408256880733945,0.23394495412844038,241,0.5933609958506224,2.7344398340248963,2.319502074688797,0.4149377593360996
28,458752,24782,12796,8364,3622,0.5163425066580583,0.46,0.495,-0.010130416601896286,0.23180508613586426,-0.05006656423211098,0.5073815584182739,885,444,294,147,0.5016949152542373,0.20564971751412428,2.6497175141242937,2.4440677966101694,0.04757356643676758,0.004669189453125,0.01341552659869194,0.001267139334231615,0.02636627107858658,0.0159912109375,1.59912109375,-0.08165283501148224,-0.010130416601896286,-0.012964462898671626,0.24295400977134704,2.2557713747024537,0.012257456716615706,0.0891015625,0.5254759955406189,0.00027062399999999996,1.3862838792800902,0.0,0.054765625,4.0,3.0,0.0,0.0,0.05401611328125,,,,,0.0,0.2532958984375,0.234130859375,0.24188232421875,0.27069091796875,222,0.481981981981982,2.6126126126126126,2.481981981981982,0.13063063063063063,208,0.5288461538461539,2.673076923076923,2.389423076923077,0.28365384615384615,214,0.4719626168224299,2.630841121495327,2.457943925233645,0.17289719626168223,241,0.5228215767634855,2.680497925311203,2.4439834024896268,0.23651452282157676
29,475136,25669,13269,8653,3747,0.5169270326074253,0.62,0.53,-0.009816406294703484,0.23095734417438507,-0.04954938590526581,0.5041865110397339,887,473,289,125,0.5332581736189402,0.2547914317925592,2.657271702367531,2.402480270574972,0.07522344589233398,0.007415771484375,0.01280517689883709,0.001219466095790267,0.026416180655360222,0.0152587890625,1.52587890625,-0.08160400390625,-0.009816406294703484,-0.02386558130900893,0.23299624977840316,2.2645255393452115,0.014847210589020202,0.1086697048611111,0.4943994383017222,0.000262432,1.3862838314639196,0.0,0.053765190972222224,4.0,0.0,0.0,0.0,0.0540771484375,,,,,0.0,0.2772216796875,0.21209716796875,0.245849609375,0.26483154296875,246,0.573170731707317,2.6707317073170733,2.3577235772357725,0.3130081300813008,188,0.5,2.648936170212766,2.4308510638297873,0.21808510638297873,218,0.481651376146789,2.614678899082569,2.458715596330275,0.1559633027522936,235,0.5659574468085107,2.6893617021276595,2.374468085106383,0.3148936170212766
30,491520,26556,13752,8928,3876,0.517849073655671,0.46,0.535,-0.007423115894198418,0.23014123737812042,-0.014084682799875736,0.5027193427085876,887,483,275,129,0.5445321307779031,0.2818489289740699,2.6629086809470124,2.3810597519729426,0.07321065664291382,0.008758544921875,0.01600952073931694,0.0010978131322190166,0.025884028524160385,0.021240234375,2.1240234375,-0.08155517280101776,-0.007423115894198418,-0.02651490315866585,0.23057832626196054,2.222427111405593,0.014565432309889449,0.11110276442307693,0.5120305227927673,0.00025424000000000003,1.3862841404401338,0.0,0.054361979166666664,4.0,2.0,0.0,0.0,0.05413818359375,,,,,0.0,0.2552490234375,0.2340087890625,0.25579833984375,0.25494384765625,225,0.5688888888888889,2.6977777777777776,2.3555555555555556,0.3422222222222222,209,0.45933014354066987,2.6315789473684212,2.4832535885167464,0.14832535885167464,225,0.5733333333333334,2.6622222222222223,2.328888888888889,0.3333333333333333,228,0.5701754385964912,2.6578947368421053,2.3640350877192984,0.29385964912280704
31,507904,27441,14244,9188,4009,0.5190772931015634,0.44,0.56,-0.006461735814809799,0.23040056228637695,0.001708134775981307,0.5028350949287415,885,492,260,133,0.5559322033898305,0.3389830508474576,2.6926553672316382,2.3536723163841806,0.07392370700836182,0.010101318359375,0.01646118238568306,0.0010506424587219954,0.026337508112192154,0.0238037109375,2.38037109375,-0.08201904594898224,-0.006461735814809799,-0.0204530118005068,0.23239090496843512,2.2295222426905776,0.013313593064209052,0.10268702651515152,0.5173040014324766,0.000246048,1.3862840262326328,0.0,0.05400686553030303,4.0,1.0,0.0,0.0,0.053955078125,,,,,0.0,0.25213623046875,0.2628173828125,0.22418212890625,0.2608642578125,223,0.6322869955156951,2.7354260089686098,2.2600896860986546,0.47533632286995514,233,0.5450643776824035,2.6952789699570814,2.369098712446352,0.3261802575107296,199,0.5376884422110553,2.6683417085427137,2.3819095477386933,0.2864321608040201,230,0.508695652173913,2.6695652173913045,2.4043478260869566,0.26521739130434785
