episode_id,timesteps,mode,map_set,phase_name,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,time_to_first_score,mean_inter_robot_dist
54,1160,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
55,1160,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,21,0.0,1,,
56,1184,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,19,0.0,1,,
57,1272,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
58,1272,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
59,1272,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,20,0.0,1,,
60,1288,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,17,0.0,1,,
61,1296,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,19,0.0,1,,
62,1312,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,19,0.0,1,,
63,1312,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,19,0.0,1,,
64,1328,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
65,1408,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,17,0.0,1,,
66,1416,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
67,1416,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,18,0.0,1,,
68,1440,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
69,1448,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,20,0.0,1,,
70,1464,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,19,0.0,1,,
71,1472,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,20,0.0,1,,
72,1480,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
73,1560,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
74,1568,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
75,1576,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,20,0.0,1,,
76,1592,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
77,1600,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
78,1616,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
79,1624,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,19,0.0,1,,
80,1640,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,20,0.0,1,,
81,1704,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,18,0.0,1,,
82,1712,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,18,0.0,1,,
83,1736,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,20,0.0,1,,
84,1752,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,19,0.0,1,,
85,1760,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,21,0.0,1,,
86,1776,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,19,0.0,1,,
87,1784,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,21,0.0,1,,
88,1792,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,19,0.0,1,,
89,1848,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,1,3,2,1,18,0.0,1,,
90,1872,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,2,3,-1,20,0.0,1,,
91,1880,FIXED_OPPONENT,train,OP3,SCRIPTED:OP3,0,3,3,0,18,0.0,1,,
