episode_id,timesteps,policy_update,rollout_step,latent_z,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
39,856,0,107,3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,20,0.3199999928474426,1,0,2,13.0,10.87946014404297,-1.0,-0.5,-0.012793570756912231,0.0,-1.0,-100.0,0.0,-0.8491780757904053
40,872,0,109,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,22,0.19999998807907104,1,0,3,13.0,10.212393327192826,-0.5,0.0,0.0060567110776901245,0.0,0.0,0.0,-0.20000000298023224,-0.33503198623657227
41,912,0,114,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,0,11.0,9.398918999565971,1.0,0.5,-0.004044443368911743,0.014999999664723873,1.0,100.0,0.0,0.8490499258041382
42,960,0,120,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.2800000011920929,1,0,2,12.0,10.259499800832648,-0.5,0.0,-0.01005604863166809,0.0,0.0,0.0,0.0,-0.24728040397167206
43,968,0,121,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,0,11.0,10.860071818033854,1.0,0.4000000059604645,-0.009937137365341187,0.029999999329447746,1.0,100.0,0.0,0.8351780772209167
44,976,0,122,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.23999999463558197,1,0,2,14.0,10.781490507579985,1.0,0.4000000059604645,-0.020615071058273315,0.029999999329447746,1.0,100.0,0.0,0.8343688249588013
45,976,0,122,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,15,0.23999999463558197,1,0,1,11.0,10.223906453450521,-1.0,-0.5,0.004896223545074463,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.8725762367248535
46,976,0,122,0,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.23999999463558197,1,0,2,14.0,10.249411446707589,1.0,0.5,-0.04071572422981262,0.029999999329447746,1.0,100.0,0.0,0.847530722618103
47,976,0,122,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.23999999463558197,1,0,5,11.0,10.486867268880209,-0.5,0.5,-0.018452584743499756,0.0,1.0,100.0,0.0,0.45848146080970764
48,992,0,124,3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,1,3,-2,15,0.23999999463558197,1,0,0,11.0,12.490376790364584,-1.0,-0.5,0.022042840719223022,0.019999999552965164,-1.0,-100.0,0.0,-0.845309853553772
49,1064,0,133,3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.23999999463558197,1,0,8,11.0,10.065508390727796,-1.0,-0.5,-0.036008983850479126,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.8749946355819702
50,1096,0,137,0,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,15,0.23999999463558197,1,0,1,11.0,9.646754964192708,1.0,0.0,0.017442435026168823,0.0,0.0,0.0,0.0,0.4655396640300751
51,1112,0,139,0,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,3,13.0,10.624153137207031,1.0,0.5,-0.06262186169624329,0.014999999664723873,1.0,100.0,0.0,0.8449112772941589
52,1120,0,140,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.19999998807907104,1,0,3,12.0,11.046822441948784,1.0,0.5999999642372131,-0.008883237838745117,0.029999999329447746,1.0,100.0,0.0,0.8630760312080383
53,1120,0,140,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,1,11.0,10.724265204535591,1.0,0.5,0.024424076080322266,0.029999999329447746,1.0,100.0,0.0,0.8520551919937134
54,1128,0,141,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,21,0.19999998807907104,1,0,6,14.0,8.917125883556547,1.0,1.0,0.010886967182159424,0.029999999329447746,2.0,200.0,0.0,0.9647426605224609
55,1136,0,142,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.19999998807907104,1,0,0,11.0,12.20579104953342,-1.0,-0.4000000059604645,-0.018533557653427124,0.0,-1.0,-100.0,-0.20000000298023224,-0.8629112243652344
56,1136,0,142,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,20,0.19999998807907104,1,0,1,13.0,10.73272247314453,1.0,0.5,0.0036195367574691772,0.029999999329447746,1.0,100.0,0.0,0.8506237864494324
57,1208,0,151,0,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,0,11.0,12.018001980251736,1.0,0.5,-0.0018239319324493408,0.029999999329447746,1.0,100.0,0.0,0.8502471446990967
58,1248,0,156,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,3,12.0,10.40423583984375,1.0,0.4000000059604645,-0.020471245050430298,0.029999999329447746,1.0,100.0,0.0,0.8343797326087952
59,1256,0,157,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.1599999964237213,1,0,3,11.0,9.94252438015408,-0.5,0.0,0.017543524503707886,0.0,0.0,0.0,0.0,-0.240791454911232
60,1264,0,158,0,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,1,11.0,10.519807603624132,1.0,0.4000000059604645,-0.018635064363479614,0.014999999664723873,1.0,100.0,0.0,0.8333771824836731
61,1272,0,159,0,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.19999998807907104,1,0,0,11.0,11.222245065789474,-0.5,0.0,0.017150402069091797,0.0,0.0,0.0,0.0,-0.24088403582572937
62,1280,0,160,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.19999998807907104,1,0,2,11.0,10.788827996504935,1.0,0.5,-0.03128337860107422,0.029999999329447746,1.0,100.0,0.0,0.8481936454772949
63,1288,0,161,0,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,1,12.0,11.008159436677632,1.0,0.5,-0.049747586250305176,0.029999999329447746,1.0,100.0,0.0,0.8468934297561646
64,1304,0,163,3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,21,0.23999999463558197,1,0,5,11.0,9.477984473818825,-1.0,-0.5,0.005364924669265747,0.0,-1.0,-100.0,0.0,-0.8479071259498596
65,1360,0,170,2,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.3199999928474426,1,0,1,11.0,9.636570980674342,-0.5,0.0,-0.02110755443572998,0.0,0.0,0.0,-0.20000000298023224,-0.3410469889640808
66,1400,0,175,3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.19999998807907104,1,0,3,12.0,10.63271050704153,-1.0,-0.5,0.025652438402175903,0.019999999552965164,-1.0,-100.0,0.0,-0.8450520634651184
