episode_id,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
13,368,0,46,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,16,0.23999999463558197,1,0,0,12.0,10.925886154174805,1.0,0.5,0.005421668291091919,0.014999999664723873,1.0,100.0,0.0,0.5554829239845276
14,384,0,48,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.1599999964237213,1,0,8,12.0,9.86460517434513,1.0,0.5,-0.013124823570251465,0.029999999329447746,1.0,100.0,0.0,0.5553295612335205
15,392,0,49,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,21,0.2800000011920929,1,0,4,14.0,10.740721203031994,-1.0,-0.5,0.00904335081577301,0.0,-1.0,-100.0,0.0,-0.5542082786560059
16,408,0,51,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,20,0.1599999964237213,1,0,1,12.0,11.048484802246094,-0.5,0.0,0.0060116201639175415,0.0,0.0,0.0,-0.4000000059604645,-0.2209210991859436
17,496,0,62,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.23999999463558197,1,0,1,11.0,11.593226114908854,1.0,0.5,0.008390456438064575,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.5200890898704529
18,496,0,62,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.23999999463558197,1,0,1,12.0,9.604514674136514,1.0,0.5,-0.018250703811645508,0.014999999664723873,1.0,100.0,0.0,0.5544590950012207
19,496,0,62,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.19999998807907104,1,0,0,11.0,11.506619621725644,1.0,0.5,-0.037278011441230774,0.029999999329447746,1.0,100.0,0.0,0.5542846918106079
20,504,0,63,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.1599999964237213,1,0,3,12.0,10.007394087942023,1.0,0.5,-0.014500245451927185,0.029999999329447746,1.0,100.0,0.0,0.5552701354026794
21,512,0,64,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,18,0.2800000011920929,1,0,5,11.0,9.112725999620226,-0.5,0.0,-0.006397351622581482,0.0,0.0,0.0,0.0,-0.12474663555622101
22,528,0,66,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.19999998807907104,1,0,1,11.0,10.045344034830729,1.0,0.4000000059604645,-0.008487090468406677,0.014999999664723873,1.0,100.0,0.0,0.5373390913009644
23,528,0,66,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,1,2,17,0.23999999463558197,1,0,2,11.0,11.015592687270221,1.0,0.5,-0.003538176417350769,0.014999999664723873,1.0,100.0,0.0,0.5550955533981323
24,544,0,68,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.3199999928474426,1,0,0,11.0,10.342260921702666,1.0,0.5,-0.0006614774465560913,0.029999999329447746,1.0,100.0,0.0,0.5558681488037109
