condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP5,2009,0,1,32,1,3,1,-0.10107073932886124,0.10000769793987274,-0.021164298057556152,0.03498794883489609,0.2246355414390564,0.27466651797294617,0.24332201480865479,0.25737595558166504
learned_qphi_switching,OP5,2009,0,2,64,3,1,1,-0.07580830156803131,0.013563682325184345,-0.0512375682592392,0.036709100008010864,0.2359907627105713,0.25805288553237915,0.241861030459404,0.2640953063964844
learned_qphi_switching,OP5,2009,0,3,96,3,3,0,-0.04172559455037117,0.014721906743943691,-0.05598612129688263,0.03611728549003601,0.24243217706680298,0.25651049613952637,0.23899953067302704,0.26205775141716003
learned_qphi_switching,OP5,2009,0,4,128,1,3,1,0.004896774888038635,0.04457921162247658,-0.04471635818481445,0.0009505487978458405,0.25074347853660583,0.26089364290237427,0.23860688507556915,0.24975594878196716
learned_qphi_switching,OP5,2010,0,0,0,3,1,1,-0.13718047738075256,0.041875600814819336,-0.0030373670160770416,0.12402269244194031,0.21560387313365936,0.25788116455078125,0.24655519425868988,0.2799597978591919
learned_qphi_switching,OP5,2010,0,1,32,1,3,1,-0.07887917757034302,0.09292244911193848,-0.030052844434976578,0.023505855351686478,0.2301342487335205,0.2732711136341095,0.24164967238903046,0.25494498014450073
learned_qphi_switching,OP5,2010,0,2,64,3,1,1,-0.05581503361463547,0.008299292996525764,-0.04442493990063667,0.035493165254592896,0.2396198958158493,0.2554861605167389,0.2423647940158844,0.2625291347503662
learned_qphi_switching,OP5,2010,0,3,96,3,3,0,-0.04302467405796051,0.0357331782579422,-0.022568825632333755,0.042855799198150635,0.2385334074497223,0.2580793797969818,0.24346306920051575,0.25992414355278015
learned_qphi_switching,OP5,2010,0,4,128,1,3,1,-0.026052825152873993,0.0743984580039978,-0.03210274875164032,0.018114298582077026,0.24126645922660828,0.26676100492477417,0.23981121182441711,0.25216132402420044
learned_qphi_switching,OP5,2011,0,0,0,3,1,1,-0.12673470377922058,0.045089732855558395,0.005902811884880066,0.12495975196361542,0.21666087210178375,0.25727811455726624,0.24739116430282593,0.2786698341369629
learned_qphi_switching,OP5,2011,0,1,32,1,3,1,-0.08320564031600952,0.018059246242046356,-0.029779253527522087,-0.004725448787212372,0.23567724227905273,0.2607932984828949,0.24861103296279907,0.2549183964729309
learned_qphi_switching,OP5,2011,0,2,64,1,1,0,-0.020700033754110336,0.032657962292432785,-0.06750757992267609,0.003911077976226807,0.24789324402809143,0.26147958636283875,0.23655734956264496,0.25406986474990845
learned_qphi_switching,OP5,2011,0,3,96,3,1,1,-0.045272618532180786,0.00882409606128931,-0.03344588726758957,0.06799351423978806,0.23881091177463531,0.2520855963230133,0.24165202677249908,0.2674514651298523
learned_qphi_switching,OP5,2012,0,0,0,3,3,0,-0.12476344406604767,0.04781128466129303,0.0016655214130878448,0.12222327291965485,0.21723584830760956,0.2581545412540436,0.24651247262954712,0.27809712290763855
learned_qphi_switching,OP5,2012,0,1,32,1,3,1,-0.050908662378787994,0.055087778717279434,-0.04556209221482277,0.01971634104847908,0.2386431246995926,0.26532769203186035,0.23992246389389038,0.2561067044734955
