blue_style,red_style,map,episode_index,episode_seed,success,blue_score,red_score,win_margin,steps,return,outcome,time_to_first_score,collision_free,zone_coverage
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,13,511014,0,0,1,-1,240,-16.29990981722949,loss,216.0,0,0.6399999856948853
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,13,511014,0,0,0,0,240,-10.607440921776288,draw,,0,0.6399999856948853
BLUE_SPLIT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,13,511014,1,3,0,3,135,-3.8010412665189506,win,42.0,1,0.8399999737739563
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,13,511014,0,0,1,-1,240,-13.006360898143612,loss,116.0,0,0.6399999856948853
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,14,511015,0,0,0,0,240,-16.055956384254387,draw,,0,0.7999999523162842
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,14,511015,0,0,0,0,240,-10.411050062517461,draw,,0,0.6800000071525574
BLUE_SPLIT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,14,511015,1,3,0,3,237,-10.305954028852284,win,63.0,1,0.9599999785423279
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,14,511015,0,0,0,0,240,-10.79134182506823,draw,,0,0.5999999642372131
BLUE_RUSH,OP9_SPLIT_LANE_FEINT,map_b_split_lane,15,511016,0,0,0,0,240,-15.832498354357085,draw,,0,0.7999999523162842
BLUE_TURTLE,OP9_SPLIT_LANE_FEINT,map_b_split_lane,15,511016,0,0,0,0,240,-13.01247965573566,draw,,0,0.7199999690055847
BLUE_SPLIT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,15,511016,1,3,1,2,106,-2.3837520322122145,win,38.0,1,0.8399999737739563
BLUE_ESCORT,OP9_SPLIT_LANE_FEINT,map_b_split_lane,15,511016,1,1,0,1,240,-11.36698806998902,win,133.0,0,0.7199999690055847
