opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
OP5,2010,0,2,64,3,1,1,-0.06496956944465637,-0.0005492707714438438,-0.03795810043811798,0.02059653401374817,0.23904837667942047,0.25495481491088867,0.24559344351291656,0.26040342450141907
OP5,2010,0,3,96,3,3,0,-0.03519205003976822,0.006947365589439869,-0.053879670798778534,0.03722942993044853,0.24392420053482056,0.254422664642334,0.2394081950187683,0.26224496960639954
OP5,2011,0,0,0,3,3,0,-0.15060026943683624,0.045342329889535904,-0.001919139176607132,0.12494483590126038,0.21303752064704895,0.25915101170539856,0.24718806147575378,0.2806233763694763
OP5,2011,0,1,32,1,3,1,-0.04980146512389183,0.05280521512031555,-0.04398052394390106,0.01977739855647087,0.23889440298080444,0.2647082507610321,0.24028903245925903,0.25610828399658203
OP5,2011,0,2,64,3,1,1,-0.053791970014572144,0.03252335637807846,-0.06836865842342377,0.05549873784184456,0.238597109913826,0.2601066529750824,0.23514437675476074,0.26615187525749207
OP5,2011,0,3,96,1,3,1,-0.060765668749809265,0.06825214624404907,-0.03981227055191994,0.045681584626436234,0.234126016497612,0.2663675844669342,0.23908349871635437,0.26042285561561584
OP5,2012,0,0,0,3,1,1,-0.1322776824235916,0.04535401612520218,0.002930331975221634,0.12304969131946564,0.2159806489944458,0.2579641342163086,0.24724923074245453,0.27880600094795227
OP5,2012,0,1,32,1,3,1,-0.09146225452423096,0.08880331367254257,-0.03700273856520653,0.042543914169073105,0.22743269801139832,0.2723587155342102,0.24016204476356506,0.26004651188850403
OP5,2012,0,2,64,3,1,1,-0.04679230600595474,0.0072746267542243,-0.07888992130756378,0.024723190814256668,0.2440153956413269,0.2575717270374298,0.23630745708942413,0.26210543513298035
OP5,2012,0,3,96,3,3,0,-0.09773345291614532,0.02915579080581665,-0.04298146069049835,0.09612657129764557,0.22698917984962463,0.25769883394241333,0.23976382613182068,0.27554813027381897
OP5,2013,0,0,0,3,3,0,-0.15323546528816223,0.048952020704746246,0.001380782574415207,0.1258821040391922,0.21216781437397003,0.25970983505249023,0.24764439463615417,0.28047794103622437
OP5,2013,0,1,32,1,3,1,-0.062113046646118164,0.02865683287382126,-0.047607604414224625,0.01682547852396965,0.2385629415512085,0.26123046875,0.24204863607883453,0.25815796852111816
OP5,2013,0,2,64,1,1,0,-0.03691614046692848,0.06142636388540268,-0.07046478986740112,0.007131800055503845,0.2429908663034439,0.26810169219970703,0.23497408628463745,0.2539333403110504
OP5,2013,0,3,96,3,1,1,-0.047440268099308014,0.020253416150808334,-0.06177039071917534,0.047912005335092545,0.240624338388443,0.2574770450592041,0.23720073699951172,0.2646979093551636
OP5,2014,0,0,0,3,3,0,-0.13657164573669434,0.04826034605503082,-0.005118083208799362,0.12586785852909088,0.2153502106666565,0.2590698003768921,0.24560366570949554,0.2799763083457947
OP5,2014,0,1,32,1,3,1,-0.09857788681983948,0.10554050654172897,-0.02758878469467163,0.04278344288468361,0.22462552785873413,0.27549049258232117,0.2411511391401291,0.2587328553199768
OP5,2014,0,2,64,1,1,0,-0.08081842958927155,0.07745640724897385,-0.052832458168268204,0.054386500269174576,0.2301686406135559,0.2696398198604584,0.236701101064682,0.2634904682636261
OP5,2014,0,3,96,1,1,0,-0.07292819023132324,0.08200015872716904,-0.02314980886876583,0.05549077317118645,0.22958728671073914,0.26806023716926575,0.24130499362945557,0.26104748249053955
OP5,2014,0,4,128,3,1,1,-0.04203344136476517,0.028194908052682877,-0.08201199769973755,0.06151966378092766,0.24139034748077393,0.258952260017395,0.23193027079105377,0.26772716641426086
OP5,2015,0,0,0,3,3,0,-0.14662736654281616,0.039945244789123535,-0.004819657653570175,0.1231832206249237,0.214261993765831,0.2582097053527832,0.2469058781862259,0.2806224226951599
OP5,2015,0,1,32,1,3,1,-0.04604277014732361,0.044763654470443726,-0.054970137774944305,0.012533638626337051,0.24116751551628113,0.26409217715263367,0.2390241175889969,0.2557162046432495
OP5,2015,0,2,64,3,1,1,-0.04894529655575752,0.037449274212121964,-0.07126569747924805,0.06989306211471558,0.23841592669487,0.25992968678474426,0.2331533282995224,0.2685011029243469
OP5,2015,0,3,96,3,3,0,-0.08064468950033188,0.07703514397144318,-0.02799030765891075,0.08043453097343445,0.22729161381721497,0.2661110460758209,0.2395801991224289,0.2670171856880188
OP5,2015,0,4,128,3,3,0,-0.05328314006328583,-0.011953816749155521,-0.050131797790527344,0.04187678173184395,0.24124367535114288,0.2514230012893677,0.2420051097869873,0.26532816886901855
OP6,2000,0,0,0,3,3,0,-0.1281173676252365,0.04988247901201248,0.003019779920578003,0.1255716234445572,0.21627606451511383,0.25841206312179565,0.2465815544128418,0.2787303030490875
OP6,2000,0,1,32,3,3,0,-0.09683699905872345,0.05092538520693779,-0.04957049340009689,0.06491218507289886,0.2281436175107956,0.2644726037979126,0.23918607831001282,0.2681977152824402
OP6,2000,0,2,64,1,3,1,-0.01569998264312744,0.09366606175899506,-0.019156575202941895,0.009145431220531464,0.24170489609241486,0.26963889598846436,0.2408708781003952,0.24778537452220917
OP6,2000,0,3,96,1,1,0,-0.06911075115203857,0.06423185765743256,-0.047517724335193634,0.03829113021492958,0.2337622344493866,0.26710641384124756,0.23886476457118988,0.26026657223701477
OP6,2000,0,4,128,1,1,0,-0.04063625633716583,0.04085898399353027,-0.06063356623053551,0.026751328259706497,0.24184852838516235,0.26238343119621277,0.23706024885177612,0.25870779156684875
OP6,2000,0,5,160,1,1,0,-0.09745526313781738,0.0778394341468811,-0.05639367923140526,0.07634313404560089,0.22607405483722687,0.26938924193382263,0.23555022478103638,0.26898646354675293
OP6,2000,0,6,192,3,1,1,-0.05937722325325012,-0.025993477553129196,-0.06018027663230896,0.03564776852726936,0.2419648915529251,0.2501789331436157,0.2417706549167633,0.26608550548553467
OP6,2001,0,0,0,3,3,0,-0.14328519999980927,0.044936396181583405,-0.0026091746985912323,0.12258334457874298,0.21446727216243744,0.25888365507125854,0.24686288833618164,0.2797861695289612
OP6,2001,0,1,32,1,3,1,-0.07452811300754547,0.025710448622703552,-0.022860035300254822,0.01597360149025917,0.23511794209480286,0.2599075138568878,0.24758537113666534,0.2573891282081604
OP6,2001,0,2,64,1,1,0,-0.03884236514568329,0.04607341066002846,-0.0748923122882843,0.0053459107875823975,0.24399785697460175,0.26562225818634033,0.23535841703414917,0.25502145290374756
OP6,2001,0,3,96,3,1,1,-0.038307588547468185,0.02021300047636032,-0.0672159418463707,0.05154546722769737,0.24237807095050812,0.2569854259490967,0.23547162115573883,0.26516488194465637
OP6,2002,0,0,0,3,3,0,-0.14248418807983398,0.04407215490937233,-0.0021115727722644806,0.12824486196041107,0.2142835110425949,0.2582314610481262,0.24657656252384186,0.2809084951877594
OP6,2002,0,1,32,1,3,1,-0.03290790691971779,0.03947763890028,-0.05208220332860947,0.008263371884822845,0.24401499330997467,0.2623331546783447,0.23938076198101044,0.25427109003067017
OP6,2002,0,2,64,3,1,1,-0.049078263342380524,0.025775384157896042,-0.07183043658733368,0.048478562384843826,0.2405172884464264,0.25921183824539185,0.23510679602622986,0.2651640772819519
OP6,2002,0,3,96,3,3,0,-0.08800873160362244,0.05437750741839409,-0.04047656059265137,0.06165199354290962,0.22919262945652008,0.2642641067504883,0.24034972488880157,0.26619353890419006
OP6,2003,0,0,0,3,3,0,-0.1575966328382492,0.04698893055319786,-0.003227606415748596,0.12720991671085358,0.21170999109745026,0.2597716450691223,0.24704891443252563,0.2814694344997406
OP6,2003,0,1,32,1,3,1,-0.07152920961380005,0.025888018310070038,-0.03088201768696308,0.003743581473827362,0.23685553669929504,0.26109063625335693,0.24668139219284058,0.25537246465682983
OP6,2003,0,2,64,1,1,0,-0.03691377490758896,0.052073173224925995,-0.07283198833465576,0.0227653905749321,0.2427607923746109,0.26535364985466003,0.23419597744941711,0.25768956542015076
OP6,2003,0,3,96,3,1,1,-0.031637679785490036,0.028947316110134125,-0.04887080937623978,0.05036984011530876,0.24208173155784607,0.2572016417980194,0.23794564604759216,0.26277101039886475
