policy_seed,opponent,eval_seed,episode_key,step_i,score_stratum,failure_labels_at_t,step,time_remaining_frac,blue_score,red_score,score_diff,blue_carrying,red_carrying,blue_tagged,red_tagged,blue_cooldown_active,agents_forward,formation_spread,team_separation,carrier_present,carrier_pressure,carrier_under_pressure,escort_available,escort_distance,carrier_unescorted,red_tag_ready_count,nearest_ready_defender,defender_tag_available,home_threatened,our_flag_away_from_home,nearest_red_to_our_flag,nearest_blue_to_our_flag,blue_alive_count,red_alive_count,intervention_margin,mate_can_intervene
3200001,OP6,9400000,OP6:9400000,27,tied,,27,0.8875,0.0,0.0,0.0,1,0,0,2,2,0,0.013405656442046165,0.10752703249454498,1.0,0.3377232253551483,0.0,1.0,0.10752703249454498,0.0,0,inf,0.0,0.0,0.0,0.49404001235961914,0.1563173234462738,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,28,tied,,28,0.8833333333333333,0.0,0.0,0.0,1,0,0,1,2,0,0.01552591286599636,0.10750623047351837,1.0,0.44122910499572754,0.0,1.0,0.10750623047351837,0.0,1,0.5782824754714966,1.0,0.0,0.0,0.5429636240005493,0.10186731815338135,2,2,0.4707762449979782,1.0
3200001,OP6,9400000,OP6:9400000,29,tied,,29,0.8791666666666667,0.0,0.0,0.0,1,0,0,1,2,0,0.01657099649310112,0.10750114917755127,1.0,0.5455175638198853,0.0,1.0,0.10750114917755127,0.0,1,0.6414463520050049,1.0,0.0,0.0,0.5927591323852539,0.047417305409908295,2,2,0.5339452028274536,1.0
3200001,OP6,9400000,OP6:9400000,30,leading,,30,0.875,1.0,0.0,1.0,0,0,0,1,2,0,0.0130774499848485,0.08299777656793594,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.6396118998527527,0.017469804733991623,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,31,leading,,31,0.8708333333333333,1.0,0.0,1.0,0,0,0,0,2,0,0.0033596039284020662,0.11506450176239014,0.0,nan,0.0,0.0,nan,0.0,2,nan,1.0,0.0,0.0,0.5928977727890015,0.044075291603803635,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,32,leading,,32,0.8666666666666667,1.0,0.0,1.0,0,0,0,0,2,0,0.03502931445837021,0.13326838612556458,0.0,nan,0.0,0.0,nan,0.0,2,nan,1.0,0.0,0.0,0.5475143790245056,0.08249945193529129,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,33,leading,,33,0.8625,1.0,0.0,1.0,0,0,0,0,2,0,0.033115386962890625,0.13294507563114166,0.0,nan,0.0,0.0,nan,0.0,2,nan,1.0,0.0,0.0,0.5038216710090637,0.10846738517284393,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,34,leading,,34,0.8583333333333334,1.0,0.0,1.0,0,0,0,0,2,0,0.014865875244140625,0.12849858403205872,0.0,nan,0.0,0.0,nan,0.0,2,nan,1.0,0.0,0.0,0.4622991979122162,0.15051178634166718,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,35,leading,,35,0.8541666666666666,1.0,0.0,1.0,0,0,0,0,2,0,0.03656597062945366,0.1429658830165863,0.0,nan,0.0,0.0,nan,0.0,2,nan,1.0,0.0,0.0,0.4235856533050537,0.20399072766304016,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,36,leading,,36,0.85,1.0,0.0,1.0,0,0,0,1,2,0,0.05826611444354057,0.15978753566741943,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.388521671295166,0.2578763961791992,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,37,leading,,37,0.8458333333333333,1.0,0.0,1.0,0,0,0,1,2,1,0.07996620982885361,0.17829832434654236,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.3428691625595093,0.3119581341743469,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,38,leading,,38,0.8416666666666667,1.0,0.0,1.0,0,0,0,1,2,1,0.12828092277050018,0.21255657076835632,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.37044191360473633,0.36614900827407837,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,39,leading,,39,0.8375,1.0,0.0,1.0,0,0,0,1,2,1,0.11991377174854279,0.2100813090801239,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.41601476073265076,0.397604763507843,2,2,nan,nan
3200001,OP6,9400000,OP6:9400000,40,leading,,40,0.8333333333333334,1.0,0.0,1.0,0,0,0,1,2,2,0.11154661327600479,0.2079571932554245,0.0,nan,0.0,0.0,nan,0.0,1,nan,1.0,0.0,0.0,0.3845384418964386,0.4336399435997009,2,2,nan,nan
