pole,seed,pair,steps,n_ticks,n_active,n_tagged,n_carrying,n_dead,n_in,n_out,tgt,tgt_in,tgt_out,dir,dir_in,dir_out,tgt_all,dir_joint,dir_any,gohome_legal,w_empty,exact_ill,exact_ill_in,exact_ill_out,sub_cost,n_win,n_win_in,n_win_out,nat,nat_in,nat_out,itr,itr_in,itr_out,n_win_free,nat_free,itr_free,g6_tgt,g6_dir,g6_all,fid_sum,legal_bad,rt_mismatch
B,21100020,0-1,240,480,458,22,0,0,177,281,450,175,275,127,51,76,450,124,242,1,0,143,143,0,296.77453279289244,200,61,139,192,59,133,198,61,137,0,0,0,66,3,0,115.72538295039354,0,0
A,21100021,0-2,240,480,363,117,0,0,179,184,363,179,184,143,117,26,363,143,202,0,0,43,43,0,85.9218065144834,116,26,90,108,25,83,113,26,87,1,1,1,36,1,0,58.25539565949573,0,0
B,21100021,0-2,240,480,460,20,0,0,85,375,458,85,373,46,23,23,458,45,106,1,0,49,49,0,100.89794672189912,201,30,171,199,28,171,201,30,171,0,0,0,115,3,0,75.60879352598057,0,0
A,21100022,0-3,161,322,322,0,0,0,43,279,321,43,278,23,2,21,321,23,60,1,0,43,43,0,88.80621108031713,146,25,121,142,21,121,146,25,121,4,3,4,67,0,0,81.07168804450181,0,0
B,21100022,0-3,240,480,460,20,0,0,106,354,455,106,349,76,30,46,455,76,142,1,0,81,81,0,164.97196034208832,200,39,161,192,35,157,199,39,160,28,28,28,99,0,0,103.35580717080036,0,0
A,21100023,1-2,187,374,341,33,0,0,144,197,337,144,193,96,63,33,337,95,176,1,0,68,68,0,135.00141208977564,140,49,91,133,47,86,138,49,89,0,0,0,16,6,1,122.85863723646804,0,0
B,21100023,1-2,240,480,455,25,0,0,101,354,455,101,354,65,34,31,455,65,128,1,0,62,62,0,128.69506147447976,198,30,168,197,29,168,198,30,168,0,0,0,12,2,1,119.04746743363083,0,0
A,21100024,1-3,214,428,357,71,0,0,175,182,350,175,175,161,99,62,350,161,238,0,0,101,101,0,207.2228067047692,121,49,72,114,43,71,121,49,72,10,10,10,4,0,0,76.82963113669369,0,0
B,21100024,1-3,240,480,433,47,0,0,154,279,424,153,271,109,63,46,424,108,197,1,0,84,84,0,172.3752996317375,181,45,136,176,42,134,179,45,134,16,16,16,14,5,1,106.18598756336215,0,0
A,21100025,2-3,240,480,389,91,0,0,167,222,376,166,210,139,108,31,376,133,193,1,0,40,40,0,73.76369568189611,129,27,102,127,25,102,128,27,101,9,9,9,44,4,1,34.91531297679428,0,0
B,21100025,2-3,240,480,283,197,0,0,244,39,277,243,34,214,199,15,277,210,256,0,0,20,20,0,38.86000295942523,36,22,14,35,21,14,34,22,12,1,1,1,0,2,0,29.382081582661982,0,0
A,21100026,0-1,193,386,365,21,0,0,206,159,352,205,147,181,106,75,352,178,271,1,0,133,133,0,273.3633350848194,156,73,83,147,69,78,154,73,81,0,0,0,5,1,0,79.7367356371661,0,0
B,21100026,0-1,240,480,288,192,0,0,235,53,280,234,46,212,200,12,280,208,243,0,0,15,15,0,30.622873971905083,38,21,17,38,21,17,38,21,17,0,0,0,0,1,0,25.904489873644348,0,0
A,21100027,0-2,240,480,301,179,0,0,234,67,296,232,64,217,189,28,296,212,252,1,0,21,21,0,42.79096704411066,46,26,20,41,25,16,46,26,20,3,3,3,1,0,0,51.544272676569584,0,0
B,21100027,0-2,240,480,457,23,0,0,109,348,452,109,343,93,47,46,452,93,154,1,0,78,78,0,162.1594161663246,199,43,156,191,37,154,199,43,156,7,7,7,42,0,0,94.35447701090649,0,0
A,21100028,0-3,240,480,361,119,0,0,169,192,358,167,191,141,129,12,358,139,176,0,0,22,22,0,43.01428479021716,107,15,92,101,15,86,107,15,92,1,1,1,45,3,0,35.19283398028506,0,0
B,21100028,0-3,240,480,480,0,0,0,21,459,479,21,458,5,1,4,479,5,23,0,0,21,21,0,42.568856101463666,226,11,215,225,11,214,226,11,215,0,0,0,113,0,0,27.753992194677114,0,0
A,21100029,1-2,240,480,455,25,0,0,92,363,447,92,355,66,32,34,447,65,124,1,0,60,60,0,122.41540891420769,198,35,163,194,35,159,198,35,163,0,0,0,79,0,0,59.91114742195054,0,0
B,21100029,1-2,240,480,458,22,0,0,159,299,441,159,282,124,73,51,441,121,211,7,0,93,93,0,190.51535157993322,200,59,141,198,57,141,200,59,141,1,1,1,39,2,0,161.0723880736686,0,0
