composition,assignment,pole,seed,steps,true_defenders,share_pos_open,share_pos_alt,share_int_open,n_active_open,hold_id0,hold_id1,hold_id2,hold_id3,hold_id4,hold_id5,macro0,macro1,macro2,macro3,macro4,macro5,macro6,macro7
5A_1D,SUFFIX,A,20800004,20,1,0.3416666666666667,0.39166666666666666,0.19166666666666665,5.1,0.4,0.5,0.4,0.0,0.0,0.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800005,20,1,0.2783333333333333,0.23666666666666666,0.145,5.7,0.0,0.0,0.6,0.0,0.5,0.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800006,20,1,0.24,0.2816666666666666,0.15,5.4,0.0,0.4,0.4,0.0,0.0,0.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800007,20,1,0.3166666666666667,0.31,0.11666666666666665,5.1,0.0,0.4,0.0,0.6,0.0,0.6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800008,20,1,0.4533333333333333,0.27666666666666667,0.13333333333333333,5.5,0.0,0.6,0.6,0.5,0.0,0.9,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800009,20,1,0.32666666666666666,0.24166666666666664,0.12666666666666665,5.6,0.3,0.3,0.0,0.5,0.2,0.6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800010,20,1,0.325,0.2,0.10833333333333332,5.8,0.5,0.0,0.0,0.6,0.0,0.8,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800011,20,1,0.40166666666666667,0.335,0.16833333333333333,5.5,0.6,0.3,0.4,0.4,0.0,0.6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800012,20,1,0.16999999999999998,0.21166666666666667,0.09999999999999999,5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800013,20,1,0.1733333333333333,0.2566666666666667,0.09,5.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800014,20,1,0.38666666666666666,0.24333333333333332,0.1,5.5,0.5,0.0,0.0,0.3,0.4,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800015,20,1,0.3416666666666667,0.3616666666666667,0.22499999999999995,4.9,0.0,0.4,0.0,0.0,0.3,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
5A_1D,SUFFIX,A,20800016,20,1,0.22333333333333333,0.42333333333333323,0.17333333333333334,5.4,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666
4A_2D,PREFIX,A,20800001,20,2,0.4066666666666666,0.6733333333333333,0.30666666666666664,5.5,0.7,0.8,0.0,0.6,0.0,0.1,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800002,20,2,0.37333333333333335,0.35333333333333333,0.2899999999999999,5.9,0.7,0.4,0.5,0.6,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800003,20,2,0.44000000000000006,0.4666666666666666,0.24,5.5,0.9,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800004,20,2,0.4666666666666666,0.7166666666666666,0.21666666666666665,5.1,0.8,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800005,20,2,0.45,0.4,0.26999999999999996,5.5,0.8,0.6,0.6,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800006,20,2,0.38,0.58,0.2866666666666667,5.2,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800007,20,2,0.38166666666666665,0.4333333333333333,0.2533333333333333,5.5,0.5,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800008,20,2,0.5233333333333333,0.37,0.22999999999999998,5.8,0.3,1.0,0.6,0.5,0.0,0.7,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800009,20,2,0.48166666666666663,0.45999999999999996,0.23166666666666663,5.3,0.9,1.0,0.0,0.5,0.2,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800010,20,2,0.45,0.375,0.225,5.8,1.0,0.4,0.0,0.6,0.0,0.6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800011,20,2,0.49833333333333335,0.5366666666666666,0.195,5.3,1.0,0.9,0.4,0.4,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800012,20,2,0.29333333333333333,0.4766666666666667,0.24999999999999994,5.6,0.6,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800013,20,2,0.23333333333333334,0.36,0.28,5.7,0.4,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800014,20,2,0.55,0.575,0.2583333333333333,5.2,0.9,0.7,0.0,0.4,0.4,0.4,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800015,20,2,0.47333333333333333,0.49000000000000005,0.2333333333333333,5.3,0.6,1.0,0.0,0.0,0.3,0.6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,PREFIX,A,20800016,20,2,0.35333333333333333,0.6366666666666667,0.29333333333333333,5.4,0.7,0.5,0.0,0.0,0.6,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800001,20,2,0.39,0.5483333333333333,0.23666666666666666,5.5,0.0,0.0,0.0,0.6,0.7,0.8,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800002,20,2,0.4,0.36333333333333334,0.24999999999999994,6.0,0.0,0.0,0.5,0.6,0.8,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800003,20,2,0.4766666666666667,0.4166666666666667,0.24333333333333332,5.8,0.4,0.6,0.0,0.5,0.8,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800004,20,2,0.4666666666666667,0.5916666666666667,0.29166666666666663,5.3,0.4,0.5,0.4,0.0,0.5,0.6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800005,20,2,0.33666666666666667,0.42000000000000004,0.2533333333333333,5.7,0.0,0.0,0.6,0.0,0.9,0.4,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800006,20,2,0.35666666666666663,0.4666666666666666,0.2783333333333333,5.5,0.0,0.4,0.4,0.0,0.6,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800007,20,2,0.4333333333333333,0.5583333333333333,0.3,5.1,0.0,0.4,0.0,0.6,0.5,0.6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800008,20,2,0.49000000000000005,0.4333333333333333,0.2833333333333333,5.5,0.0,0.6,0.6,0.5,0.2,0.9,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800009,20,2,0.45666666666666667,0.4733333333333333,0.255,5.6,0.3,0.3,0.0,0.5,0.9,0.6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800010,20,2,0.45,0.45,0.2333333333333333,5.8,0.5,0.0,0.0,0.6,0.7,0.8,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800011,20,2,0.5233333333333334,0.5650000000000001,0.27,5.6,0.6,0.3,0.4,0.4,0.7,0.6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800012,20,2,0.24,0.4066666666666666,0.23666666666666666,5.9,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800013,20,2,0.22333333333333333,0.47333333333333344,0.22999999999999998,5.8,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800014,20,2,0.5066666666666666,0.4666666666666666,0.21666666666666665,5.5,0.5,0.0,0.0,0.3,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800015,20,2,0.5,0.6433333333333333,0.3416666666666667,4.9,0.0,0.4,0.0,0.0,0.9,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
4A_2D,SUFFIX,A,20800016,20,2,0.31333333333333335,0.6466666666666667,0.31333333333333335,5.4,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
3A_3D,PREFIX,A,20800001,20,3,0.4533333333333333,0.7283333333333333,0.41666666666666663,5.8,0.7,0.8,0.4,0.6,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800002,20,3,0.45999999999999996,0.5399999999999999,0.36,5.9,0.7,0.4,1.0,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800003,20,3,0.5766666666666665,0.6733333333333333,0.29333333333333333,5.5,0.9,1.0,0.7,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800004,20,3,0.5416666666666666,0.7833333333333333,0.29166666666666663,5.4,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800005,20,3,0.5349999999999999,0.5999999999999999,0.36,5.5,0.8,0.6,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800006,20,3,0.47000000000000003,0.6233333333333333,0.35666666666666663,5.4,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800007,20,3,0.475,0.5916666666666666,0.4,5.6,0.5,1.0,0.5,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800008,20,3,0.5800000000000001,0.5266666666666666,0.4033333333333333,5.8,0.3,1.0,1.0,0.5,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800009,20,3,0.6266666666666667,0.715,0.41,5.3,0.9,1.0,0.7,0.5,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800010,20,3,0.575,0.5916666666666666,0.38333333333333336,5.8,1.0,0.4,0.7,0.6,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800011,20,3,0.6116666666666667,0.6799999999999999,0.29,5.4,1.0,0.9,1.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800012,20,3,0.32999999999999996,0.615,0.39,5.6,0.5,0.8,0.3,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800013,20,3,0.3433333333333333,0.51,0.42333333333333334,5.7,0.4,0.5,0.6,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800014,20,3,0.6416666666666667,0.825,0.425,5.2,0.9,0.7,0.4,0.4,0.4,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800015,20,3,0.5683333333333334,0.7,0.3783333333333333,5.3,0.6,1.0,0.4,0.0,0.3,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,PREFIX,A,20800016,20,3,0.44333333333333325,0.7516666666666667,0.35666666666666663,5.9,0.7,0.5,0.8,0.0,0.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800001,20,3,0.47333333333333333,0.79,0.37666666666666665,5.5,0.0,0.0,0.0,1.0,0.7,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800002,20,3,0.4499999999999999,0.5333333333333332,0.3333333333333333,6.0,0.0,0.0,0.5,1.0,0.8,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800003,20,3,0.5766666666666665,0.5766666666666665,0.3233333333333333,5.9,0.4,0.6,0.0,1.0,0.8,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800004,20,3,0.5283333333333333,0.6866666666666666,0.41500000000000004,5.6,0.4,0.5,0.4,0.5,0.5,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800005,20,3,0.41500000000000004,0.6233333333333333,0.395,5.7,0.0,0.0,0.6,0.4,0.9,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800006,20,3,0.45999999999999996,0.69,0.42833333333333334,5.5,0.0,0.4,0.4,0.5,0.6,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800007,20,3,0.55,0.8333333333333333,0.5,5.1,0.0,0.4,0.0,1.0,0.5,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800008,20,3,0.6033333333333333,0.6666666666666666,0.3683333333333333,5.6,0.0,0.6,0.6,1.0,0.3,0.9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800009,20,3,0.5200000000000001,0.54,0.32,5.7,0.3,0.3,0.0,1.0,0.8,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800010,20,3,0.525,0.575,0.35833333333333334,5.8,0.5,0.0,0.0,1.0,0.7,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800011,20,3,0.6199999999999999,0.7866666666666667,0.36,5.6,0.6,0.3,0.4,0.9,0.7,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800012,20,3,0.3433333333333333,0.5233333333333333,0.39,5.9,0.0,0.0,0.0,0.6,0.4,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800013,20,3,0.3133333333333333,0.73,0.3866666666666667,5.8,0.0,0.0,0.0,0.5,0.3,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800014,20,3,0.6116666666666666,0.625,0.3183333333333333,5.6,0.5,0.0,0.0,1.0,1.0,0.9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800015,20,3,0.5433333333333333,0.6449999999999999,0.4533333333333333,5.3,0.0,0.4,0.0,0.5,0.9,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
3A_3D,SUFFIX,A,20800016,20,3,0.37333333333333335,0.7483333333333333,0.4333333333333333,5.6,0.0,0.0,0.0,0.4,1.0,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
2A_4D,PREFIX,A,20800001,20,4,0.53,0.8466666666666667,0.5599999999999999,5.7,0.7,0.8,0.4,0.9,0.0,0.1,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2A_4D,PREFIX,A,20800002,20,4,0.53,0.69,0.46333333333333326,5.9,0.7,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2A_4D,PREFIX,A,20800003,20,4,0.5866666666666667,0.7033333333333334,0.4033333333333333,5.7,0.9,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2A_4D,PREFIX,A,20800004,20,4,0.59,0.8366666666666667,0.4066666666666666,5.7,0.8,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2A_4D,PREFIX,A,20800005,20,4,0.6199999999999999,0.8,0.5049999999999999,5.5,0.8,0.6,1.0,0.4,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2A_4D,PREFIX,A,20800006,20,4,0.5766666666666667,0.9099999999999999,0.5066666666666666,5.4,0.4,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2A_4D,PREFIX,A,20800007,20,4,0.5583333333333333,0.85,0.5666666666666667,5.6,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2A_4D,PREFIX,A,20800008,20,4,0.6599999999999999,0.7066666666666666,0.48,5.9,0.3,1.0,1.0,1.0,0.0,0.6,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2A_4D,PREFIX,A,20800009,20,4,0.7633333333333333,0.8716666666666667,0.4883333333333333,5.3,1.0,1.0,0.7,1.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2A_4D,PREFIX,A,20800010,20,4,0.63,0.7716666666666667,0.47666666666666657,5.9,1.0,0.4,0.7,1.0,0.0,0.6,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
