seed,pole,arm,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
20200027,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,344,136,89,391,132,0
20200028,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,112,368,381,99,208,0
20200029,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,224,256,307,173,149,0
20200030,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,318,162,113,367,142,0
20200031,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,82,398,410,70,204,0
20200032,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,1,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,394,86,227,253,188,0
20200033,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,344,136,236,244,120,0
20200034,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,1,0,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,124,356,380,100,195,0
20200035,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,2,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,332,148,204,276,138,0
20200036,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,2,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,290,190,269,211,161,0
20200037,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,320,160,208,272,142,0
20200038,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,56,424,380,100,168,0
20200039,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",6,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,286,194,172,308,93,0
20200040,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,1,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,400,80,126,354,181,0
20200041,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,1,0,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,100,380,395,85,201,0
20200042,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,256,224,224,256,145,0
20200043,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,1,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,318,162,260,220,184,0
20200044,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,270,210,321,159,186,0
20200045,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,2,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,384,96,253,227,189,0
20200046,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",0,0,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,78,402,427,53,136,0
20200047,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,314,166,136,344,137,0
20200048,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",6,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,276,204,242,238,112,0
20200049,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,326,154,271,209,163,0
20200050,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,378,102,79,401,156,0
20200051,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",4,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,326,154,122,358,93,0
20200052,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,500,460,374,126,165,295,152,2
20200053,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,2,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,360,120,249,231,186,0
20200054,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",3,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,362,118,261,219,160,0
20200055,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,312,168,178,302,167,0
20200056,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,220,260,345,135,171,0
20200057,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,1,0,1,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,332,148,276,204,186,0
20200058,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",2,1,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,540,420,354,186,240,180,201,1
20200059,A,STATE_GUARDED,ROUTED_GUARDED,"0,1","2,3",1,0,1,0,240,,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,78,402,404,76,206,0
