arm,pole,seed,n_win,win_pass,n_win_free,win_free_pass,n_t,head_pass
N_prime,A,21200060,49,21,0,0,304,102
A_prime,B,21200060,198,169,9,9,375,106
N_prime,B,21200060,184,127,1,1,320,42
A_prime,A,21200061,70,67,0,0,322,220
N_prime,A,21200061,198,144,22,20,304,76
A_prime,B,21200061,170,161,4,4,381,132
N_prime,B,21200061,188,86,0,0,403,42
A_prime,A,21200062,224,212,0,0,312,59
N_prime,A,21200062,202,158,2,2,218,18
A_prime,B,21200062,224,207,0,0,285,38
N_prime,B,21200062,101,89,9,9,246,67
A_prime,A,21200063,189,173,5,5,369,123
N_prime,A,21200063,172,100,10,10,253,24
A_prime,B,21200063,219,199,0,0,346,78
N_prime,B,21200063,224,168,0,0,202,20
A_prime,A,21200064,56,41,0,0,299,173
N_prime,A,21200064,134,100,9,8,241,77
A_prime,B,21200064,197,173,5,5,327,79
N_prime,B,21200064,175,121,2,2,300,47
A_prime,A,21200065,47,40,0,0,288,187
N_prime,A,21200065,191,141,9,9,278,48
A_prime,B,21200065,197,182,4,4,345,94
N_prime,B,21200065,224,188,20,20,180,29
A_prime,A,21200066,148,134,0,0,354,165
N_prime,A,21200066,176,138,0,0,316,53
A_prime,B,21200066,224,206,3,3,323,57
N_prime,B,21200066,224,213,0,0,263,8
A_prime,A,21200067,116,95,3,3,303,131
N_prime,A,21200067,48,28,4,1,295,110
A_prime,B,21200067,184,158,0,0,351,114
N_prime,B,21200067,224,158,23,21,226,7
A_prime,A,21200068,118,102,22,22,333,177
N_prime,A,21200068,180,92,11,8,266,12
A_prime,B,21200068,195,159,0,0,366,112
N_prime,B,21200068,33,17,0,0,296,107
A_prime,A,21200069,141,126,0,0,310,121
N_prime,A,21200069,59,34,0,0,307,103
A_prime,B,21200069,171,158,12,12,327,95
N_prime,B,21200069,174,160,0,0,172,33
A_prime,A,21200070,100,78,1,1,212,61
N_prime,A,21200070,150,103,0,0,166,21
A_prime,B,21200070,197,176,0,0,398,143
N_prime,B,21200070,212,140,0,0,288,16
A_prime,A,21200071,54,44,0,0,287,184
N_prime,A,21200071,128,111,0,0,127,30
A_prime,B,21200071,40,29,0,0,293,184
N_prime,B,21200071,224,207,0,0,96,9
A_prime,A,21200072,96,96,0,0,274,142
N_prime,A,21200072,87,77,2,2,241,79
A_prime,B,21200072,162,154,0,0,310,134
N_prime,B,21200072,212,164,1,1,230,27
A_prime,A,21200073,131,99,0,0,373,161
N_prime,A,21200073,130,64,6,4,363,61
A_prime,B,21200073,170,145,4,4,402,142
N_prime,B,21200073,224,158,4,3,261,14
A_prime,A,21200074,220,209,11,11,306,64
N_prime,A,21200074,200,130,1,1,330,56
A_prime,B,21200074,173,148,5,5,365,123
N_prime,B,21200074,156,93,0,0,312,64
A_prime,A,21200075,122,114,0,0,291,115
N_prime,A,21200075,167,99,6,5,315,74
A_prime,B,21200075,224,216,0,0,258,12
N_prime,B,21200075,224,180,2,2,134,24
A_prime,A,21200076,114,97,0,0,261,100
N_prime,A,21200076,152,77,0,0,396,67
A_prime,B,21200076,224,209,6,6,350,73
N_prime,B,21200076,212,128,6,6,309,21
A_prime,A,21200077,224,213,39,39,291,81
N_prime,A,21200077,216,157,7,6,271,62
A_prime,B,21200077,172,161,2,2,353,109
N_prime,B,21200077,221,165,25,24,279,22
A_prime,A,21200078,125,110,2,2,310,127
N_prime,A,21200078,55,37,0,0,301,115
A_prime,B,21200078,122,101,2,2,348,181
N_prime,B,21200078,212,156,0,0,206,18
A_prime,A,21200079,198,171,0,0,389,114
N_prime,A,21200079,154,123,0,0,171,15
A_prime,B,21200079,199,166,2,2,356,104
N_prime,B,21200079,213,165,10,10,251,27
A_prime,A,21200080,214,192,2,2,341,62
N_prime,A,21200080,127,91,0,0,310,88
A_prime,B,21200080,196,180,4,4,352,96
N_prime,B,21200080,224,134,0,0,335,36
A_prime,A,21200081,40,34,0,0,280,184
N_prime,A,21200081,186,170,0,0,152,37
A_prime,B,21200081,176,152,19,19,346,113
N_prime,B,21200081,187,108,0,0,316,35
A_prime,A,21200082,25,18,0,0,276,201
N_prime,A,21200082,151,101,6,6,282,42
A_prime,B,21200082,162,151,0,0,283,94
N_prime,B,21200082,224,206,0,0,90,8
A_prime,A,21200083,66,56,0,0,312,189
N_prime,A,21200083,130,88,4,4,289,56
A_prime,B,21200083,198,184,0,0,299,63
N_prime,B,21200083,200,135,1,1,283,31
A_prime,A,21200084,53,47,0,0,284,176
