scale,strategy,pole,arm,seed,blue,red,win,n_decisions,n_waypoint_actions
4v4,BREACH,B,ORIGINAL,17600018,1,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600019,0,1,0,0,0
4v4,BREACH,B,ORIGINAL,17600020,0,0,0,0,0
4v4,BREACH,B,ORIGINAL,17600021,1,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600022,1,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600023,1,0,1,0,0
4v4,BREACH,B,ORIGINAL,17600024,1,0,1,0,0
4v4,BREACH,B,PROJECTED,17600001,3,0,1,412,0
4v4,BREACH,B,PROJECTED,17600002,0,0,0,607,0
4v4,BREACH,B,PROJECTED,17600003,3,0,1,405,0
4v4,BREACH,B,PROJECTED,17600004,3,0,1,204,0
4v4,BREACH,B,PROJECTED,17600005,1,0,1,481,0
4v4,BREACH,B,PROJECTED,17600006,3,0,1,320,0
4v4,BREACH,B,PROJECTED,17600007,0,0,0,489,0
4v4,BREACH,B,PROJECTED,17600008,2,0,1,474,0
4v4,BREACH,B,PROJECTED,17600009,0,0,0,573,0
4v4,BREACH,B,PROJECTED,17600010,1,0,1,445,0
4v4,BREACH,B,PROJECTED,17600011,0,0,0,428,0
4v4,BREACH,B,PROJECTED,17600012,0,0,0,582,0
4v4,BREACH,B,PROJECTED,17600013,2,0,1,592,0
4v4,BREACH,B,PROJECTED,17600014,3,0,1,386,0
4v4,BREACH,B,PROJECTED,17600015,1,0,1,459,0
4v4,BREACH,B,PROJECTED,17600016,2,0,1,584,0
4v4,BREACH,B,PROJECTED,17600017,2,0,1,476,0
4v4,BREACH,B,PROJECTED,17600018,3,0,1,579,0
4v4,BREACH,B,PROJECTED,17600019,1,0,1,452,0
4v4,BREACH,B,PROJECTED,17600020,3,0,1,247,0
4v4,BREACH,B,PROJECTED,17600021,3,0,1,343,0
4v4,BREACH,B,PROJECTED,17600022,3,0,1,405,0
4v4,BREACH,B,PROJECTED,17600023,3,1,1,487,0
4v4,BREACH,B,PROJECTED,17600024,1,0,1,500,0
