scale,style,seed,arm,tick,agent,native_target_x,native_target_y,desired_bearing_degrees,effective_bearing_degrees,committed_w50_idx_before,trace_hash,requested_w50_idx,committed_w50_idx,commit_ticks_left_before,decision_boundary,target_jump_cells,bearing_change_degrees,switch_request,blocked_switch,stale_switch,adopted,decision_lag_ticks,lag_censored,alive,carrying,tagged
2v2,GUARD,19600001,I1_W50_NO_COMMIT,29,1,2.0,10.0,41.014185,164.471845,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,28.391718,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,30,0,17.0,10.0,2.699384,172.042889,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,30,1,2.0,10.0,71.796284,164.469971,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,30.782099,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,31,0,17.0,10.0,1.761352,172.042885,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,0,0,0,0,,0,1,0,1
2v2,GUARD,19600001,I1_W50_NO_COMMIT,31,1,2.0,10.0,104.596576,164.470248,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,32.800292,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,32,0,17.0,10.0,0.973865,2.915232,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.0,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,32,1,2.0,10.0,138.960625,164.47308,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,34.364049,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,33,0,17.0,10.0,-3.691572,-1.141493,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,4.665437,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,33,1,2.0,10.0,174.470445,164.476938,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,35.509821,1,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,34,0,17.0,10.0,-4.515117,-1.65888,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,0.823545,0,0,0,1,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,34,1,2.0,10.0,-148.896653,164.479599,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,5,0,0,1,0.0,36.632902,1,0,0,0,,0,1,0,0
2v2,GUARD,19600001,I1_W50_NO_COMMIT,35,0,17.0,10.0,-4.515111,-1.42309,0,bbe35d044b3707fff5e401f900b0b7b085dfb498298c191493d1ea16f2043b78,45,0,0,1,0.0,6e-06,0,0,0,1,,0,1,0,0
