arm,pole,seed,pair,steps,blue,red,win,margin
pi_A,B,21100054,,86,3,0,1,3
A_prime,A,21100054,1-3,204,3,1,1,2
A_prime,B,21100054,1-3,240,0,2,0,-2
pi_B,A,21100054,,240,1,1,0,0
pi_B,B,21100054,,240,2,1,1,1
pi_A,A,21100055,,240,1,0,1,1
pi_A,B,21100055,,131,3,0,1,3
A_prime,A,21100055,2-3,180,3,2,1,1
A_prime,B,21100055,2-3,240,1,1,0,0
pi_B,A,21100055,,240,0,0,0,0
pi_B,B,21100055,,181,3,0,1,3
pi_A,A,21100056,,240,2,1,1,1
pi_A,B,21100056,,240,0,0,0,0
A_prime,A,21100056,0-1,143,3,0,1,3
A_prime,B,21100056,0-1,240,1,2,0,-1
pi_B,A,21100056,,240,1,0,1,1
pi_B,B,21100056,,240,0,0,0,0
pi_A,A,21100057,,240,1,0,1,1
pi_A,B,21100057,,240,0,0,0,0
A_prime,A,21100057,0-2,240,2,2,0,0
A_prime,B,21100057,0-2,240,0,1,0,-1
pi_B,A,21100057,,240,1,0,1,1
pi_B,B,21100057,,240,0,0,0,0
pi_A,A,21100058,,240,1,0,1,1
pi_A,B,21100058,,240,1,0,1,1
A_prime,A,21100058,0-3,240,0,0,0,0
A_prime,B,21100058,0-3,240,0,2,0,-2
pi_B,A,21100058,,240,1,0,1,1
pi_B,B,21100058,,240,0,0,0,0
pi_A,A,21100059,,240,0,0,0,0
pi_A,B,21100059,,169,3,0,1,3
A_prime,A,21100059,1-2,127,3,0,1,3
A_prime,B,21100059,1-2,240,0,0,0,0
pi_B,A,21100059,,240,2,0,1,2
pi_B,B,21100059,,240,2,1,1,1
pi_A,A,21100060,,240,1,1,0,0
pi_A,B,21100060,,212,3,0,1,3
A_prime,A,21100060,1-3,240,0,0,0,0
A_prime,B,21100060,1-3,240,0,2,0,-2
pi_B,A,21100060,,240,0,0,0,0
pi_B,B,21100060,,240,0,0,0,0
pi_A,A,21100061,,240,2,0,1,2
pi_A,B,21100061,,240,2,0,1,2
A_prime,A,21100061,2-3,223,3,1,1,2
A_prime,B,21100061,2-3,240,0,2,0,-2
pi_B,A,21100061,,240,0,0,0,0
pi_B,B,21100061,,240,1,0,1,1
pi_A,A,21100062,,240,1,0,1,1
pi_A,B,21100062,,240,0,0,0,0
A_prime,A,21100062,0-1,240,1,1,0,0
A_prime,B,21100062,0-1,240,0,1,0,-1
pi_B,A,21100062,,240,1,1,0,0
pi_B,B,21100062,,240,0,0,0,0
pi_A,A,21100063,,240,0,0,0,0
pi_A,B,21100063,,226,3,0,1,3
A_prime,A,21100063,0-2,156,3,0,1,3
A_prime,B,21100063,0-2,240,0,1,0,-1
pi_B,A,21100063,,240,2,1,1,1
pi_B,B,21100063,,240,1,0,1,1
pi_A,A,21100064,,240,2,0,1,2
pi_A,B,21100064,,102,3,0,1,3
A_prime,A,21100064,0-3,145,3,0,1,3
A_prime,B,21100064,0-3,240,1,1,0,0
pi_B,A,21100064,,240,0,0,0,0
pi_B,B,21100064,,240,0,0,0,0
pi_A,A,21100065,,240,1,0,1,1
pi_A,B,21100065,,240,0,0,0,0
A_prime,A,21100065,1-2,200,3,1,1,2
A_prime,B,21100065,1-2,240,0,1,0,-1
pi_B,A,21100065,,240,0,0,0,0
pi_B,B,21100065,,240,1,0,1,1
pi_A,A,21100066,,240,1,0,1,1
pi_A,B,21100066,,90,3,0,1,3
A_prime,A,21100066,1-3,240,2,0,1,2
A_prime,B,21100066,1-3,240,1,1,0,0
pi_B,A,21100066,,240,1,0,1,1
pi_B,B,21100066,,240,0,0,0,0
pi_A,A,21100067,,240,1,0,1,1
pi_A,B,21100067,,240,2,0,1,2
