scale,style,seed,arm,tick,agent,E_v_tick,trace_hash
4v4,BREACH,19500002,I3_FULL_CURRENT_MACRO,239,1,0.811272,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I3_FULL_CURRENT_MACRO,239,2,0.811272,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
4v4,BREACH,19500002,I3_FULL_CURRENT_MACRO,239,3,0.811272,602c3950e08da08ab691fdad35aadb6ca42129b615fdfea8f24a7e3ccf6c70ab
2v2,GUARD,19500003,I0_CONTINUOUS_ORACLE,239,0,0.16075,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I0_CONTINUOUS_ORACLE,239,1,0.16075,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I1_W50_NO_COMMIT,239,0,0.331678,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I1_W50_NO_COMMIT,239,1,0.331678,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I2_W50_CURRENT_COMMIT,239,0,0.39504,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I2_W50_CURRENT_COMMIT,239,1,0.39504,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I3_FULL_CURRENT_MACRO,239,0,0.316379,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,GUARD,19500003,I3_FULL_CURRENT_MACRO,239,1,0.316379,1591020a1bc6e228c273f71c6423b4082f9cb2572b4332a60df4ab7897b84c00
2v2,BREACH,19500003,I0_CONTINUOUS_ORACLE,239,0,0.381028,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I0_CONTINUOUS_ORACLE,239,1,0.381028,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I1_W50_NO_COMMIT,239,0,0.56014,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I1_W50_NO_COMMIT,239,1,0.56014,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I2_W50_CURRENT_COMMIT,239,0,0.673247,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I2_W50_CURRENT_COMMIT,239,1,0.673247,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I3_FULL_CURRENT_MACRO,239,0,0.622398,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
2v2,BREACH,19500003,I3_FULL_CURRENT_MACRO,239,1,0.622398,250cee36ebd73889a0c39d8579540b259931f9084f7cd3b8f64033225c416cfa
4v4,GUARD,19500003,I0_CONTINUOUS_ORACLE,239,0,0.443656,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I0_CONTINUOUS_ORACLE,239,1,0.443656,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I0_CONTINUOUS_ORACLE,239,2,0.443656,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I0_CONTINUOUS_ORACLE,239,3,0.443656,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I1_W50_NO_COMMIT,239,0,0.469166,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I1_W50_NO_COMMIT,239,1,0.469166,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I1_W50_NO_COMMIT,239,2,0.469166,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I1_W50_NO_COMMIT,239,3,0.469166,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I2_W50_CURRENT_COMMIT,239,0,0.522164,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I2_W50_CURRENT_COMMIT,239,1,0.522164,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I2_W50_CURRENT_COMMIT,239,2,0.522164,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I2_W50_CURRENT_COMMIT,239,3,0.522164,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I3_FULL_CURRENT_MACRO,239,0,0.519052,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I3_FULL_CURRENT_MACRO,239,1,0.519052,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I3_FULL_CURRENT_MACRO,239,2,0.519052,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,GUARD,19500003,I3_FULL_CURRENT_MACRO,239,3,0.519052,7238abd15761b9c9a8ec697dfc37e5b32c651670755ae512857e9ccbe50580c9
4v4,BREACH,19500003,I0_CONTINUOUS_ORACLE,239,0,0.474197,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I0_CONTINUOUS_ORACLE,239,1,0.474197,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I0_CONTINUOUS_ORACLE,239,2,0.474197,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I0_CONTINUOUS_ORACLE,239,3,0.474197,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I1_W50_NO_COMMIT,239,0,0.559001,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I1_W50_NO_COMMIT,239,1,0.559001,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I1_W50_NO_COMMIT,239,2,0.559001,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I1_W50_NO_COMMIT,239,3,0.559001,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I2_W50_CURRENT_COMMIT,239,0,0.685524,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I2_W50_CURRENT_COMMIT,239,1,0.685524,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I2_W50_CURRENT_COMMIT,239,2,0.685524,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I2_W50_CURRENT_COMMIT,239,3,0.685524,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I3_FULL_CURRENT_MACRO,239,0,0.665727,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I3_FULL_CURRENT_MACRO,239,1,0.665727,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I3_FULL_CURRENT_MACRO,239,2,0.665727,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
4v4,BREACH,19500003,I3_FULL_CURRENT_MACRO,239,3,0.665727,a55929024034b8f899f85f22c914d89c8900b55c6d65c36d318633a9ce498c65
2v2,GUARD,19500004,I0_CONTINUOUS_ORACLE,239,0,0.30154,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,GUARD,19500004,I0_CONTINUOUS_ORACLE,239,1,0.30154,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
2v2,GUARD,19500004,I1_W50_NO_COMMIT,239,0,0.323765,8d09fde149d056b89f60e251a8ae94c1d62207ffbc739d01466de1290471e43d
