policy,pole,arm,seed,defender_id,blue,red,win,margin,steps,sealed_blue,sealed_red,time_to_first_carry,time_to_first_carry_excl_defender,n_carry_starts,n_carry_starts_excl_defender,total_carry_ticks,total_carry_ticks_excl_defender,n_carry_clean_release,n_carry_tag_caught,red_carrying_ticks,n_red_carry_starts,tagged_ticks_total,tagged_fraction,first_tag_tick,mean_active_count
pi_A,B,native,20900008,4,3,0,1,3,92,3,0,14.0,14.0,5,3,46,18,2,2,5,1,140,0.2536231884057971,8.0,4.478260869565218
pi_A,B,plus_one_defender,20900008,4,3,0,1,3,171,3,0,14.0,14.0,5,5,48,48,2,2,0,0,292,0.28460038986354774,8.0,4.292397660818714
pi_B,A,native,20900008,4,2,0,1,2,240,2,0,13.0,13.0,3,3,207,207,2,1,189,1,82,0.05694444444444444,7.0,5.658333333333333
pi_B,A,plus_one_defender,20900008,4,3,0,1,3,117,3,0,13.0,13.0,9,9,58,58,2,6,0,0,158,0.22507122507122507,7.0,4.64957264957265
pi_B,B,native,20900008,4,3,0,1,3,89,3,0,14.0,14.0,5,5,46,46,2,2,0,0,132,0.24719101123595505,8.0,4.51685393258427
pi_B,B,plus_one_defender,20900008,4,3,0,1,3,129,3,0,14.0,14.0,5,5,50,50,2,2,1,1,219,0.28294573643410853,8.0,4.3023255813953485
pi_A,A,native,20900009,5,1,0,1,1,240,1,0,16.0,240.0,2,0,209,0,1,0,208,1,105,0.07291666666666667,7.0,5.5625
pi_A,A,plus_one_defender,20900009,5,0,0,0,0,240,0,0,34.0,34.0,1,1,206,206,0,0,212,2,159,0.11041666666666666,7.0,5.3375
pi_A,B,native,20900009,5,3,0,1,3,108,3,0,27.0,27.0,6,6,47,47,2,3,1,1,204,0.3148148148148148,7.0,4.111111111111111
pi_A,B,plus_one_defender,20900009,5,3,0,1,3,218,3,0,27.0,27.0,8,8,53,53,2,5,0,0,414,0.3165137614678899,7.0,4.10091743119266
pi_B,A,native,20900009,5,1,0,1,1,240,1,0,16.0,41.0,2,1,212,199,1,0,193,2,63,0.04375,7.0,5.7375
pi_B,A,plus_one_defender,20900009,5,3,0,1,3,96,3,0,26.0,26.0,4,4,46,46,2,1,1,1,119,0.2065972222222222,7.0,4.760416666666667
pi_B,B,native,20900009,5,3,0,1,3,86,3,0,13.0,13.0,3,3,43,43,2,0,6,2,139,0.2693798449612403,7.0,4.383720930232558
