seed,t,agent,carrying,pressured,near_enemy_flag,near_own_flag,macro_driver,macro_student,macro_better
18900001,58,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,59,0,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,59,1,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,59,2,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,59,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,60,0,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,60,1,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,60,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,60,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,61,0,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
18900001,61,1,0,1,0,0,GO_TO,GET_FLAG,GO_TO
18900001,61,2,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,61,3,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,62,0,0,0,0,1,GO_TO,GO_TO,GO_TO
18900001,62,1,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,62,2,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,62,3,0,0,0,1,GO_TO,GET_FLAG,GO_TO
18900001,63,0,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,63,1,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,63,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,63,3,0,1,0,1,GO_TO,GO_TO,GO_TO
18900001,64,0,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,64,1,0,1,0,1,GO_TO,GET_FLAG,GO_TO
18900001,64,2,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,64,3,0,1,0,1,GO_TO,GO_TO,GO_TO
18900001,65,0,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,65,1,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,65,2,0,1,0,0,GO_TO,GO_TO,GO_TO
18900001,65,3,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,66,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,66,1,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,66,2,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,66,3,0,0,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,67,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,67,1,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,67,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,67,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,68,0,0,1,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,68,1,0,0,0,1,GET_FLAG,GET_FLAG,GET_FLAG
18900001,68,2,0,0,0,0,GO_TO,GO_TO,GO_TO
18900001,68,3,0,0,0,0,GET_FLAG,GET_FLAG,GET_FLAG
18900001,69,0,0,1,0,0,GO_TO,GET_FLAG,GET_FLAG
18900001,69,1,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
18900001,69,2,0,0,0,1,GO_TO,GET_FLAG,GET_FLAG
