z,K,seed,held,blue,red,win,margin,steps
0,5,13710008,"3,1,2,0,5",1,0,1,1,240
0,5,13710009,"4,5,1,0,3",1,0,1,1,240
0,5,13710010,"1,0,2,5,4",1,0,1,1,240
0,5,13710011,"0,2,3,4,5",1,0,1,1,240
0,5,13710012,"2,0,3,4,1",2,0,1,2,240
0,5,13710013,"0,1,5,2,3",1,0,1,1,240
0,5,13710014,"1,5,4,0,3",1,0,1,1,240
0,5,13710015,"5,2,3,4,0",1,0,1,1,240
0,5,13710016,"0,2,1,4,3",1,0,1,1,240
0,5,13710017,"3,2,5,1,4",3,0,1,3,92
0,5,13710018,"0,5,3,1,2",1,0,1,1,240
0,5,13710019,"4,3,5,1,2",1,0,1,1,240
0,5,13710020,"5,3,0,2,4",1,0,1,1,240
0,6,13710001,"0,3,2,4,1,5",1,0,1,1,240
0,6,13710002,"4,2,1,0,5,3",1,0,1,1,240
0,6,13710003,"5,4,1,3,2,0",1,0,1,1,240
0,6,13710004,"4,5,3,2,1,0",1,0,1,1,240
0,6,13710005,"0,5,2,1,3,4",0,0,0,0,240
0,6,13710006,"2,0,3,1,4,5",2,0,1,2,240
0,6,13710007,"2,3,5,0,1,4",1,0,1,1,240
0,6,13710008,"3,1,2,0,5,4",1,0,1,1,240
0,6,13710009,"4,5,1,0,3,2",1,0,1,1,240
0,6,13710010,"1,0,2,5,4,3",1,0,1,1,240
0,6,13710011,"0,2,3,4,5,1",1,0,1,1,240
0,6,13710012,"2,0,3,4,1,5",2,0,1,2,240
0,6,13710013,"0,1,5,2,3,4",1,0,1,1,240
0,6,13710014,"1,5,4,0,3,2",1,0,1,1,240
0,6,13710015,"5,2,3,4,0,1",1,0,1,1,240
0,6,13710016,"0,2,1,4,3,5",1,0,1,1,240
0,6,13710017,"3,2,5,1,4,0",1,0,1,1,240
0,6,13710018,"0,5,3,1,2,4",1,0,1,1,240
0,6,13710019,"4,3,5,1,2,0",1,0,1,1,240
0,6,13710020,"5,3,0,2,4,1",1,0,1,1,240
1,0,13710001,,1,0,1,1,240
1,0,13710002,,3,0,1,3,91
1,0,13710003,,2,0,1,2,240
1,0,13710004,,3,0,1,3,99
1,0,13710005,,3,0,1,3,89
1,0,13710006,,1,0,1,1,240
1,0,13710007,,1,0,1,1,240
1,0,13710008,,0,0,0,0,240
1,0,13710009,,3,0,1,3,87
1,0,13710010,,1,0,1,1,240
1,0,13710011,,1,0,1,1,240
1,0,13710012,,3,0,1,3,84
1,0,13710013,,3,0,1,3,143
1,0,13710014,,3,0,1,3,85
1,0,13710015,,2,0,1,2,240
1,0,13710016,,3,0,1,3,232
1,0,13710017,,1,0,1,1,240
1,0,13710018,,3,0,1,3,84
1,0,13710019,,3,0,1,3,133
1,0,13710020,,1,0,1,1,240
1,4,13710001,"0,3,2,4",1,0,1,1,240
1,4,13710002,"4,2,1,0",1,0,1,1,240
1,4,13710003,"5,4,1,3",3,0,1,3,83
1,4,13710004,"4,5,3,2",3,0,1,3,123
1,4,13710005,"0,5,2,1",3,0,1,3,135
1,4,13710006,"2,0,3,1",3,0,1,3,100
1,4,13710007,"2,3,5,0",3,0,1,3,124
1,4,13710008,"3,1,2,0",0,0,0,0,240
1,4,13710009,"4,5,1,0",3,0,1,3,83
1,4,13710010,"1,0,2,5",1,0,1,1,240
1,4,13710011,"0,2,3,4",3,0,1,3,87
1,4,13710012,"2,0,3,4",3,0,1,3,97
1,4,13710013,"0,1,5,2",3,0,1,3,94
1,4,13710014,"1,5,4,0",2,0,1,2,240
1,4,13710015,"5,2,3,4",2,0,1,2,240
1,4,13710016,"0,2,1,4",3,0,1,3,89
1,4,13710017,"3,2,5,1",1,0,1,1,240
1,4,13710018,"0,5,3,1",3,0,1,3,83
1,4,13710019,"4,3,5,1",2,0,1,2,240
1,4,13710020,"5,3,0,2",3,0,1,3,108
1,5,13710001,"0,3,2,4,1",1,0,1,1,240
1,5,13710002,"4,2,1,0,5",3,0,1,3,135
1,5,13710003,"5,4,1,3,2",3,0,1,3,87
1,5,13710004,"4,5,3,2,1",3,0,1,3,122
1,5,13710005,"0,5,2,1,3",3,0,1,3,118
1,5,13710006,"2,0,3,1,4",3,0,1,3,84
1,5,13710007,"2,3,5,0,1",3,0,1,3,101
1,5,13710008,"3,1,2,0,5",0,0,0,0,240
1,5,13710009,"4,5,1,0,3",3,0,1,3,85
1,5,13710010,"1,0,2,5,4",1,0,1,1,240
1,5,13710011,"0,2,3,4,5",3,0,1,3,87
1,5,13710012,"2,0,3,4,1",3,0,1,3,85
1,5,13710013,"0,1,5,2,3",3,0,1,3,114
1,5,13710014,"1,5,4,0,3",2,0,1,2,240
1,5,13710015,"5,2,3,4,0",2,0,1,2,240
1,5,13710016,"0,2,1,4,3",1,0,1,1,240
1,5,13710017,"3,2,5,1,4",1,0,1,1,240
1,5,13710018,"0,5,3,1,2",3,0,1,3,85
1,5,13710019,"4,3,5,1,2",1,0,1,1,240
1,5,13710020,"5,3,0,2,4",3,0,1,3,108
1,6,13710001,"0,3,2,4,1,5",1,0,1,1,240
1,6,13710002,"4,2,1,0,5,3",3,0,1,3,88
1,6,13710003,"5,4,1,3,2,0",3,0,1,3,85
1,6,13710004,"4,5,3,2,1,0",3,0,1,3,174
1,6,13710005,"0,5,2,1,3,4",3,0,1,3,86
1,6,13710006,"2,0,3,1,4,5",3,0,1,3,113
1,6,13710007,"2,3,5,0,1,4",3,0,1,3,94
1,6,13710008,"3,1,2,0,5,4",0,0,0,0,240
1,6,13710009,"4,5,1,0,3,2",3,0,1,3,129
1,6,13710010,"1,0,2,5,4,3",1,0,1,1,240
1,6,13710011,"0,2,3,4,5,1",3,0,1,3,159
1,6,13710012,"2,0,3,4,1,5",3,0,1,3,123
1,6,13710013,"0,1,5,2,3,4",3,0,1,3,189
1,6,13710014,"1,5,4,0,3,2",3,0,1,3,91
1,6,13710015,"5,2,3,4,0,1",2,0,1,2,240
1,6,13710016,"0,2,1,4,3,5",1,0,1,1,240
1,6,13710017,"3,2,5,1,4,0",2,0,1,2,240
1,6,13710018,"0,5,3,1,2,4",3,0,1,3,90
1,6,13710019,"4,3,5,1,2,0",1,0,1,1,240
1,6,13710020,"5,3,0,2,4,1",2,0,1,2,240
