seed,pole,composition,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
19900054,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,188,772,0,0,80,0
19900055,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,208,752,0,0,85,0
19900056,A,4A_0D,,"0,1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,184,776,0,0,70,0
19900057,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,168,792,0,0,64,0
19900058,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,120,840,0,0,37,0
19900059,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,168,792,0,0,53,0
19900060,A,4A_0D,,"0,1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,124,836,0,0,59,0
19900061,A,4A_0D,,"0,1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,188,772,0,0,85,0
19900062,A,4A_0D,,"0,1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,336,624,0,0,154,0
19900063,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,188,772,0,0,81,0
19900064,A,4A_0D,,"0,1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,960,0,128,832,0,0,59,0
19900001,A,3A_1D,0,"1,2,3",0,1,0,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,171,549,212,28,157,0
19900002,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,102,618,207,33,128,0
19900003,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,156,564,186,54,156,0
19900004,A,3A_1D,0,"1,2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,579,141,77,163,251,0
19900005,A,3A_1D,0,"1,2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,339,381,124,116,161,0
19900006,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,372,348,126,114,217,0
19900007,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,165,555,191,49,138,0
19900008,A,3A_1D,0,"1,2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,318,402,123,117,163,0
19900009,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,120,600,200,40,135,0
19900010,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,129,591,214,26,141,0
19900011,A,3A_1D,0,"1,2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,459,261,73,167,181,0
19900012,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,75,645,213,27,125,0
19900013,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,204,516,190,50,158,0
19900014,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,201,519,162,78,146,0
19900015,A,3A_1D,0,"1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,534,186,115,125,216,0
19900016,A,3A_1D,0,"1,2,3",5,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,441,279,94,146,178,0
19900017,A,3A_1D,0,"1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,243,477,205,35,169,0
19900018,A,3A_1D,0,"1,2,3",1,3,0,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,543,177,160,80,243,0
19900019,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,237,483,172,68,171,0
19900020,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,96,624,214,26,117,0
19900021,A,3A_1D,0,"1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,360,360,133,107,192,0
19900022,A,3A_1D,0,"1,2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,414,306,142,98,194,0
19900023,A,3A_1D,0,"1,2,3",3,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,336,384,135,105,193,0
19900024,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,273,447,199,41,187,0
19900025,A,3A_1D,0,"1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,303,417,126,114,167,0
19900026,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,144,576,189,51,137,0
19900027,A,3A_1D,0,"1,2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,429,291,123,117,179,0
19900028,A,3A_1D,0,"1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,219,501,191,49,170,0
19900029,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,84,636,199,41,115,0
19900030,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,267,453,171,69,151,0
19900031,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,90,630,211,29,121,0
19900032,A,3A_1D,0,"1,2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,249,471,168,72,154,0
19900033,A,3A_1D,0,"1,2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,309,411,95,145,169,0
19900034,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,108,612,220,20,136,0
19900035,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,198,522,190,50,152,0
19900036,A,3A_1D,0,"1,2,3",4,2,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,507,213,94,146,193,0
19900037,A,3A_1D,0,"1,2,3",2,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,519,201,61,179,220,0
19900038,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,201,519,193,47,162,0
19900039,A,3A_1D,0,"1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,195,525,183,57,131,0
19900040,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,183,537,175,65,141,0
19900041,A,3A_1D,0,"1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,201,519,177,63,143,0
19900042,A,3A_1D,0,"1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,300,420,170,70,164,0
19900043,A,3A_1D,0,"1,2,3",4,1,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,339,381,140,100,155,0
19900044,A,3A_1D,0,"1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,228,492,139,101,134,0
19900045,A,3A_1D,0,"1,2,3",2,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,174,546,180,60,115,0
19900046,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,96,624,198,42,124,0
19900047,A,3A_1D,0,"1,2,3",0,0,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,96,624,200,40,131,0
19900048,A,3A_1D,0,"1,2,3",3,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,258,462,126,114,154,0
19900049,A,3A_1D,0,"1,2,3",1,1,0,1,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,324,396,135,105,176,0
19900050,A,3A_1D,0,"1,2,3",1,0,1,0,240,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,720,240,276,444,135,105,163,0
