seed,pole,assignment_arm,defender_ids,attacker_ids,blue_score,red_score,blue_win,draw,steps,blue_flag_captures,red_flag_captures,blue_alive_end,red_alive_end,genome_id,pole_config_hash,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
19800043,A,CLOSEST_DEFENDS,"0,2","1,3",3,0,1,0,240,3,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,356,124,67,413,134,0
19800044,A,CLOSEST_DEFENDS,"1,3","0,2",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,168,312,345,135,161,0
19800045,A,CLOSEST_DEFENDS,"0,1","2,3",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,78,402,404,76,217,0
19800046,A,CLOSEST_DEFENDS,"0,2","1,3",3,2,1,0,240,3,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,340,140,248,232,167,0
19800047,A,CLOSEST_DEFENDS,"1,3","0,2",0,0,0,1,240,0,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,228,252,278,202,173,0
19800048,A,CLOSEST_DEFENDS,"0,2","1,3",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,376,104,163,317,203,0
19800049,A,CLOSEST_DEFENDS,"0,1","2,3",3,1,1,0,240,3,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,364,116,200,280,150,0
19800050,A,CLOSEST_DEFENDS,"0,3","1,2",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,344,136,228,252,203,0
19800051,A,CLOSEST_DEFENDS,"0,3","1,2",4,2,1,0,240,4,2,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,344,136,217,263,181,0
19800052,A,CLOSEST_DEFENDS,"1,3","0,2",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,242,238,247,233,159,0
19800053,A,CLOSEST_DEFENDS,"2,3","0,1",2,0,1,0,240,2,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,372,108,57,423,153,0
19800054,A,CLOSEST_DEFENDS,"1,2","0,3",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,108,372,390,90,193,0
19800055,A,CLOSEST_DEFENDS,"1,3","0,2",1,0,1,0,240,1,0,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,88,392,380,100,189,0
19800056,A,CLOSEST_DEFENDS,"1,3","0,2",1,1,0,1,240,1,1,4,,SDS2_A_payoff_INIT_3,4194fe4715069fc9893ef6cd78ae68286562c87de984ecc8d0168a65bb7e1e85,480,480,382,98,126,354,188,0
