arm,z,pole,seed,blue,red,win,margin
RUNG0_BLOCK2,z0,B,11970023,0,0,0,0
RUNG0_BLOCK2,z0,B,11970024,0,0,0,0
RUNG0_BLOCK2,z0,B,11970025,0,0,0,0
RUNG0_BLOCK2,z0,B,11970026,0,0,0,0
RUNG0_BLOCK2,z0,B,11970027,0,0,0,0
RUNG0_BLOCK2,z0,B,11970028,1,0,1,1
RUNG0_BLOCK2,z0,B,11970029,0,1,0,-1
RUNG0_BLOCK2,z0,B,11970030,0,0,0,0
RUNG0_BLOCK2,z0,B,11970031,0,1,0,-1
RUNG0_BLOCK2,z0,B,11970032,2,0,1,2
RUNG0_BLOCK2,z0,B,11970033,2,0,1,2
RUNG0_BLOCK2,z0,B,11970034,0,0,0,0
RUNG0_BLOCK2,z0,B,11970035,0,0,0,0
RUNG0_BLOCK2,z0,B,11970036,0,0,0,0
RUNG0_BLOCK2,z0,B,11970037,0,0,0,0
RUNG0_BLOCK2,z0,B,11970038,0,0,0,0
RUNG0_BLOCK2,z0,B,11970039,0,1,0,-1
RUNG0_BLOCK2,z0,B,11970040,1,0,1,1
RUNG0_BLOCK2,z0,B,11970041,0,0,0,0
RUNG0_BLOCK2,z0,B,11970042,1,0,1,1
RUNG0_BLOCK2,z0,B,11970043,0,0,0,0
RUNG0_BLOCK2,z0,B,11970044,0,0,0,0
RUNG0_BLOCK2,z0,B,11970045,1,0,1,1
RUNG0_BLOCK2,z0,B,11970046,0,1,0,-1
RUNG0_BLOCK2,z0,B,11970047,0,0,0,0
RUNG0_BLOCK2,z0,B,11970048,0,0,0,0
RUNG0_BLOCK2,z0,B,11970049,1,0,1,1
RUNG0_BLOCK2,z0,B,11970050,0,0,0,0
RUNG0_BLOCK2,z0,B,11970051,0,0,0,0
RUNG0_BLOCK2,z0,B,11970052,0,0,0,0
RUNG0_BLOCK2,z0,B,11970053,0,1,0,-1
RUNG0_BLOCK2,z0,B,11970054,0,0,0,0
RUNG0_BLOCK2,z0,B,11970055,0,0,0,0
RUNG0_BLOCK2,z0,B,11970056,1,0,1,1
RUNG0_BLOCK2,z0,B,11970057,3,0,1,3
RUNG0_BLOCK2,z0,B,11970058,1,0,1,1
RUNG0_BLOCK2,z0,B,11970059,0,0,0,0
