arm,pole,seed,k_defend,defender_ids,attacker_ids,blue_score,red_score,win,draw,margin,steps,genome_id,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
5A_1D_closest,B,22100040,1,2,"0,1,3,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,1200,240,1085,115,132,108,500,0
3A_3D_closest,B,22100040,3,"1,2,5","0,3,4",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,696,24,103,617,327,0
5A_1D_closest,A,22100041,1,5,"0,1,2,3,4",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,160,1040,212,28,160,0
3A_3D_closest,A,22100041,3,"0,2,5","1,3,4",2,1,1,0,1,240,SDS2_A_payoff_INIT_3,720,720,552,168,403,317,292,0
5A_1D_closest,B,22100041,1,5,"0,1,2,3,4",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,1050,150,77,163,481,0
3A_3D_closest,B,22100041,3,"0,2,5","1,3,4",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,711,9,53,667,348,0
5A_1D_closest,A,22100042,1,5,"0,1,2,3,4",6,0,1,0,6,240,SDS2_A_payoff_INIT_3,1200,240,635,565,24,216,231,0
3A_3D_closest,A,22100042,3,"0,2,5","1,3,4",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,120,600,647,73,362,0
5A_1D_closest,B,22100042,1,5,"0,1,2,3,4",2,0,1,0,2,240,SDS_PARENT_OP7,1200,240,965,235,127,113,449,0
3A_3D_closest,B,22100042,3,"0,2,5","1,3,4",1,0,1,0,1,240,SDS_PARENT_OP7,720,720,639,81,86,634,295,0
5A_1D_closest,A,22100043,1,4,"0,1,2,3,5",3,0,1,0,3,240,SDS2_A_payoff_INIT_3,1200,240,340,860,189,51,167,0
3A_3D_closest,A,22100043,3,"0,3,4","1,2,5",3,1,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,477,243,353,367,279,0
5A_1D_closest,B,22100043,1,4,"0,1,2,3,5",3,0,1,0,3,240,SDS_PARENT_OP7,1200,240,890,310,13,227,370,0
3A_3D_closest,B,22100043,3,"0,3,4","1,2,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,705,15,247,473,342,0
5A_1D_closest,A,22100044,1,3,"0,1,2,4,5",4,1,1,0,3,240,SDS2_A_payoff_INIT_3,1200,240,530,670,105,135,265,0
3A_3D_closest,A,22100044,3,"2,3,5","0,1,4",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,567,153,205,515,255,0
5A_1D_closest,B,22100044,1,3,"0,1,2,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,1200,240,65,1135,207,33,121,0
3A_3D_closest,B,22100044,3,"2,3,5","0,1,4",1,2,0,0,-1,240,SDS_PARENT_OP7,720,720,645,75,365,355,366,0
5A_1D_closest,A,22100045,1,3,"0,1,2,4,5",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,1200,240,230,970,172,68,155,0
3A_3D_closest,A,22100045,3,"0,2,3","1,4,5",4,1,1,0,3,240,SDS2_A_payoff_INIT_3,720,720,459,261,430,290,278,0
5A_1D_closest,B,22100045,1,3,"0,1,2,4,5",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,380,820,172,68,241,0
3A_3D_closest,B,22100045,3,"0,2,3","1,4,5",1,0,1,0,1,240,SDS_PARENT_OP7,720,720,663,57,164,556,311,0
5A_1D_closest,A,22100046,1,4,"0,1,2,3,5",5,0,1,0,5,240,SDS2_A_payoff_INIT_3,1200,240,695,505,95,145,319,0
3A_3D_closest,A,22100046,3,"1,2,4","0,3,5",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,240,480,523,197,316,0
5A_1D_closest,B,22100046,1,4,"0,1,2,3,5",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,1025,175,0,240,470,0
3A_3D_closest,B,22100046,3,"1,2,4","0,3,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,720,0,160,560,355,0
