arm,pole,seed,k_defend,defender_ids,attacker_ids,blue_score,red_score,win,draw,margin,steps,genome_id,attack_ticks,defend_ticks,attack_enemy_flag_branch_count,carrier_home_branch_count,defend_inward_count,defend_outward_count,tagged_ticks_by_role,role_switch_count
3A_3D_closest,B,22100059,3,"1,2,3","0,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,714,6,234,486,348,0
5A_1D_closest,A,22100060,1,1,"0,2,3,4,5",3,0,1,0,3,240,SDS2_A_payoff_INIT_3,1200,240,310,890,188,52,187,0
3A_3D_closest,A,22100060,3,"1,4,5","0,2,3",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,720,720,207,513,479,241,278,0
5A_1D_closest,B,22100060,1,1,"0,2,3,4,5",2,1,1,0,1,240,SDS_PARENT_OP7,1200,240,955,245,64,176,454,0
3A_3D_closest,B,22100060,3,"1,4,5","0,2,3",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,708,12,89,631,335,0
5A_1D_closest,A,22100061,1,4,"0,1,2,3,5",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,465,735,163,77,220,0
3A_3D_closest,A,22100061,3,"3,4,5","0,1,2",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,84,636,607,113,318,0
5A_1D_closest,B,22100061,1,4,"0,1,2,3,5",6,0,1,0,6,240,SDS_PARENT_OP7,1200,240,750,450,15,225,343,0
3A_3D_closest,B,22100061,3,"3,4,5","0,1,2",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,705,15,57,663,341,0
5A_1D_closest,A,22100062,1,4,"0,1,2,3,5",1,0,1,0,1,240,SDS2_A_payoff_INIT_3,1200,240,390,810,193,47,245,0
3A_3D_closest,A,22100062,3,"2,4,5","0,1,3",3,1,1,0,2,240,SDS2_A_payoff_INIT_3,720,720,318,402,447,273,278,0
5A_1D_closest,B,22100062,1,4,"0,1,2,3,5",1,0,1,0,1,240,SDS_PARENT_OP7,1200,240,1050,150,103,137,494,0
3A_3D_closest,B,22100062,3,"2,4,5","0,1,3",0,1,0,0,-1,240,SDS_PARENT_OP7,720,720,699,21,187,533,368,0
5A_1D_closest,A,22100063,1,3,"0,1,2,4,5",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,1200,240,140,1060,213,27,138,0
3A_3D_closest,A,22100063,3,"3,4,5","0,1,2",0,0,0,1,0,240,SDS2_A_payoff_INIT_3,720,720,84,636,615,105,295,0
5A_1D_closest,B,22100063,1,3,"0,1,2,4,5",2,1,1,0,1,240,SDS_PARENT_OP7,1200,240,405,795,168,72,246,0
3A_3D_closest,B,22100063,3,"3,4,5","0,1,2",0,0,0,1,0,240,SDS_PARENT_OP7,720,720,708,12,164,556,346,0
5A_1D_closest,A,22100064,1,2,"0,1,3,4,5",2,0,1,0,2,240,SDS2_A_payoff_INIT_3,1200,240,335,865,193,47,188,0
3A_3D_closest,A,22100064,3,"1,2,5","0,3,4",4,0,1,0,4,240,SDS2_A_payoff_INIT_3,720,720,438,282,224,496,161,0
5A_1D_closest,B,22100064,1,2,"0,1,3,4,5",0,0,0,1,0,240,SDS_PARENT_OP7,1200,240,1085,115,35,205,487,0
3A_3D_closest,B,22100064,3,"1,2,5","0,3,4",0,1,0,0,-1,240,SDS_PARENT_OP7,720,720,696,24,245,475,362,0
