opponent,map,episode_index,episode_seed,cell_seed,return_z0,return_z1,return_z2,return_z3,V_z0,V_z1,V_z2,V_z3,mean_z_return,oracle_selected_adv,online_proxy,oracle_best_z,critic_best_z
OP10,map_b,99,2141,2042,-3.0370424,-1.9975948,-3.5404565,-2.4119473,-1.2972374,-1.2909927,-1.4081817,-1.3579919,-2.7467604,0.74916553,-0.7066021,1,1
OP10,map_b_split_lane_v2,0,2142,2142,-15.108488,-6.4526725,-12.0595,-1.6055762,-1.3686535,-1.2958455,-1.4037011,-1.3302691,-8.806559,2.3538861,-5.156827,3,1
OP10,map_b_split_lane_v2,1,2143,2142,-3.2956924,-6.9674315,-1.8868744,-3.7470868,-1.2971961,-1.3210509,-1.3829384,-1.3263524,-3.9742713,-2.9931602,-5.6463804,2,0
OP10,map_b_split_lane_v2,2,2144,2142,-3.2381861,-16.042446,-7.6238174,-1.7453918,-1.4074669,-1.4496288,-1.5532665,-1.470597,-7.1624603,-8.879986,-14.592817,3,0
OP10,map_b_split_lane_v2,3,2145,2142,-2.64722,-12.132278,-1.146999,-5.113291,-1.0985417,-1.105223,-1.156081,-1.1188629,-5.259947,-6.8723316,-11.027056,2,0
OP10,map_b_split_lane_v2,4,2146,2142,-1.1108183,-4.0372133,-1.5173898,-9.019747,-1.1785152,-1.1955194,-1.2562234,-1.2047675,-3.921292,-0.11592126,-2.8416939,0,0
OP10,map_b_split_lane_v2,5,2147,2142,-2.6730864,-1.0216317,-0.29917777,-5.4507127,-1.1050055,-1.07341,-1.1667807,-1.0654228,-2.3611522,1.3395205,0.051778316,2,3
OP10,map_b_split_lane_v2,6,2148,2142,-9.146026,-3.6870582,-0.6850777,-2.061821,-1.4683788,-1.3070252,-1.4557388,-1.4955971,-3.8949957,0.20793748,-2.380033,2,1
OP10,map_b_split_lane_v2,7,2149,2142,-2.7730908,-4.452557,-1.1047907,-11.539991,-1.1122909,-1.0832899,-1.1976376,-1.1307545,-4.9676075,0.5150504,-3.3692672,2,1
OP10,map_b_split_lane_v2,8,2150,2142,-8.254751,-3.3575823,-3.307739,-8.020839,-1.3210783,-1.1774099,-1.3042886,-1.3247695,-5.7352276,2.3776453,-2.1801724,2,1
OP10,map_b_split_lane_v2,9,2151,2142,-4.456297,-9.826854,-8.547108,-4.375673,-1.351464,-1.2513697,-1.3979871,-1.4115317,-6.8014827,-3.025371,-8.575484,3,1
OP10,map_b_split_lane_v2,10,2152,2142,-3.735467,-4.329512,-1.5487161,-14.213679,-1.4000258,-1.3977308,-1.4206154,-1.4102724,-5.9568434,1.6273313,-2.9317813,2,1
OP10,map_b_split_lane_v2,11,2153,2142,-8.120603,-3.9217281,-4.646996,-10.217353,-1.0941892,-1.0873709,-1.1497574,-1.0993271,-6.7266703,2.8049421,-2.8343573,1,1
OP10,map_b_split_lane_v2,12,2154,2142,0.5949395,-1.5606643,-1.8969206,-0.5151949,-1.1953642,-1.1278338,-1.3001726,-1.2436955,-0.84446007,-0.7162042,-0.43283045,0,1
OP10,map_b_split_lane_v2,13,2155,2142,-7.546575,-4.476467,-3.2443204,-4.6418595,-1.0708048,-0.9930458,-1.1831393,-1.1102185,-4.9773054,0.5008383,-3.4834213,2,1
OP10,map_b_split_lane_v2,14,2156,2142,-4.554275,-3.710666,-1.9169885,-13.302126,-1.3908687,-1.2790544,-1.3533812,-1.4283531,-5.8710136,2.1603477,-2.4316115,2,1
OP10,map_b_split_lane_v2,15,2157,2142,-7.3846054,-3.1266594,-15.884808,-8.488065,-1.2241049,-1.1588657,-1.2543232,-1.3005991,-8.721034,5.5943747,-1.9677937,1,1
OP10,map_b_split_lane_v2,16,2158,2142,-8.0734,-15.989322,-10.845533,-13.908417,-1.3042679,-1.2315459,-1.3188436,-1.3063776,-12.204168,-3.7851534,-14.757776,0,1
OP10,map_b_split_lane_v2,17,2159,2142,-1.7557693,-3.4941223,-1.5923461,-8.36638,-1.0274749,-0.92867774,-1.1302879,-1.0438753,-3.8021543,0.30803204,-2.5654445,2,1
OP10,map_b_split_lane_v2,18,2160,2142,-6.5726604,-4.2724915,-0.93954396,-4.5143676,-1.4111269,-1.4167674,-1.4282312,-1.4380121,-4.0747657,-0.19772577,-2.855724,2,0
