episode_seed,blue_style,map,resolved_map,opponent,blue_first_capture_step,red_first_capture_step,blue_captured,red_captured,blue_score,red_score,capture_count,win_margin,blue_captures_by_60,red_captures_by_60,blue_home_defense_fraction,blue_forward_commitment_fraction,mean_num_attackers,mean_num_defenders,mean_num_home_defenders,blue_tag_successes,red_tag_successes,cooldown_denials,first_flag_contact_step,first_pickup_step,first_flag_drop_step,carrier_return_steps,episode_steps,ruleset_id,taggers_required,tag_min_interval_seconds,tag_nearest_only,tag_channel_seconds,suppression_attackers_required
2200025,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,62,31,1,1,2,3,5,-1,0,1,0.6811594202898551,0.4891304347826087,0.9782608695652174,1.0072463768115942,0.8260869565217391,4,6,16,13,14,23,56,138,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200025,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,102,81,1,1,3,2,5,1,0,0,0.9948717948717949,0.2512820512820513,0.5025641025641026,1.4871794871794872,1.353846153846154,7,4,19,13,14,16,55,195,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200026,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,31,49,1,1,3,2,5,1,1,1,0.6576576576576577,0.4594594594594595,0.918918918918919,1.063063063063063,0.8108108108108109,4,3,8,13,13,31,56,111,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200026,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,31,36,1,1,3,1,4,2,2,1,0.995475113122172,0.26244343891402716,0.5248868778280543,1.4660633484162895,1.3755656108597285,11,5,19,13,14,31,56,221,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200027,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,31,51,1,1,3,2,5,1,2,1,0.6438356164383562,0.5,1.0,0.9908675799086758,0.863013698630137,11,11,9,15,15,31,67,219,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200027,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,31,39,1,1,3,1,4,2,1,1,0.9891304347826086,0.23369565217391305,0.4673913043478261,1.5108695652173914,1.25,3,0,13,15,15,31,48,92,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200028,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,28,31,1,1,2,3,5,-1,2,1,0.7321428571428571,0.4732142857142857,0.9464285714285714,1.0357142857142858,0.8928571428571429,3,4,12,12,12,28,49,112,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200028,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,41,37,1,1,2,3,5,-1,1,1,0.994475138121547,0.23480662983425415,0.4696132596685083,1.5193370165745856,1.441988950276243,4,5,23,24,25,41,33,181,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200029,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,62,1,1,3,1,4,2,1,0,0.7111111111111111,0.4111111111111111,0.8222222222222222,1.1555555555555554,0.8222222222222222,4,2,1,14,14,32,50,90,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200029,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,31,40,1,1,3,1,4,2,2,1,0.9891304347826086,0.2391304347826087,0.4782608695652174,1.5,1.2608695652173914,3,0,9,14,14,31,49,92,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200030,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,34,36,1,1,2,3,5,-1,1,1,0.6666666666666666,0.47435897435897434,0.9487179487179487,1.0341880341880343,0.8888888888888888,4,5,7,16,17,34,42,117,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200030,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,69,98,1,1,3,1,4,2,0,0,0.9946524064171123,0.23529411764705882,0.47058823529411764,1.518716577540107,1.3689839572192513,6,3,14,27,27,28,58,187,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200031,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,30,31,1,1,3,1,4,2,1,1,0.6019417475728155,0.47572815533980584,0.9514563106796117,1.029126213592233,0.7572815533980582,3,1,16,12,13,30,62,103,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200031,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,31,36,1,1,3,1,4,2,1,1,0.993103448275862,0.2482758620689655,0.496551724137931,1.4896551724137932,1.3448275862068966,4,2,16,12,13,31,50,145,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200032,BLUE_BOTH_ATTACK_V2,map_a,map_a_open,OP6,32,35,1,1,3,2,5,1,1,1,0.8541666666666666,0.3697916666666667,0.7395833333333334,1.2395833333333333,0.9791666666666666,3,3,7,14,14,32,52,96,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
2200032,BLUE_ONE_DEFENDER_V2,map_a,map_a_open,OP6,56,84,1,1,3,1,4,2,1,0,0.9946236559139785,0.2446236559139785,0.489247311827957,1.5,1.3978494623655915,7,4,13,39,39,56,47,186,RULESET_V2_AQUATICUS_10S,1,10.0,True,0.0,2
